group,n,half_life_mean,half_life_sem,half_life_128_mean,half_life_128_sem,delta_max_mean,delta_128_mean
low,50,159.00885936116708,12.184620864577633,68.83766804885884,2.2702435451037517,4.305975849486429,1.6933086177285843
mid,50,151.93358263642932,8.403792970337852,68.03424816467705,1.977580412337405,2.8034286460868953,1.321584669928942
high,50,160.55635070079626,10.099396846358674,69.53622994132705,1.8564044756823475,2.56626772800584,1.24118929481636
