group,n,half_life_128_mean,half_life_128_sem,auc_128_mean,auc_128_sem,log_slope_128_mean,log_slope_128_sem,delta_128_mean,delta_128_sem,slope_early_128_mean,slope_early_128_sem,slope_late_128_mean,slope_late_128_sem,ttr_mean,ttr_sem,repeat_bigram_rate_mean,repeat_bigram_rate_sem,repeat_trigram_rate_mean,repeat_trigram_rate_sem,distinct2_mean,distinct2_sem,distinct3_mean,distinct3_sem
low,50,67.8365639653742,2.2013256424639756,99.97003467727394,11.130019540309876,1.2606860064568624,0.12930440414854863,1.747681901893902,0.17925396633910032,1.3237993511075354,0.17829814339399983,1.197572661806189,0.15191707470908483,0.3871336149971398,0.014059476119158459,0.2796927633836455,0.021076717028305488,0.11032079628040932,0.02052213180488318,0.8169765258276271,0.018445471663058474,0.9290318772455791,0.018303775477807333
mid,50,68.09058615753972,1.9297857108635328,77.26523010945864,7.442489672773701,0.9900997926674566,0.08138873571197792,1.3725697595208677,0.11282874537619204,1.0021620329446543,0.12641613519749645,0.9780375523902591,0.09516247750168375,0.3423833559813826,0.008762429478088501,0.32496883507857566,0.01637890531353829,0.13568832829040678,0.014446336730510365,0.7916937839158635,0.012080849383438515,0.9186708690924992,0.009548021749693058
high,50,70.45119390884665,1.7889196201552247,69.92483209410067,6.843385268773243,0.9305017584048355,0.08785168567182101,1.289949340688766,0.12178829646172253,0.861001999150896,0.10148127307290211,1.000001517658775,0.11721324974904933,0.3534705166719326,0.007938323969572557,0.2984310623352921,0.011509358861792848,0.10809733855466891,0.008982030174845527,0.8128548103016578,0.008341954539004878,0.9381257605364748,0.005538997312750109
