metric,cohens_d
half_life,-0.05089552231995694
delta_max,0.427154820937805
auc,0.5328393756992574
log_slope,0.44550903471873143
ratio_128_32,0.183737732807597
ratio_512_128,0.15006760937436295
slope_early,0.4224327067726461
slope_late,0.3358680934476143
