metric,F,p
auc,5.115249154908886,0.007118196585117239
log_slope,3.9526281254864446,0.021279516100293702
ratio_128_32,0.5089947379699897,0.6021621891132916
ratio_512_128,0.4097447670780968,0.6645805991518283
slope_early,2.990670480131112,0.053320847396590605
slope_late,2.4098574484792836,0.09336916969853151
