group,n,half_life_128_mean,half_life_128_sem,half_life_128_ci95
low,31,66.53874762298119,2.9089786603325227,5.701598174251744
mid,31,66.55145227659798,2.494393547411188,4.8890113529259285
high,31,68.87930775910783,2.3784851778566938,4.661830948599119
