essay_id,score,score_bin,grade,ell,prompt_id,word_count,token_count,regime,half_life,delta_max,delta_128,delta_late,ppl_W32,ppl_W64,ppl_W128,ppl_W256,ppl_W384,ppl_W512,auc,log_slope,ratio_128_32,ratio_512_128,slope_early,slope_late
B7C17E1993BA,1,low,9,non_ELL,Does the electoral college work?,610,859,extended,183.0500565303217,0.8918396734709688,0.223976669175677,0.6678630042952918,9.538662075730702,9.36475044746198,9.314685406555023,8.798632794837765,8.590392516378126,8.646822402259733,303.0295090513316,0.3657720407454066,0.7764720714384454,2.981841844301397,0.16156501494728992,0.5194345776839698
FFBA3014CDC7,2,low,10,non_ELL,Car-free cities,720,980,extended,74.44836486432659,1.9448207638271209,1.088817255740178,0.8560035080869426,15.367139025670786,14.417440583128911,14.278321769930608,14.12509501206943,13.559550757245145,13.422318261843666,664.9334427774586,0.6190398614863657,0.8722294191565414,0.786177389799936,0.7854156276453426,0.6544982696062467
1909DEE8C6B8,2,low,10,non_ELL,Car-free cities,673,826,extended,226.0535596550276,7.543444299818496,2.058592170986038,5.484852128832458,19.30371860062562,19.286102130141785,17.24512642963958,15.008791123979645,11.995734998556609,11.760274300807122,2166.423492261785,3.0230664011077124,0.008557533022869443,2.6643704402146278,1.484960358147202,4.257003932562373
451E8369BB76,2,low,11,ELL,Distance learning,901,1035,extended,99.36010773146704,4.419724878847301,3.2940586084833434,1.1256662703639575,14.941555402353927,14.070290642716811,11.647496793870584,10.795433132489354,10.5695148397969,10.521830523506626,1731.2375696731747,1.7328719948651767,0.264495828153545,0.3417262423519049,2.37616100942826,0.837100222248764
767FE7E8D2C6,2,low,10,non_ELL,Car-free cities,1040,1322,extended,86.98369128308423,2.42653620265137,1.6668423453791394,0.7596938572722305,10.26192295324776,9.302817421041404,8.59508060786862,8.424701176255374,8.250254249197798,7.83538675059639,854.0102292454108,0.7835610712406486,0.5754026677239223,0.4557682730932965,1.2023725928111069,0.49544287835974776
BFC4CADADD49,1,low,10,non_ELL,Car-free cities,588,808,extended,311.00555983276365,1.5774763579933992,0.6386394819010288,0.9388368760923704,11.348700251461567,11.030373652667588,10.71006076956054,10.660863667471563,10.426061872887084,9.77122389346817,383.6883491244413,0.46428595038261505,0.4984449095543255,1.4700576815228383,0.46068100672725437,0.5874913650692132
A2403E2ED72A,2,low,10,non_ELL,Car-free cities,612,828,extended,183.28167913414944,4.988436815884443,1.898676805924966,3.089760009959477,17.056068812808864,15.255109007432134,15.157392006883898,13.778466361857332,12.658107579821976,12.06763199692442,1570.4511517876017,1.6822498107002424,0.9485341579760689,1.6273227756918107,1.3696058060794227,2.2585288328109496
CC82A1D80D1A,2,low,10,non_ELL,Car-free cities,698,941,extended,212.2971955374269,1.4675515086621722,0.4721674542868737,0.9953840543752984,13.028732897121584,12.920291538389169,12.55656544283471,12.159329660645588,11.887102826493193,11.561181388459412,401.8688206944364,0.5288656428076,0.22966716097829537,2.1081166127357336,0.3405968223844196,0.6939315273872129
CF165F9553A4,2,low,10,non_ELL,Car-free cities,587,826,extended,369.7999051096366,9.193439946710328,1.3515145092629446,7.841925437447383,24.74602966720007,24.466396765230467,23.394515157937125,21.52411447519086,19.97775982891286,15.552589720489742,1754.2916126511864,2.8531479213892466,0.20690336659582123,5.802324269329537,0.9749116401015658,5.063733190230048
B25D365F5C1C,1,low,9,non_ELL,Does the electoral college work?,703,826,extended,193.802183185444,3.1511128063946217,0.5895858146467869,2.5615269917478347,15.198699976186422,15.233443018414386,14.609114161539637,12.691180299394093,12.299226989888464,12.0475871697918,948.6988526639617,1.3161629789175329,-0.058927880157323975,4.344621135911184,0.42529626548469834,1.8666933625044424
