threshold,tail_share_full,tail_share_early_mid,tail_share_late
lag 33-128,0.19294180577490105,0.19294180577490103,0.19294180577490105
lag 49-128,0.12234267066280202,0.12234267066280202,0.12234267066280202
lag 65-128,0.07823012054454,0.07823012054454,0.07823012054454
