comparison,metric,value_far_or_early,value_close_or_late,diff,pct_change,p_value,test
Token distance: far (>=128) vs close (<64),I_256 (nats),9.262968468149706,6.7802563413830494,-2.482712126766657,-26.8%,2.8878292845974603e-11,independent t
Token distance: far (>=128) vs close (<64),I_256 / gain_256,1.0194152278735837,0.9671734956577936,-0.05224173221579009,-5.1%,0.12746816344718412,independent t
Within-doc: early Q vs late Q,I_256 (nats),8.362065587847429,6.852943465343021,-1.5091221225044054,-18.0%,0.0012358354215612044,paired t
Within-doc: early Q vs late Q,I_256 / gain_256,1.044002720031738,0.8963070417551413,-0.14769567827659724,-14.1%,0.02449285500636739,paired t
