doc_id,target_idx,target_pos,target_pos_frac,pos_eligible,pos_quartile,eligible_start,eligible_end,I_256,I_256_demeaned,age_months,age_group,task,subject_id
ECSC_1001_1_107F_1001_YR1,1,259,0.7174515235457064,0.046153846153846344,early,0.7091412742382271,0.889196675900277,2.54773614818426,-3.3471228069061016,107,8-10yr,frog_where_are_you,1001
ECSC_1001_1_107F_1001_YR1,4,269,0.7451523545706371,0.2,early,0.7091412742382271,0.889196675900277,5.490739053330735,-0.40411990175962664,107,8-10yr,frog_where_are_you,1001
ECSC_1001_1_107F_1001_YR1,2,262,0.7257617728531855,0.09230769230769208,early,0.7091412742382271,0.889196675900277,2.3573857156628684,-3.5374732394274933,107,8-10yr,frog_where_are_you,1001
ECSC_1001_1_107F_1001_YR1,13,300,0.8310249307479224,0.6769230769230768,mid,0.7091412742382271,0.889196675900277,8.60216565508908,2.7073066999987176,107,8-10yr,frog_where_are_you,1001
ECSC_1001_1_107F_1001_YR1,6,276,0.7645429362880887,0.30769230769230793,mid,0.7091412742382271,0.889196675900277,9.319932542973667,3.425073587883306,107,8-10yr,frog_where_are_you,1001
ECSC_1001_1_107F_1001_YR1,10,290,0.8033240997229917,0.5230769230769232,mid,0.7091412742382271,0.889196675900277,9.062251662184408,3.167392707094047,107,8-10yr,frog_where_are_you,1001
ECSC_1001_1_107F_1001_YR1,16,310,0.8587257617728532,0.8307692307692311,late,0.7091412742382271,0.889196675900277,4.939438583488879,-0.9554203716014822,107,8-10yr,frog_where_are_you,1001
ECSC_1001_1_107F_1001_YR1,19,321,0.889196675900277,1.0,late,0.7091412742382271,0.889196675900277,4.904484607550888,-0.9903743475394737,107,8-10yr,frog_where_are_you,1001
ECSC_1001_1_107F_1001_YR1,17,314,0.8698060941828255,0.8923076923076927,late,0.7091412742382271,0.889196675900277,5.829596627348469,-0.06526232774189289,107,8-10yr,frog_where_are_you,1001
ECSC_1001_2_107F_1001_YR2,1,269,0.477797513321492,0.05199999999999996,early,0.4547069271758437,0.8987566607460036,2.535792666757759,-2.0111444642614478,107,8-10yr,one_frog_too_many,1001
ECSC_1001_2_107F_1001_YR2,4,308,0.5470692717584369,0.20799999999999985,early,0.4547069271758437,0.8987566607460036,3.7160636255235406,-0.8308735054956662,107,8-10yr,one_frog_too_many,1001
ECSC_1001_2_107F_1001_YR2,2,282,0.5008880994671403,0.10399999999999993,early,0.4547069271758437,0.8987566607460036,4.590675326404064,0.043738195384857015,107,8-10yr,one_frog_too_many,1001
ECSC_1001_2_107F_1001_YR2,13,427,0.7584369449378331,0.684,mid,0.4547069271758437,0.8987566607460036,0.8198919189806464,-3.7270452120385604,107,8-10yr,one_frog_too_many,1001
ECSC_1001_2_107F_1001_YR2,6,334,0.5932504440497336,0.312,mid,0.4547069271758437,0.8987566607460036,4.299892603510041,-0.24704452750916595,107,8-10yr,one_frog_too_many,1001
ECSC_1001_2_107F_1001_YR2,10,387,0.6873889875666075,0.524,mid,0.4547069271758437,0.8987566607460036,4.8307117030640345,0.2837745720448277,107,8-10yr,one_frog_too_many,1001
ECSC_1001_2_107F_1001_YR2,16,466,0.827708703374778,0.84,late,0.4547069271758437,0.8987566607460036,10.046314929033768,5.499377798014561,107,8-10yr,one_frog_too_many,1001
ECSC_1001_2_107F_1001_YR2,19,506,0.8987566607460036,1.0,late,0.4547069271758437,0.8987566607460036,3.790502237473591,-0.7564348935456158,107,8-10yr,one_frog_too_many,1001
ECSC_1001_2_107F_1001_YR2,17,479,0.8507992895204263,0.8919999999999999,late,0.4547069271758437,0.8987566607460036,6.292589168425419,1.745652037406212,107,8-10yr,one_frog_too_many,1001
ECSC_1001_3_107F_1001_YR3,1,260,0.6788511749347258,0.04597701149425261,early,0.6684073107049608,0.8955613577023499,3.0749446667468536,-1.3016971315433912,107,8-10yr,boy_dog_frog,1001
ECSC_1001_3_107F_1001_YR3,4,274,0.7154046997389034,0.20689655172413796,early,0.6684073107049608,0.8955613577023499,4.933407971773889,0.556766173483644,107,8-10yr,boy_dog_frog,1001
ECSC_1001_3_107F_1001_YR3,2,265,0.6919060052219321,0.10344827586206898,early,0.6684073107049608,0.8955613577023499,2.2666899494129726,-2.109951848877272,107,8-10yr,boy_dog_frog,1001
ECSC_1001_3_107F_1001_YR3,13,315,0.8224543080939948,0.6781609195402297,mid,0.6684073107049608,0.8955613577023499,3.401433720968482,-0.9752080773217626,107,8-10yr,boy_dog_frog,1001
ECSC_1001_3_107F_1001_YR3,6,283,0.7389033942558747,0.31034482758620696,mid,0.6684073107049608,0.8955613577023499,3.9905979734363264,-0.3860438248539184,107,8-10yr,boy_dog_frog,1001
ECSC_1001_3_107F_1001_YR3,10,301,0.7859007832898173,0.5172413793103449,mid,0.6684073107049608,0.8955613577023499,14.226819512735366,9.85017771444512,107,8-10yr,boy_dog_frog,1001
ECSC_1001_3_107F_1001_YR3,16,329,0.8590078328981723,0.8390804597701147,late,0.6684073107049608,0.8955613577023499,1.762930864177961,-2.6137109341122837,107,8-10yr,boy_dog_frog,1001
ECSC_1001_3_107F_1001_YR3,19,343,0.8955613577023499,1.0,late,0.6684073107049608,0.8955613577023499,2.820215132451339,-1.5564266658389059,107,8-10yr,boy_dog_frog,1001
ECSC_1001_3_107F_1001_YR3,17,333,0.8694516971279374,0.8850574712643677,late,0.6684073107049608,0.8955613577023499,2.912736392909016,-1.4639054053812286,107,8-10yr,boy_dog_frog,1001
ECSC_1002_1_89F_1002_YR1,1,266,0.5298804780876494,0.05128205128205124,early,0.5099601593625498,0.898406374501992,8.686305001910842,4.835809713466942,89,6-8yr,frog_on_his_own,1002
ECSC_1002_1_89F_1002_YR1,4,297,0.5916334661354582,0.21025641025641037,early,0.5099601593625498,0.898406374501992,1.347383171672245,-2.503112116771655,89,6-8yr,frog_on_his_own,1002
ECSC_1002_1_89F_1002_YR1,2,276,0.549800796812749,0.10256410256410248,early,0.5099601593625498,0.898406374501992,7.081724700405571,3.2312294119616713,89,6-8yr,frog_on_his_own,1002
ECSC_1002_1_89F_1002_YR1,13,389,0.7749003984063745,0.6820512820512821,mid,0.5099601593625498,0.898406374501992,4.023823326951967,0.1733280385080671,89,6-8yr,frog_on_his_own,1002
ECSC_1002_1_89F_1002_YR1,6,317,0.6314741035856574,0.3128205128205128,mid,0.5099601593625498,0.898406374501992,4.2476765291147345,0.3971812406708346,89,6-8yr,frog_on_his_own,1002
ECSC_1002_1_89F_1002_YR1,10,358,0.7131474103585658,0.5230769230769232,mid,0.5099601593625498,0.898406374501992,3.463936485115827,-0.3865588033280729,89,6-8yr,frog_on_his_own,1002
ECSC_1002_1_89F_1002_YR1,16,420,0.8366533864541833,0.8410256410256411,late,0.5099601593625498,0.898406374501992,1.754455052418928,-2.096040236024972,89,6-8yr,frog_on_his_own,1002
ECSC_1002_1_89F_1002_YR1,19,451,0.898406374501992,1.0,late,0.5099601593625498,0.898406374501992,1.7785644337353783,-2.071930854708522,89,6-8yr,frog_on_his_own,1002
ECSC_1002_1_89F_1002_YR1,17,430,0.8565737051792829,0.8923076923076924,late,0.5099601593625498,0.898406374501992,2.270588894669604,-1.579906393774296,89,6-8yr,frog_on_his_own,1002
ECSC_1002_2_89F_1002_YR2,1,271,0.440650406504065,0.050505050505050435,early,0.416260162601626,0.8991869918699187,3.225821738132579,-4.16173427139101,89,6-8yr,frog_where_are_you,1002
ECSC_1002_2_89F_1002_YR2,4,318,0.5170731707317073,0.2087542087542088,early,0.416260162601626,0.8991869918699187,7.646811416880835,0.25925540735724617,89,6-8yr,frog_where_are_you,1002
ECSC_1002_2_89F_1002_YR2,2,287,0.4666666666666667,0.1043771043771044,early,0.416260162601626,0.8991869918699187,5.548516079370856,-1.8390399301527331,89,6-8yr,frog_where_are_you,1002
ECSC_1002_2_89F_1002_YR2,13,459,0.7463414634146341,0.6835016835016835,mid,0.416260162601626,0.8991869918699187,5.528722378070091,-1.8588336314534981,89,6-8yr,frog_where_are_you,1002
ECSC_1002_2_89F_1002_YR2,6,349,0.567479674796748,0.3131313131313132,mid,0.416260162601626,0.8991869918699187,6.386150703818737,-1.0014053057048518,89,6-8yr,frog_where_are_you,1002
ECSC_1002_2_89F_1002_YR2,10,412,0.6699186991869919,0.5252525252525253,mid,0.416260162601626,0.8991869918699187,10.057315006074582,2.6697589965509927,89,6-8yr,frog_where_are_you,1002
ECSC_1002_2_89F_1002_YR2,16,506,0.8227642276422764,0.8417508417508418,late,0.416260162601626,0.8991869918699187,13.519504932831492,6.1319489233079025,89,6-8yr,frog_where_are_you,1002
ECSC_1002_2_89F_1002_YR2,19,553,0.8991869918699187,1.0,late,0.416260162601626,0.8991869918699187,6.976210222196448,-0.4113457873271411,89,6-8yr,frog_where_are_you,1002
ECSC_1002_2_89F_1002_YR2,17,521,0.8471544715447155,0.8922558922558923,late,0.416260162601626,0.8991869918699187,7.598951608336682,0.2113955988130929,89,6-8yr,frog_where_are_you,1002
ECSC_1002_3_89F_1002_YR3,1,263,0.6045977011494252,0.051851851851851725,early,0.5885057471264368,0.8988505747126436,1.775956556389354,-1.090634612162051,89,6-8yr,one_frog_too_many,1002
