doc_id,mean_nll_0,mean_gain_128,rel_improve_128
ECSC_4051_1_120M_4051_YR1,4.813358109997165,1.9350561140045044,0.40201789889380246
ECSC_4040_1_122F_4040_YR1,4.157958241431944,1.5212306461026592,0.3658600105562312
ECSC_4041_1_122F_4041_YR1,4.201329188193045,2.0605395929467294,0.4904494507922503
ECSC_4058_1_122M_4058_YR1,3.903903369749745,1.7248711095702265,0.4418324292900716
ECSC_4061_1_122M_4061_YR1,4.249837883826225,2.07643784013006,0.48859224678485763
ECSC_4077_1_123F_4077_YR1,3.921477690819771,1.9097362850942925,0.486994045526514
ECSC_4052_1_124M_4052_YR1,5.263139072541268,2.2367303704061814,0.42498029019898054
ECSC_4065_1_125F_4065_YR1,3.6428652578784577,1.6391233259631743,0.4499544204711463
ECSC_4043_1_126F_4043_YR1,3.857802123408164,1.8474533325241456,0.4788875306263812
ECSC_4067_1_128F_4067_YR1,4.336499242628774,1.8147703276526543,0.4184874079564109
ECSC_4073_1_129F_4073_YR1,4.220861921002788,1.8084436389707752,0.4284536364414231
ECSC_4053_1_129M_4053_YR1,4.288815153798749,1.798230017385175,0.4192836372983857
ECSC_1059_1_132F_1059_YR1,4.0749479601460115,1.7051634261685034,0.4184503563837917
ECSC_4046_1_132F_4046_YR1,4.0544137831657165,1.926895406457685,0.4752586957104193
ECSC_4063_1_132F_4063_YR1,3.608411471305355,1.949718542901739,0.5403260017340599
ECSC_4087_1_132M_4087_YR1,4.224801143523186,1.6239340777358702,0.38438118684602135
ECSC_4032_1_134M_4032_YR1,4.258447431748914,1.6399886585531696,0.38511421940452084
ECSC_4072_1_135F_4072_YR1,5.040038826388697,1.9785301678603695,0.39256248533268373
ECSC_2025_1_135M_2025_YR1,5.034497956306703,1.9777227917025164,0.3928341631810632
ECSC_4038_1_135M_4038_YR1,3.8993054789881554,1.3353981656412928,0.3424707740486698
ECSC_4028_1_136F_4028_YR1,3.981126022338868,1.4966452091932296,0.3759351502050586
ECSC_4078_1_136F_4078_YR1,4.056203263805759,1.6604682831033586,0.4093651563076288
ECSC_4064_1_138F_4064_YR1,4.552666390326715,2.135559797671534,0.469078912131376
ECSC_4088_1_138F_4088_YR1,4.172958102533895,1.5643313077188308,0.3748734756692
ECSC_4035_1_59F_4035_YR1,4.777138857687673,1.5934251980435463,0.33355220467985897
ECSC_4004_1_61F_4004_YR1,4.612033616342853,1.717364983597109,0.3723661027776521
ECSC_3007_1_61M_3007_YR1,4.172527879284274,1.6007560668453091,0.3836417905780156
ECSC_1013_1_62F_1013_YR1,4.063795738835489,1.4351792746974574,0.3531622568974687
ECSC_1013_2_62F_1013_YR2,4.081201227249638,1.6192477780003702,0.39675764262464397
ECSC_1013_3_62F_1013_YR3,4.1893020937519685,1.5653386662083286,0.37365141762942194
ECSC_3004_1_62F_3004_YR1,4.397831221549742,1.4606497010877058,0.3321295492037984
ECSC_1037_1_63M_1037_YR1,4.067268396192981,1.4514828630032075,0.35686921088409496
ECSC_1037_2_63M_1037_YR2,4.251741286247007,1.6024134582569525,0.3768840459414207
ECSC_1037_3_63M_1037_YR3,3.778104002245011,1.3560656855183262,0.35892756914911017
ECSC_2017_1_63M_2017_YR1,4.69740482453377,2.081492363252947,0.4431153883909805
ECSC_4071_1_63M_4071_YR1,4.873114187486711,1.6227771828251505,0.3330061887308435
ECSC_1017_1_64F_1017_YR1,4.200285843879946,1.6157398977587298,0.38467379550202613
ECSC_1017_2_64F_1017_YR2,3.93547117171749,1.3993376439617526,0.3555705487104518
ECSC_1017_3_64F_1017_YR3,4.008432575964159,2.0176150231592116,0.5033426370341053
ECSC_4050_1_64F_4050_YR1,4.334045722792227,1.6100513336158566,0.3714892358308058
ECSC_1032_1_64M_1032_YR1,4.533456519342239,1.656560805536086,0.3654078953814334
ECSC_1032_2_64M_1032_YR2,5.0766313429801695,1.9321117516486872,0.3805893359422996
ECSC_1032_3_64M_1032_YR3,4.465622926527454,1.979105693870975,0.44318692519118763
ECSC_1055_1_64M_1055_YR1,3.979739429104713,1.6941777244690923,0.4257006657469071
ECSC_1055_2_64M_1055_YR2,5.0204156937137725,1.9810589136615877,0.3946005738413528
ECSC_1055_3_64M_1055_YR3,4.366852760314941,1.6127744674682618,0.3693219249627155
ECSC_2005_1_64M_2005_YR1,4.516829706007434,1.7059194214882387,0.37768070361814765
ECSC_4001_1_64M_4001_YR1,4.5816540133568555,1.6427715670677925,0.3585542605964211
ECSC_4002_1_64M_4002_YR1,4.454208743187689,1.8618909951179257,0.41800712594925427
ECSC_4012_1_65F_4012_YR1,4.256527931459488,1.705946047075333,0.40078347294913536
ECSC_1020_1_65M_1020_YR1,4.276309787073442,1.5485750097420907,0.36212881826830456
ECSC_1020_2_65M_1020_YR2,4.415383365077357,1.4718498402064848,0.3333458770189252
ECSC_1020_3_65M_1020_YR3,4.327861888947025,1.5974619882722056,0.3691111290662906
ECSC_1053_1_65M_1053_YR1,4.227667940816572,1.545553967020204,0.36558073828326293
ECSC_1053_2_65M_1053_YR2,4.552656813590757,1.879933180539839,0.41293101094899
ECSC_1053_3_65M_1053_YR3,4.1598175771774795,1.6379343398155704,0.393751482950111
ECSC_1097_1_65M_1097_YR1,3.711487886982579,1.1985428071791124,0.32292785095239035
ECSC_1097_2_65M_1097_YR2,4.71019301875945,1.4955125378024197,0.3175055739427641
ECSC_1097_3_65M_1097_YR3,4.143798434349799,1.574073862644934,0.379862555474883
ECSC_2003_1_65M_2003_YR1,3.760201140372984,1.8782326421430036,0.49950323720094847
ECSC_2003_2_65M_2003_YR2,4.460148209910239,1.9610675877140415,0.439686641658374
ECSC_4005_1_65M_4005_YR1,4.578901130922379,2.025211579568924,0.4422920525390255
ECSC_2008_1_66F_2008_YR1,3.801276080839096,1.986310702346025,0.522537868890482
ECSC_2008_2_66F_2008_YR2,4.550004331527218,1.7824937266688194,0.3917564900582242
ECSC_4076_1_66F_4076_YR1,4.769745774422923,1.7778653456318765,0.37273796753810745
ECSC_1036_1_66M_1036_YR1,4.504495224645061,1.7740820842885203,0.3938470340876678
ECSC_1036_2_66M_1036_YR2,4.156768023583196,1.6137758906810515,0.38822851829242866
ECSC_1036_3_66M_1036_YR3,4.23422734660487,1.888744544213818,0.4460659264619482
ECSC_2001_1_66M_2001_YR1,4.186241223735194,1.6441435360139418,0.39274935392923843
ECSC_2001_2_66M_2001_YR2,4.036046689556491,1.7289834035500402,0.42838538216713073
ECSC_2011_1_66M_2011_YR1,4.728900131871622,1.4959495934747882,0.316341972077705
ECSC_2016_1_66M_2016_YR1,5.040902660739037,1.7412070735808345,0.34541573023065664
ECSC_2022_1_66M_2022_YR1,4.8935549828314,1.804769048383159,0.36880530712642035
ECSC_1057_1_67F_1057_YR1,3.7863216154036983,1.6461667053161129,0.434766739998815
ECSC_1057_2_67F_1057_YR2,4.07807192033337,1.6040984136442986,0.39334725943557375
ECSC_1057_3_67F_1057_YR3,3.8908058781777655,1.832270016208772,0.4709230101880344
ECSC_2013_1_67F_2013_YR1,5.116875236265121,1.8324050632936344,0.3581101705014666
ECSC_1028_1_67M_1028_YR1,5.29847658218876,2.1387261682941068,0.40364926316435945
