sample,n,I_256,I_256_over_gain128,I_256_over_gain256
Full sample,2422,7.709831833946765,4.393046534150854,0.98270413822163
>=128 from end,605,9.262968468149706,5.139239100539234,1.0194152278735837
<64 from end (closure),1370,6.7802563413830494,3.9284392936758645,0.9671734956577936
