metric,description,mean,std
rel_improve_128,gain_128/NLL_0,0.4035072610223063,0.04934286650293724
rel_improve_256,I_256/NLL_0,1.7770879062759175,0.9986818390925051
share_256_of_128,I_256/gain_128,4.45979118897762,2.6567156280924573
tail_share_lag33_128,(gain_128-gain_32)/gain_128,0.18605359541443509,0.05965900200847516
tail_share_lag49_128,(gain_128-gain_48)/gain_128,0.1151476180317839,0.04813908713116698
tail_share_lag65_128,(gain_128-gain_64)/gain_128,0.0717306565266649,0.03788405725392644
