doc_id,gain_256,n_early,n_late,I_256_early,I_256_late,I_256_rel_early,I_256_rel_late,raw_diff,norm_diff
ECSC_1001_1_107F_1001_YR1,6.382631121003142,3,3,3.465286972392621,5.224506606129412,0.5429245254342682,0.8185506113516849,1.7592196337367914,0.2756260859174168
ECSC_1001_2_107F_1001_YR2,4.237036736932836,3,3,3.6141772062284545,6.709802111644259,0.8529964290195734,1.5836072538992054,3.0956249054158045,0.730610824879632
ECSC_1001_3_107F_1001_YR3,4.761578488364419,3,3,3.425014195977905,2.4986274631794387,0.7193022659077036,0.5247477216400367,-0.9263867327984663,-0.19455454426766694
ECSC_1002_1_89F_1002_YR1,3.5294258082821353,3,3,5.705137624662886,1.9345361269413033,1.616449228448218,0.5481163883376524,-3.770601497721583,-1.0683328401105654
ECSC_1002_2_89F_1002_YR2,6.123893598188874,3,3,5.473716411461424,9.36488892112154,0.8938294442412031,1.529237693465344,3.891172509660117,0.6354082492241409
ECSC_1002_3_89F_1002_YR3,3.8731700426778892,3,3,2.7980240213983443,2.262760427393608,0.7224118720756719,0.5842140681820278,-0.5352635940047361,-0.1381978038936441
ECSC_1003_1_82F_1003_YR1,12.882918559890095,3,3,9.396133472360248,19.984069328248385,0.729348200772947,1.5512066800194744,10.587935855888137,0.8218584792465273
ECSC_1003_2_82F_1003_YR2,6.311466170034348,3,3,5.444634723001047,4.307729291166411,0.8626576735610415,0.6825243414309498,-1.136905431834636,-0.18013333213009175
ECSC_1003_3_82F_1003_YR3,6.276463865105894,3,3,6.625354424368456,3.086499153695676,1.0555871214685428,0.4917576552706883,-3.5388552706727796,-0.5638294661978545
ECSC_1004_1_78F_1004_YR1,6.399043140962381,3,3,7.469752433460894,8.22794758033796,1.167323343336217,1.2858090497418524,0.7581951468770658,0.1184857064056355
ECSC_1004_2_78F_1004_YR2,6.4641903040029005,3,3,5.5388301135609055,7.679498782869075,0.8568482444167876,1.1880062964906222,2.1406686693081696,0.33115805207383453
ECSC_1004_3_78F_1004_YR3,3.059319488558038,3,3,2.2512154310249968,3.46545011568386,0.7358549636429347,1.1327519497864686,1.2142346846588632,0.39689698614353397
ECSC_1005_2_83F_1005_YR2,4.6598488808269165,3,3,5.778346894977978,3.801355844078294,1.2400288169758367,0.8157680519896434,-1.976991050899684,-0.42426076498619325
