doc_id,target_idx,target_pos,target_pos_frac,pos_frac,pos_bin,I_512,I_256,age_months,age_group,task,token_count
ECSC_4041_1_122F_4041_YR1,1,270,0.4553119730185497,0.4553119730185497,mid,,3.2274702341464803,122,10+yr,unknown,592
ECSC_4041_1_122F_4041_YR1,2,285,0.4806070826306914,0.4806070826306914,mid,,0.5880288368926063,122,10+yr,unknown,592
ECSC_4041_1_122F_4041_YR1,3,299,0.5042158516020236,0.5042158516020236,mid,,6.13085648447357,122,10+yr,unknown,592
ECSC_4041_1_122F_4041_YR1,4,314,0.5295109612141653,0.5295109612141653,mid,,9.728865499643346,122,10+yr,unknown,592
ECSC_4041_1_122F_4041_YR1,5,328,0.5531197301854974,0.5531197301854974,mid,,15.736473198132826,122,10+yr,unknown,592
ECSC_4041_1_122F_4041_YR1,6,343,0.5784148397976391,0.5784148397976391,mid,,5.103307655405702,122,10+yr,unknown,592
ECSC_4041_1_122F_4041_YR1,7,358,0.6037099494097807,0.6037099494097807,mid,,3.2880670121061257,122,10+yr,unknown,592
ECSC_4041_1_122F_4041_YR1,8,372,0.627318718381113,0.627318718381113,mid,,7.003271649943941,122,10+yr,unknown,592
ECSC_4041_1_122F_4041_YR1,9,387,0.6526138279932546,0.6526138279932546,mid,,4.0828094260164995,122,10+yr,unknown,592
ECSC_4041_1_122F_4041_YR1,10,401,0.6762225969645869,0.6762225969645869,late,,5.673390989907103,122,10+yr,unknown,592
ECSC_4041_1_122F_4041_YR1,11,416,0.7015177065767285,0.7015177065767285,late,,4.241321898269148,122,10+yr,unknown,592
ECSC_4041_1_122F_4041_YR1,12,430,0.7251264755480608,0.7251264755480608,late,,13.00005155657199,122,10+yr,unknown,592
ECSC_4041_1_122F_4041_YR1,13,445,0.7504215851602024,0.7504215851602024,late,,30.718390852453393,122,10+yr,unknown,592
ECSC_4041_1_122F_4041_YR1,14,460,0.7757166947723441,0.7757166947723441,late,,19.252466337351336,122,10+yr,unknown,592
ECSC_4041_1_122F_4041_YR1,15,474,0.7993254637436762,0.7993254637436762,late,,2.6582185543519774,122,10+yr,unknown,592
ECSC_4041_1_122F_4041_YR1,16,489,0.8246205733558178,0.8246205733558178,late,,9.062235146770927,122,10+yr,unknown,592
ECSC_4041_1_122F_4041_YR1,17,503,0.8482293423271501,0.8482293423271501,late,,11.876077462337076,122,10+yr,unknown,592
ECSC_4041_1_122F_4041_YR1,18,518,0.8735244519392917,0.8735244519392917,late,32.753082755830555,32.17137401162688,122,10+yr,unknown,592
ECSC_4041_1_122F_4041_YR1,19,533,0.8988195615514334,0.8988195615514334,late,6.213342996657143,5.2929238591433005,122,10+yr,unknown,592
ECSC_4061_1_122M_4061_YR1,0,256,0.4794007490636704,0.4794007490636704,mid,,8.27129291967046,122,10+yr,unknown,533
ECSC_4061_1_122M_4061_YR1,1,267,0.5,0.5,mid,,8.309529274720834,122,10+yr,unknown,533
ECSC_4061_1_122M_4061_YR1,2,279,0.5224719101123596,0.5224719101123596,mid,,1.6971916169543917,122,10+yr,unknown,533
ECSC_4061_1_122M_4061_YR1,3,291,0.5449438202247191,0.5449438202247191,mid,,2.567404318496573,122,10+yr,unknown,533
ECSC_4061_1_122M_4061_YR1,4,303,0.5674157303370787,0.5674157303370787,mid,,4.428305983819968,122,10+yr,unknown,533
ECSC_4061_1_122M_4061_YR1,5,314,0.5880149812734082,0.5880149812734082,mid,,2.5883489246566977,122,10+yr,unknown,533
