subject_id,log_slope_local_mean,log_slope_local_std,auc_log_k_mean,auc_log_k_std,auc_linear_k_mean,auc_linear_k_std,mean_gain_128_mean,mean_gain_128_std,age_months_min,age_months_max,study_year_count
1001,0.4242258722992562,0.03507674331603972,4.249973727226016,0.5349390843587852,188.18951541808664,19.13392860987192,1.7422760757387328,0.16345673682278183,107,107,3
1002,0.44194374915051154,0.023810496747714033,4.09882371907682,0.40635943912612,186.77884957023684,14.518003372813961,1.7658298419688336,0.11024369951566965,89,89,3
1003,0.38985856992314843,0.032899677831628546,3.891043387166246,0.4688043133664126,172.86393245481034,18.44370032237274,1.6189605203687503,0.16397348885014265,82,82,3
1004,0.4156840218876601,0.046941116776823985,4.57387684821784,0.13992057754703643,196.6612820527566,9.099237132124715,1.8291793121766016,0.14580481078937782,78,78,3
1005,0.41504739867019963,0.041378756032835445,4.024627254314004,0.432337030752186,180.59525239443587,18.191445505093355,1.6655399892919807,0.18769833347633014,83,83,3
1006,0.4568709823296131,0.014892334662078734,4.502949655712289,0.07689521400592207,200.4480032081726,2.515079276558998,1.844652489500661,0.018468632946844254,97,97,3
1008,0.4490197171333408,0.02761297923928667,4.405986984795004,0.09612077856133444,196.41883911829322,4.756009306175864,1.8570532359303005,0.12422293277126592,94,94,3
1009,0.5557608979980536,0.015733308967746905,5.1137189353834644,0.49114797232544083,233.24893437624777,16.510354670074637,2.2074161449267016,0.04151419605547586,94,94,3
1010,0.3989551737546277,0.006763909633177636,3.894693544489973,0.1889965748424365,174.34799451627717,4.635759525117425,1.5826735170297725,0.02484111050080173,99,99,3
1011,0.4173457827121427,0.05862021642693433,4.560204023465989,0.14979159788041804,196.27524148943607,8.518300289277867,1.8270123926221686,0.111926384712877,71,71,3
1012,0.400343188178731,0.051593088984688874,4.0972556531243685,0.3260446784312225,180.37832471433504,17.08863585934898,1.6765244450940882,0.17172798479607218,94,94,3
1013,0.35746529088075035,0.010712371516744857,4.132810986106897,0.38661497615630946,174.66229488514765,13.30129878266605,1.539921906302052,0.09462986970372289,62,62,3
1014,0.40348942870681975,0.023864863674251995,4.091839479030889,0.5772339375211101,180.31454473056138,20.278360557360298,1.6462338340538805,0.14526835357822104,76,76,3
1015,0.46585203761730964,0.03582784944235464,4.498426890026426,0.12474384302896138,201.88503589841628,2.036704230789203,1.8577414186891688,0.06471126183084155,102,102,3
