doc_id,n_windows,token_count,mean_nll_0,mean_gain_0,mean_nll_2,mean_gain_2,mean_nll_4,mean_gain_4,mean_nll_8,mean_gain_8,mean_nll_12,mean_gain_12,mean_nll_16,mean_gain_16,mean_nll_24,mean_gain_24,mean_nll_32,mean_gain_32,mean_nll_48,mean_gain_48,mean_nll_64,mean_gain_64,mean_nll_96,mean_gain_96,mean_nll_128,mean_gain_128,early_ratio,log_slope_local,log_slope_r2,auc_log_k,auc_linear_k,baseline_nll,subject_id,age_months,age_group,sex,study_year,task
ECSC_4051_1_120M_4051_YR1,10,764,4.813358109997165,0.0,4.575025933980942,0.23833217601622314,4.325704574584961,0.48765353541220396,4.018867391347885,0.7944907186492798,3.740011656284332,1.0733464537128328,3.675041502714157,1.138316607283008,3.490784692764282,1.3225734172328827,3.2748175382614138,1.5385405717357514,3.1554648697376253,1.6578932402595399,3.104673448204994,1.7086846617921707,3.084316086769104,1.729042023228061,2.8783019959926603,1.9350561140045044,0.58826025718051,0.4485341968169874,0.9736504185166924,4.522800218333429,199.1089137846424,2.8783019959926603,4051,120,10+yr,M,1,
ECSC_4040_1_122F_4040_YR1,10,659,4.157958241431944,0.0,3.983322003483772,0.17463623794817154,3.7037868052721024,0.4541714361598415,3.411655515432358,0.746302725999586,3.1715662121772765,0.9863920292546673,3.089159518480301,1.0687987229516431,3.001805078983307,1.156153162448637,2.899051359295845,1.258906882136099,2.825523315370083,1.332434926061861,2.809024326503277,1.3489339149286672,2.7072684839367867,1.4506897574951574,2.6367275953292846,1.5212306461026592,0.7025882141474528,0.3426617741307981,0.9402117392324106,3.8429343525181867,163.8666013810904,2.6367275953292846,4040,122,10+yr,F,1,
ECSC_4041_1_122F_4041_YR1,10,592,4.201329188193045,0.0,3.9917046248912813,0.2096245633017632,3.698729932308197,0.5025992558848473,3.4615910217165946,0.7397381664764496,3.187746912240982,1.0135822759520623,3.0218608528375626,1.1794683353554818,2.729340010881424,1.4719891773116205,2.570812684297562,1.6305165038954825,2.4366294980049132,1.7646996901881309,2.255398505926132,1.945930682266912,2.214747765660286,1.9865814225327583,2.140789595246315,2.0605395929467294,0.5724075088839966,0.5215284612946182,0.9802856588420231,4.780058429644502,218.83602056695565,2.140789595246315,4041,122,10+yr,F,1,
ECSC_4058_1_122M_4058_YR1,10,292,3.903903369749745,0.0,3.739860561490059,0.16404280825968703,3.434175631403923,0.4697277383458228,3.066796436905861,0.8371069328438849,2.8553199082612992,1.0485834614884468,2.7137522608041764,1.1901511089455696,2.5034585684537887,1.4004448012959574,2.400389388203621,1.5035139815461251,2.2924450144171713,1.6114583553325748,2.226131431758404,1.6777719379913425,2.1805349707603456,1.7233683989894009,2.1790322601795196,1.7248711095702265,0.6899942275931046,0.42757961684707835,0.9409207939705074,4.438445290478921,194.4622499693786,2.1790322601795196,4058,122,10+yr,M,1,
ECSC_4061_1_122M_4061_YR1,10,533,4.249837883826225,0.0,3.9212429232895376,0.3285949605366877,3.6157239146530626,0.6341139691731623,3.310350698232651,0.9394871855935744,3.067021284252405,1.18281659957382,2.837929904460907,1.4119079793653182,2.7279840067028998,1.5218538771233252,2.5034670513123274,1.7463708325138978,2.3169746972620486,1.9328631865641763,2.2727388702332973,1.9770990135929278,2.203008636087179,2.046829247739046,2.173400043696165,2.07643784013006,0.6799664078925096,0.4886006825635752,0.9667886694782222,5.319356856934509,229.74920453359522,2.173400043696165,4061,122,10+yr,M,1,
ECSC_4077_1_123F_4077_YR1,10,312,3.9214776908197715,0.0,3.7249404691159724,0.19653722170379856,3.4160775020718575,0.5054001887479136,3.0546269357204436,0.8668507550993272,2.8357440255582333,1.0857336652615377,2.642184241116047,1.279293449703724,2.4521305173635484,1.4693471734562227,2.3696227818727493,1.5518549089470217,2.2645105212926864,1.6569671695270844,2.1248437628149985,1.7966339280047723,2.0368909642100332,1.8845867266097378,2.011741405725479,1.9097362850942923,0.6698796371461098,0.46406380645707745,0.9644731530399883,4.71608984801296,208.26565448189933,2.011741405725479,4077,123,10+yr,F,1,
ECSC_4052_1_124M_4052_YR1,10,369,5.263139072541268,0.0,5.05981222987175,0.20332684266951767,4.737509381771088,0.5256296907701798,4.25442625284195,1.008712819699318,4.0705135524272915,1.1926255201139757,3.8910648822784424,1.372074190262825,3.5594355762004852,1.7037034963407822,3.4324023753404616,1.830736697200806,3.2815619140863417,1.9815771584549258,3.1122882157564162,2.150850856784851,3.0380357921123506,2.2251032804289173,3.026408702135086,2.2367303704061814,0.613428515308111,0.5677669064223174,0.9694453524225605,5.430609188408176,244.93645559395512,3.026408702135086,4052,124,10+yr,M,1,
ECSC_4065_1_125F_4065_YR1,10,395,3.6428652578784573,0.0,3.4899617195129395,0.15290353836551787,3.236103501915932,0.40676175596252556,2.7753954261541365,0.8674698317243206,2.569933405518532,1.0729318523599258,2.426711618900299,1.2161536389781584,2.3034935653209687,1.339371692557489,2.244358244538307,1.3985070133401503,2.113562674820423,1.5293025830580345,2.0563381880521776,1.5865270698262801,2.018510881066322,1.6243543768121351,2.0037419319152834,1.6391233259631743,0.7419537137411718,0.3988023600348801,0.9183168630388177,4.264899872033677,184.83248289352466,2.0037419319152834,4065,125,10+yr,F,1,
ECSC_4043_1_126F_4043_YR1,10,482,3.857802123408164,0.0,3.60053858011961,0.25726354328855383,3.360287719964981,0.49751440344318265,2.9000606924295425,0.957741430978621,2.690733829140663,1.1670682942675004,2.5936120569705965,1.2641900664375672,2.4124972760677337,1.4453048473404297,2.3128057330846787,1.544996390323485,2.2079520881175996,1.649850035290564,2.100887894630432,1.7569142287777315,2.0434631764888764,1.8143389469192872,2.010348790884018,1.8474533325241456,0.6842879569305952,0.42994565832166964,0.9498057112019531,4.765766072589245,204.3754867362399,2.010348790884018,4043,126,10+yr,F,1,
ECSC_4067_1_128F_4067_YR1,10,377,4.336499242628774,0.0,4.098941227793693,0.2375580148350808,3.7435763224959375,0.592922920132837,3.335140508413315,1.0013587342154597,3.161096726357937,1.1754025162708377,3.040752226859331,1.2957470157694435,2.9417843133211137,1.394714929307661,2.9019191816449164,1.434580060983858,2.802851212024689,1.5336480306040858,2.704825167357922,1.631674075270853,2.5953802078962327,1.741119034732542,2.52172891497612,1.8147703276526546,0.7140005520397997,0.3899974523754777,0.9388429984975226,4.670293202538923,195.55877270294778,2.52172891497612,4067,128,10+yr,F,1,
