age_group,n,L,n_targets_median,n_targets_q25,n_targets_q75,baseline_mean,baseline_ci_low,baseline_ci_high,spike_mass_c_mean,spike_mass_c_ci_low,spike_mass_c_ci_high,cv_c_mean,cv_c_ci_low,cv_c_ci_high,kurtosis_c_mean,kurtosis_c_ci_low,kurtosis_c_ci_high
4-6yr,54,256,20.0,20.0,20.0,7.574331195357594,6.270117081519099,9.131189616110667,0.48353991153994047,0.4526081565222225,0.5185694250233798,1.2374940979081148,1.2111100050747794,1.2655832314269901,0.21632045002073988,-0.18836685384989857,0.6874831070142279
6-8yr,137,256,20.0,20.0,20.0,7.503848794882832,6.7535663565543755,8.170696615515235,0.500219643863747,0.4806395964491474,0.5213592517392003,1.2506691410970883,1.2350180668507755,1.268233269570918,0.3236795398050272,0.027901660355691558,0.7087361192025928
8-10yr,58,256,20.0,20.0,20.0,8.359794463379636,7.16946927641996,9.775604709324453,0.5268805926563813,0.4935977484236586,0.5612690357980654,1.2731755923258068,1.244618290648077,1.3029536729495401,0.8595452331747733,0.37339852742180646,1.375990723203866
10+yr,21,256,20.0,20.0,20.0,9.191203298674097,6.602551002836632,12.062098548553728,0.5367241525130447,0.4915302757721971,0.5835502649232599,1.2657499900467157,1.2240202480805549,1.305868788171918,0.45899850523121477,-0.05273559604911489,0.9355654220444631
