age_group,n,half_life_fixed_mean,half_life_fixed_ci_low,half_life_fixed_ci_high,early_slope_mean,early_slope_ci_low,early_slope_ci_high,early_drop_pct_fixed_mean,early_drop_pct_fixed_ci_low,early_drop_pct_fixed_ci_high,ppl_min_ctx_mean,ppl_min_ctx_ci_low,ppl_min_ctx_ci_high
4-6yr,67,13.728092200242173,12.098172417368376,15.47679498189925,-0.7949883412643861,-0.9839937899775151,-0.6301397232642572,76.33992824670034,73.29939926174562,79.39840146700067,46.32276363932671,37.67261762539804,56.65885735785527
6-8yr,155,16.23040025690821,14.818332008817139,17.753283901687855,-0.5616248594489952,-0.6273102290605472,-0.4993906972426921,74.10841388731842,71.7555826041291,76.39399042049071,35.004260424719554,32.130374352758054,38.09174121450002
8-10yr,61,21.506975849422695,17.974119902138654,25.448609083071364,-0.37502656628360226,-0.4367617624141609,-0.32684545530367837,65.88367564669308,62.41753046630438,69.67011899432211,27.438423866454094,24.557901335258318,30.782357650096493
10+yr,23,22.769141225471657,16.256786002446535,30.141633678447224,-0.4311477145004102,-0.5595799028068809,-0.31887181932045605,69.28181720533026,61.06038789293014,76.5183515425373,28.990274113103585,23.422088138705814,35.98307135519938
