doc_id,age_months,age_group,word_count,n_tokens,ppl_min_ctx,ppl_32,ppl_max_fixed,total_benefit_fixed,benefit_ok_fixed,half_life_fixed,early_drop_pct_fixed,early_slope,burst_valid_256,burst_valid_512,burst_n_targets_256,burst_n_targets_512,burst_baseline_512,burst_I_L_max_512,burst_I_L_std_512,burst_spike_mass_c_512,burst_spike_count_c_512,burst_cv_c_512,burst_kurtosis_c_512,burst_spike_mass_512,burst_cv_512,burst_baseline_256,burst_I_L_max_256,burst_I_L_std_256,burst_spike_mass_c_256,burst_spike_count_c_256,burst_cv_c_256,burst_kurtosis_c_256,burst_spike_mass_256,burst_cv_256
ECSC_4051_1_120M_4051_YR1,120,10+yr,649,765,51.41333177067672,27.609530214328196,15.267161172133564,36.14617059854316,True,25.613117047603215,65.85428321225241,-0.660313979528717,True,True,20,20,14.781520597961995,30.536585635039078,5.9703410553512,0.500265278913015,1.0,1.3348695684374166,0.6620887904195745,0.17568530431882504,0.40390574269973023,11.271557769799337,25.629482294595093,6.214189225877938,0.47602234808915556,1.0,1.1983251454208876,-0.5160346314795099,0.20950229122387987,0.5513159185971653
ECSC_4040_1_122F_4040_YR1,122,10+yr,584,660,22.484851074520822,15.114504010847387,9.540801795321281,12.944049279199541,True,7.512466690475803,56.940041749665035,-0.15354889715986322,True,True,20,20,9.11842728459941,22.828401796981584,5.606641847125296,0.4648191658045107,1.0,1.238820535504934,-0.21345744165056413,0.2153528981865539,0.6148693927290123,5.539185584726377,19.127215588745216,5.061595183856239,0.5997842284800886,1.0,1.251870908357643,0.9380798001153017,0.3189006197037073,0.9137796714760678
ECSC_4041_1_122F_4041_YR1,122,10+yr,459,593,29.99388748045102,18.51399645583962,12.652917693991078,17.34096978645994,True,27.90113351267531,66.20097472042796,-0.2990201468810059,True,True,20,20,18.686561899814357,38.4603821768553,10.374569482984557,0.39987757211805824,1.0,1.139618895892741,-1.1479568887624028,0.19740429093163522,0.5551887788993235,9.823374588151149,32.17137401162688,8.509341167860681,0.6776352942666045,1.0,1.333447682726704,1.4484835743412026,0.3201026505694757,0.8662340106753701
ECSC_4058_1_122M_4058_YR1,122,10+yr,254,293,11.27161863391648,5.501105502137071,4.800632796531684,6.470985837384796,True,9.495445823713467,89.17517789084702,-0.18240553604917753,False,False,0,0,,,,,,,,,,,,,,,,,,
ECSC_4061_1_122M_4061_YR1,122,10+yr,463,534,21.193239809402684,9.81311107416276,6.784520981318621,14.408718828084062,True,17.197705183620986,78.98085090715277,-0.4342917636675221,True,False,20,0,,,,,,,,,,6.411565139592317,27.414788335132478,6.807843320612202,0.6716594269438569,1.0,1.3670516210958932,2.4612835532654493,0.3608433071586872,1.061806777657582
ECSC_4077_1_123F_4077_YR1,123,10+yr,258,313,39.26868266273466,12.804272121278734,7.505883021960529,31.762799640774134,True,14.220840405076888,83.31888511327375,-0.7020657945975931,True,False,20,0,,,,,,,,,,6.931948886505903,8.275241535287616,0.7701518129943057,0.4829040550298967,1.0,1.3930750398996565,0.7594651370973233,0.11925649920523568,0.1111017731959224
ECSC_4052_1_124M_4052_YR1,124,10+yr,302,370,61.56465611381812,22.27939305415015,16.368630210861788,45.19602590295633,True,7.490155601105334,86.92194119903421,-1.0942505054318619,True,False,20,0,,,,,,,,,,18.78307857029445,49.51027106790597,13.14149459427736,0.590510154644915,1.0,1.2636622983577623,0.42742032585370016,0.2634723597582156,0.6996454039787019
ECSC_4065_1_125F_4065_YR1,125,10+yr,343,396,20.682699496605128,10.107433274973804,6.37370899606182,14.308990500543308,True,11.647323586061427,73.90644519073363,-0.31528582852689563,True,False,20,0,,,,,,,,,,1.8209655720771494,4.228453772888362,1.2574914278131064,0.3969856514495223,1.0,1.1459388884721,-1.0385854069635374,0.21961527822403118,0.6905629887218043
ECSC_4043_1_126F_4043_YR1,126,10+yr,426,483,10.65235346822517,6.530999060763372,3.7113639844179653,6.940989483807205,True,23.44683650490583,59.37704439801561,-0.16357591046016454,True,False,20,0,,,,,,,,,,2.0965690592785897,3.5930440062743765,0.8725554899400723,0.4063849126740942,1.0,1.2936141437050128,-0.0946501893529601,0.16537123777592846,0.416182565548454
ECSC_4067_1_128F_4067_YR1,128,10+yr,320,378,21.71741348778935,7.350559316978758,5.049676896189443,16.66773659159991,True,14.80718651647962,86.19559165610465,-0.5637837848996098,True,False,20,0,,,,,,,,,,14.820706244630447,38.216689874855746,10.007004335443284,0.5455667021562624,1.0,1.2832289477608485,-0.07049875120123561,0.2435320543048477,0.675204283133864
ECSC_4073_1_129F_4073_YR1,129,10+yr,406,497,49.249735236706876,22.667213596891973,8.979361035086258,40.27037420162062,True,17.50194561837375,66.01011827385784,-0.8821424626638352,True,False,20,0,,,,,,,,,,6.205277105960453,16.46621827782531,4.291902300610099,0.45934567587750974,1.0,1.1618079400155674,-0.4570597105298546,0.23673004083466911,0.6916536082631234
ECSC_4053_1_129M_4053_YR1,129,10+yr,491,579,30.87723058677773,18.5760280435161,10.45378222554143,20.423448361236304,True,28.828011541012117,60.2307814316475,-0.38603573296061355,True,True,20,20,16.50303696203664,19.548792694972988,1.7248863757470334,0.4093487941629376,0.0,1.159121446189333,-1.187920236188012,0.1184557287240086,0.10451933057624112,13.676685106675894,46.296946626123,11.072267254209779,0.5805087794895063,1.0,1.27804150884327,1.470399139658758,0.28386097104822977,0.8095724342446957
ECSC_1059_1_132F_1059_YR1,132,10+yr,243,275,9.183451537333886,5.460600924716023,4.675484167367857,4.507967369966028,True,11.846976666049382,82.58379679988495,-0.13334498456530938,False,False,0,0,,,,,,,,,,,,,,,,,,
