age_group,n,L,n_targets_median,n_targets_q25,n_targets_q75,baseline_mean,baseline_ci_low,baseline_ci_high,spike_mass_c_mean,spike_mass_c_ci_low,spike_mass_c_ci_high,cv_c_mean,cv_c_ci_low,cv_c_ci_high,kurtosis_c_mean,kurtosis_c_ci_low,kurtosis_c_ci_high
4-6yr,5,512,20.0,20.0,20.0,7.188712407390173,5.050847626238571,9.219399306345725,0.41190547312199544,0.33978459777989123,0.49006755958304005,1.1988308798814296,1.116382570369926,1.2663838702523376,-0.4857514336469543,-1.1026338187192557,0.11878940436145342
6-8yr,34,512,20.0,20.0,20.0,10.388598427720495,8.561308469769592,12.74564762579945,0.520887849354988,0.48250679509504907,0.5610383180331235,1.272447036210118,1.2333814679731303,1.3137996261406422,0.5219679115961116,-0.05563875537842127,1.1837205050129251
8-10yr,22,512,20.0,20.0,20.0,10.280575261092622,8.444189133039705,12.21787238973267,0.509613712717937,0.4584896508748695,0.5636153010520607,1.248136790044381,1.2000339573338372,1.2982434475629634,0.544509841513115,-0.23363553688874647,1.4216353654198892
10+yr,7,512,20.0,20.0,20.0,14.721455380860206,10.338413773097278,19.122493527775248,0.44855679430192963,0.40754065796518374,0.4937642251694873,1.20087749909589,1.1523262952027025,1.2573730440200155,-0.48528568839051933,-1.0199977875135002,0.11841568799874512
