doc_id,domain,model,population,token_count,half_life,ppl_W4,ppl_W8,ppl_W12,ppl_W16,ppl_W24,ppl_W32,ppl_W48,ppl_W64,ppl_W96,ppl_W128,delta_max,auc_full,log_slope,auc_early,auc_late,early_fraction,measuring_model
random_000,random,random,random,405,22.512571824737183,4567.454422385658,3926.664571331793,5103.584488401122,4716.533425904221,3169.2806620592014,2831.4287059795915,2620.9175933372308,2416.149788189177,2413.155427699957,2346.4637405318304,2220.990681853828,218791.1830236208,820.7941531173674,17653.658067278153,34479.05618136021,0.0806872462743266,mistral-7b
random_001,random,random,random,461,25.391755053262266,6279.462599921159,6445.138142534541,5826.308502846514,5367.114118359235,4888.025172982386,4508.367872456071,4116.129877653305,3692.4212915353264,3437.0234894362748,3364.490254414761,2914.972345506397,273308.5652734721,1011.0436554423378,24839.88343258712,78443.58800423652,0.0908858579230123,mistral-7b
random_002,random,random,random,326,24.658181773619717,2998.382852114791,2641.146161397803,2597.298596532022,2610.3758765936054,2348.50148572777,2077.4342734256456,1980.5816305076728,1808.4908932865696,1666.783155575153,1654.0172446999582,1344.365607414833,130575.026079189,412.41514875408046,14244.170884178891,27919.79164085216,0.1090880186808488,mistral-7b
random_003,random,random,random,270,44.78781273896041,2379.8710566069058,2151.6346507675785,1900.9313064405053,2063.313474609868,2149.501151040867,1855.285090425356,1715.0073049681544,1358.3658812995525,1075.0890025009294,1106.4683677609614,1273.4026888459443,110147.45394123493,376.52190216530585,8669.353225259647,51117.8479625465,0.0787067963448783,mistral-7b
random_004,random,random,random,290,11.80860480829008,1264.4102805869377,1094.866696874089,846.4671792902919,797.948174251359,741.3752774860045,656.537075521357,568.5731405961883,563.0302368359511,494.04616698377,452.2953146379478,812.1149659489897,82239.48424400673,229.7216737202757,11764.492223121231,12119.164334589772,0.1430516294121649,mistral-7b
random_005,random,random,random,311,27.944801947727733,2132.7736003737896,1839.706102808985,1869.6044115741176,1922.2658907732591,1764.6266979937195,1687.5812796437806,1579.0573488650966,1498.1764810517502,1296.4832873242387,1320.4975665210652,812.2760338527244,75622.973517959,232.70502829514544,8213.937505021684,24670.57322285646,0.1086169602028546,mistral-7b
random_006,random,random,random,365,17.695915931548747,2831.0776081183044,2465.17934708897,2246.2420276037024,2059.7344408599797,1660.5938453754995,1611.499893101381,1254.4149946584391,1244.4987224348486,1213.1098437891246,1119.1640498991585,1711.913558219146,174899.8775136721,525.9355036071845,22673.175331735827,35147.241540311625,0.12963516987005,mistral-7b
random_007,random,random,random,317,16.246757226670212,1695.9730141581506,1633.227654585966,1556.1193374635268,1373.2704953635553,1242.9564017469677,1242.9564017469677,1175.2032949266809,1010.9550869489024,1005.9528453891588,1042.5289904847425,653.4440236734083,69115.4390461662,223.6292918442591,8182.810606769004,17443.03364792362,0.1183933824294052,mistral-7b
random_008,random,random,random,288,32.89562382401009,5332.616099796438,4886.813015475151,4263.675687872704,3863.391081219661,3873.465107021533,3878.271490704781,2969.152228297087,2768.927327459937,2402.108524570755,2322.148272828273,3010.4678269681644,285287.347466518,902.7366552343595,32364.91047500661,113305.35451871232,0.1134467082484442,mistral-7b
random_009,random,random,random,358,13.638537019695832,3492.014701436968,3138.7731989495323,2688.7331046026798,2193.935804756327,2114.3400630708934,2269.1998053710136,1863.1239868377168,1590.4555977749696,1629.9903362126945,1480.0796612464974,2011.9350401904703,201585.15188879104,583.4130455250263,28327.22246856315,55867.69939789628,0.1405223658743998,mistral-7b
random_010,random,random,random,353,20.16063445868847,6236.006285377135,5548.482588635374,4479.389588200871,4928.195494630575,4022.27593584134,3714.465532472035,3319.7305165056814,3093.178138405217,2828.9719350223154,2678.084670609428,3557.9216147677075,353631.8910282059,1051.6276146108712,45419.43212805822,66144.54662125805,0.1284370365919162,mistral-7b
random_011,random,random,random,508,14.082095869558891,3577.042664591597,3692.4212915353264,2914.4329616458804,2522.075119046172,2416.149788189177,2292.960843899881,2225.723480643921,2126.4354962774355,2011.0229652507055,1843.359936967218,1733.682727624379,167502.08744040172,534.8958919935745,22942.19987126672,21288.03278273028,0.1369666505166969,mistral-7b
random_012,random,random,random,394,27.885524061952868,1800.6585500193169,1730.603028968099,1436.8568928069462,1492.9835001905597,1466.5597094068016,1330.6893310260225,1252.5496938950994,1229.4661348775,1079.36370464371,1000.4789626679968,800.1795873513202,70256.56847587819,225.65946985183675,8134.146612900197,17005.376839621702,0.115777738499895,mistral-7b
random_013,random,random,random,305,9.287712589671491,399.3472540161234,306.41806555758365,261.6386323122047,240.8385962755535,230.83802401771192,231.296490647728,203.2596299196732,193.56725052076865,181.29921891831515,184.6573571248296,214.68989689129376,23726.98373032357,55.75984139268312,3893.880080554126,3700.230366403485,0.1641118873267345,mistral-7b
random_014,random,random,random,3014,20.456114344928245,1543.0524702671858,1510.3013570877554,1436.6787221961251,1310.8714455415,1198.9023470116165,1131.8650340790073,988.148839168396,1007.9507649820983,947.1169862161416,953.9536442788898,589.098825988296,59853.45154352766,203.9146421146862,6347.536324153347,14031.921345309178,0.1060512996403754,mistral-7b
random_015,random,random,random,388,30.31954331973855,3245.6452198064567,3071.772147050969,3045.2228562829578,2723.633796309168,2759.671868702202,2366.9210111698208,1743.3113644659152,1700.18451687413,1748.0739158377785,1653.1970030878608,1592.448216718596,153591.57934889308,548.2144083724446,12031.93392948026,57202.12139029578,0.0783371977844498,mistral-7b
random_016,random,random,random,1069,13.767661656627428,4664.186203484987,4441.7757706352495,3799.7233169932233,3501.9887819843693,3422.562577929111,3242.426930313404,3339.549744479087,3106.2473443925146,2759.671868702202,2672.113469806985,1992.0727336780024,189717.11650308664,562.9485244226571,26940.70390350306,26287.5223751116,0.1420046034858681,mistral-7b
random_017,random,random,random,425,11.225993648988066,9370.645862203006,7328.701067199993,6994.830024978216,5978.545199561348,5387.118247754259,5665.288479205848,5300.968619667953,4965.000368970897,5118.796353425315,4748.223341302742,4622.422520900264,495224.4283497388,1176.4332767871924,84713.29695233976,54796.82262967186,0.171060416455291,mistral-7b
random_018,random,random,random,257,10.827855910234598,1370.2085780261846,1330.6893310260225,1048.492950582995,1046.4146698952802,976.9393801365046,1028.40453885049,982.5281239841332,942.4306178388003,891.5011667322666,892.1647328845468,478.0438451416378,50072.40199262623,135.92825165913615,7901.072686379051,9358.141545380511,0.1577929632283783,mistral-7b
random_019,random,random,random,458,14.798558392892772,7110.270982360828,5870.548636974662,5372.44127833735,4650.325333452985,3860.038898279332,3587.704482833901,3006.2013166660267,3152.035051855822,2965.472525920044,2624.169755214956,4486.101227145871,460016.4839817367,1289.314296121637,66762.0047618453,55088.09526530646,0.1451295922789059,mistral-7b
random_020,random,random,random,807,36.55935032741115,6053.145500383009,6153.045127571253,6514.241321526742,6694.407650279567,5626.082487575593,4491.6268301894415,3599.290650467145,3568.182023439071,2596.9765308623337,2421.5490033486662,3631.596497034343,283666.9254745943,1322.9886756766366,3571.0240905263345,130190.10904548549,0.0125887925938202,mistral-7b
random_021,random,random,random,368,18.533342292175355,6545.416661139371,6681.138263844935,5606.92899573415,4778.348188063903,3818.8547507217886,3638.332509805118,3194.5337613443926,3489.417442574643,2906.49271577073,2403.5983890175635,4141.818272121807,380183.7464366217,1303.334102073404,47254.30697792911,53849.36093060432,0.1242933382103609,mistral-7b
random_022,random,random,random,240,29.45530042455132,790.4631564200346,958.3407206288148,833.9642003440389,744.7847407925121,636.1008645701414,612.8711768568353,587.8595714071463,587.4223385739022,483.620062288399,450.0573414090999,340.4058150109347,26174.667191692213,129.94581946496226,1373.8223142859383,7752.014839339146,0.052486715656197,mistral-7b
random_023,random,random,random,597,13.506429636923274,3453.258001598191,2923.8448597024394,2753.518756719706,2511.4637556897533,2217.458642476893,2174.973643235736,2177.6724561955843,2074.3451523991016,2014.017786686104,1871.4600981827136,1581.7979034154775,160660.91263492173,422.0343432417872,25566.907328967784,12378.706903158223,0.1591358278106188,mistral-7b
random_024,random,random,random,272,10.589209640208296,1368.1710935275055,1161.5837823989775,1060.7864786883729,1008.4508645823524,1015.2265448747162,986.9242156554257,998.7435269150176,944.068203209643,838.9430763480084,824.5037960331988,543.6672974943067,53336.01174431016,132.150729144699,8562.752978252196,8173.558490338297,0.1605435558118134,mistral-7b
random_025,random,random,random,328,10.840506591036124,1375.6567163021034,1238.6480649874457,939.6299345602712,960.1250074358284,898.3818836510923,792.6226222886977,735.2410559324841,726.7202963197576,751.4643799927762,676.9579285139434,698.69878778816,72574.3997867918,194.59094724323964,10935.667022685322,5667.459738819535,0.1506821558953569,mistral-7b
random_026,random,random,random,392,25.55552805378045,2714.193134040063,2589.901181228831,2644.4234238655104,2119.590470267113,2032.080605942662,1882.1660962440649,1789.750223593579,1559.5966976660584,1329.3698573304907,1291.669021469034,1422.524112571029,129361.21900887464,459.1832305860965,13128.871010544037,36357.7523699148,0.1014900069057276,mistral-7b
random_027,random,random,random,1228,15.873023630830131,3792.661948804392,3420.0169755341008,3318.907272736434,2673.439251704779,2368.682768447032,2166.897255789037,2159.921982801197,1945.7692874849,1698.919969132615,1595.1961474680954,2197.465801336296,213610.4040375903,667.541667965549,27995.826994870964,29541.16651324533,0.1310602220945397,mistral-7b
random_028,random,random,random,348,37.85992651326175,1282.8892498911534,1251.3077012414385,1228.5516937631985,1064.7402068022543,1016.9906218332836,1060.128952844008,896.601147101603,797.5524647755863,668.4491430684953,717.5860402311831,565.3032096599703,52988.51052696378,192.0058668630284,4670.800890295614,26932.7211201422,0.0881474275054179,mistral-7b
random_029,random,random,random,288,23.17813328937841,1712.0324448214465,1654.0172446999582,1556.1193374635268,1479.3456768027056,1408.454123869085,1313.637854369289,1312.6608087807515,1260.3401259673942,1168.2288151915743,1119.4416547718265,592.5907900496202,53574.92610917306,177.6238832574774,6274.0387674576,9055.006658308346,0.117107744669075,mistral-7b
shuffled_000,shuffled,shuffled,shuffled,405,29.31252382015785,5722.481037202999,7621.588407345695,10299.301426073473,9170.6176696765,5940.117106041316,3529.892928015291,3745.4558510148436,3024.5237757619298,3110.8731772603505,2956.659835458726,2765.821201744273,202185.40592832153,1725.8189241375787,-39563.2669448494,31260.214391150974,-0.19567815373813532,mistral-7b-inst
shuffled_001,shuffled,shuffled,shuffled,461,35.72528305878931,7881.095706409337,6679.481440973366,7468.151401166204,6749.423019276071,7335.975211582952,5684.99381060562,4764.7388841288275,3803.023119927041,3448.978341715507,3060.3656538804776,4820.730052528859,410657.3448564993,1488.193121865917,26393.641947341966,173437.9209120004,0.06427169093143822,mistral-7b-inst
shuffled_002,shuffled,shuffled,shuffled,326,7.550269828341412,4557.623806507111,3059.417026860434,2710.9134476110366,2599.3124120812513,2555.446244725414,2332.538180691971,2286.713771785935,2147.6360742372885,1979.3539719400944,1898.1046433090366,2659.5191631980742,287079.1923720897,613.5947943919984,50047.2999182403,23423.672375595943,0.17433273204061714,mistral-7b-inst
shuffled_003,shuffled,shuffled,shuffled,270,26.816050570897026,3239.6135448671585,2997.639297784538,2722.9583756563843,2801.0454903261475,2404.7909458718036,2051.8315150374697,1971.0260502027077,1666.3698181549344,1328.0516919875508,1321.4804452003198,1918.1330996668387,176513.24938488018,607.019283833379,17095.634903701237,45390.53961752884,0.0968518508569568,mistral-7b-inst
shuffled_004,shuffled,shuffled,shuffled,290,9.929345210922262,2232.3575248623897,1633.6327712041507,1095.6816329711078,1075.2223303363758,905.9895554519312,844.1610162674114,660.047305819837,654.7483688074274,559.4112663550853,515.9612914158611,1716.3962334465286,185169.91886515572,451.54827644780954,30048.14353901775,21854.910501020044,0.16227335262213613,mistral-7b-inst
shuffled_005,shuffled,shuffled,shuffled,311,7.0212735711554775,3149.6906599580952,2132.244704257375,2023.0290369513723,2054.3775272622293,2048.780465020098,1940.949450251009,1808.4908932865696,1840.1624357107298,1574.3647599051312,1612.6993719392885,1536.9912880188067,166350.64824567092,339.7883628042813,28790.555509337293,21520.936604453345,0.17307149574084413,mistral-7b-inst
shuffled_006,shuffled,shuffled,shuffled,365,19.717235479384417,3086.664170130358,2588.6168265905276,2630.686190299136,2436.3080723160697,1939.5058285620985,1982.547468193022,1533.1342439003288,1523.279768582874,1507.1207917645395,1324.2692428217695,1762.3949273085884,171266.3164376277,524.3703369327602,21311.971420665355,43959.14163097813,0.12443761192485747,mistral-7b-inst
shuffled_007,shuffled,shuffled,shuffled,317,14.41549962412161,2312.378080455978,1943.357874622971,1820.1904702371082,1639.7215929840577,1454.6056026130811,1462.2014371081807,1408.8034861701262,1254.4149946584391,1085.0000558620482,1110.0416074330424,1202.3364730229355,122906.85765504304,340.480447478503,17743.65658517339,23546.243308481124,0.14436669298773944,mistral-7b-inst
shuffled_008,shuffled,shuffled,shuffled,288,18.356164790427496,7010.460923564682,5432.737408522133,6478.794140105831,5205.8573418594415,4486.060308619303,4428.57585236825,3650.534843304736,3343.693620042123,3153.5989491454325,2977.263653660555,4033.197269904127,400154.98052673985,1201.3007169421498,49787.92788858581,102506.08580329653,0.12442161240389407,mistral-7b-inst
shuffled_009,shuffled,shuffled,shuffled,358,14.41642277129467,3312.3286678107524,3120.1455196674256,2781.6611701008374,2386.3726250567715,2248.4715480436867,2453.5900062192495,2095.0263892370263,1836.514939511285,1808.9394833607391,1773.4015516527127,1538.9271161580398,154890.5134344673,471.48266382127593,20392.95044443939,52058.65147724364,0.1316604225285072,mistral-7b-inst
shuffled_010,shuffled,shuffled,shuffled,353,10.540736922718734,6553.132199320345,5529.250432573751,4299.781319440793,4535.283421838144,3929.587283940733,3775.768159655548,3359.4872958511814,3192.15776014393,2983.916754031737,2943.4898802875746,3609.64231903277,383263.62739991257,1005.9383121385915,57313.838733093864,59322.84085899823,0.14954155478283965,mistral-7b-inst
shuffled_011,shuffled,shuffled,shuffled,508,13.55837331108004,3976.647650374024,3607.333754722684,3501.5545345074647,3180.304235876132,2992.8106871113096,3034.6675016830513,2888.527062210782,2896.4182277267105,2748.0608422414357,2776.1474728591247,1200.5001775148994,129188.36227808095,347.7364347687032,19794.304833924558,18963.96316982302,0.15322049513497862,mistral-7b-inst
shuffled_012,shuffled,shuffled,shuffled,394,11.309803431069376,2453.8942897193515,2060.5008536663418,1685.2808408062344,1756.9843249585267,1671.5439114339163,1577.4916005067216,1503.3875244368878,1335.6490320823782,1175.7863776708257,1046.1551746281923,1407.7391150911592,131074.39608008266,360.0370736636673,18593.901111563457,28345.836804106722,0.14185761420714937,mistral-7b-inst
shuffled_013,shuffled,shuffled,shuffled,305,7.561407641212275,568.643652550038,380.96531465565874,327.80231033466947,316.69415832979587,288.06738960392124,287.06889012147303,257.39071907833113,256.2124400883516,234.64771809144287,234.44411921650712,334.1995333335309,37362.74140911148,79.30271499022916,6596.684839043639,3734.879376925604,0.17655783784203094,mistral-7b-inst
shuffled_014,shuffled,shuffled,shuffled,3014,13.450611363103064,2309.512325363267,1959.0856434281916,1801.328562495316,1714.7946436372883,1520.6374799682912,1589.2726632086417,1358.7028193807469,1280.822766198745,1240.1850396817704,1230.3812566327185,1079.1310687305483,113342.69433574879,308.1990987391709,16194.70528134628,28004.98148755849,0.14288265667457667,mistral-7b-inst
shuffled_015,shuffled,shuffled,shuffled,388,27.662618039215342,4435.170900818777,3863.8702020823466,4120.215366030374,3458.400603778197,3554.932198278542,2586.050027766147,1891.0563608797677,1818.8366655615446,1941.9124616181357,1787.5321668401036,2647.6387339786734,264281.35089657333,889.7667878736094,23844.039828875222,62921.707254645604,0.09022218082352168,mistral-7b-inst
shuffled_016,shuffled,shuffled,shuffled,1069,14.8151369240997,4488.286088930201,4732.938743048553,3818.1444643385107,3518.093854023543,3476.460096026034,3283.700249845132,3187.4110580301535,2970.6253873977575,2862.1414913585654,2725.6610636486616,1762.6250252815394,167549.23216156382,565.6804173803716,20436.060590906913,31472.9310184903,0.12197048191304688,mistral-7b-inst
shuffled_017,shuffled,shuffled,shuffled,425,14.135415949752279,11269.566159301647,9271.241896901844,8508.824896235774,7991.319036948084,7495.986446905116,7303.298316015013,6257.696720191788,6284.136557725487,6054.6469627343295,5195.538500163306,6074.027659138341,580391.6749545491,1573.9197715784883,84759.45390830285,114870.50809072945,0.14603836954577343,mistral-7b-inst
shuffled_018,shuffled,shuffled,shuffled,257,11.963978351204252,1566.574747337943,1577.1004060634677,1268.493579403263,1313.3120917288336,1114.7317228330871,1112.798103677693,1101.5397863168105,1086.3463766422117,992.0778552315804,975.9706748315452,590.6040725063979,58529.46787099478,182.40861981049426,8099.648741171127,6867.261338439639,0.1383858257352283,mistral-7b-inst
shuffled_019,shuffled,shuffled,shuffled,458,18.63378221903005,9289.655479528112,8886.263218468544,6939.5352150622075,7026.1267515189575,4958.8471904691,4298.715037655944,3192.15776014393,3362.8217742831243,3656.8780820981156,3401.4069860954623,5888.248493432649,633397.7991338039,1984.6746529676523,79205.45055011759,75062.06616395811,0.12504850925979552,mistral-7b-inst
shuffled_020,shuffled,shuffled,shuffled,807,7.28033328245183,11015.334768089668,6493.27188635628,8129.252105356008,7503.426631353562,5519.659367448034,4861.4270310738175,4881.967390671108,4919.647022370607,3732.9362331057036,3598.3980799446363,7416.936688145031,764654.4511133699,1874.7879184216467,119285.0651514813,54594.24320836694,0.15599865400351376,mistral-7b-inst
shuffled_021,shuffled,shuffled,shuffled,368,16.602471966751096,7493.895224587284,7581.995829563482,5599.8066603541165,5254.174979839168,4451.425507818674,4177.321769797745,3614.7223884520736,4077.5192178079024,3445.1311827819814,2893.5462217869044,4600.34900280038,432026.7354205842,1379.9067271300976,58268.32485882361,55367.35890196487,0.13487203471817216,mistral-7b-inst
shuffled_022,shuffled,shuffled,shuffled,240,11.174773448846114,1398.707075542298,1206.5087182560276,890.3963197220334,786.9421682395044,768.1409264422931,763.6769361313446,720.6179638236051,692.2385042489315,588.0053879936261,512.517736111364,886.1893394309341,87063.67169296672,228.19297873943415,14057.275646686756,12043.502662828432,0.16145971532489764,mistral-7b-inst
shuffled_023,shuffled,shuffled,shuffled,597,12.431276446401375,4643.410352819618,3641.4921557289067,3413.237955009489,2897.1366745114997,2422.1496604219474,2367.508117953657,2344.718509120659,2297.5148857884938,2156.710203493367,2071.774394081173,2571.6359587384454,278288.05763321044,692.7369625258971,46279.69892809729,13521.74415798091,0.16630141919023675,mistral-7b-inst
shuffled_024,shuffled,shuffled,shuffled,272,14.72151367656136,1586.9094329184572,1468.7437145275364,1338.965765001625,1274.8013415714843,1284.9590676551952,1228.2470312244593,1172.292215676581,1113.9026178338868,1035.5710921016596,1003.7099191278916,583.1995137905657,55016.69600043321,162.40325604060118,7187.338622194938,13397.766815614468,0.13063922672016406,mistral-7b-inst
shuffled_025,shuffled,shuffled,shuffled,328,13.889451408599157,2443.8728308019486,2372.7986366885275,1991.6648788371087,1221.5635368317003,1161.5837823989775,1055.5376696381866,974.519417590112,967.5353716948752,892.8287929453655,811.9223941641585,1631.95043663779,171031.68849689787,515.1024900971945,25238.63738001335,12512.875645163389,0.14756702457785256,mistral-7b-inst
shuffled_026,shuffled,shuffled,shuffled,392,7.593102099535189,4628.4631490613565,2780.2817200075674,2767.897412155667,2586.050027766147,2306.078106925358,1966.1436498036264,1730.8176507857647,1545.3503886369663,1257.2181554924894,1308.1108625337997,3320.3522865275568,358978.89232102945,844.6397871911624,56317.82572572807,47078.394666559245,0.15688339044559724,mistral-7b-inst
shuffled_027,shuffled,shuffled,shuffled,1228,16.315189234925302,4793.185002182319,4513.962074335151,4290.194297063669,3473.0129370661516,2831.7798473825,2790.644293646795,2671.4508254285324,2522.075119046172,2173.3559611658716,2102.3134302134395,2690.87157196888,266114.47515074164,855.9774752973027,34751.290995100935,39119.27613623041,0.13058775166370007,mistral-7b-inst
shuffled_028,shuffled,shuffled,shuffled,348,10.204121092175281,1928.7128357435024,1437.7480773549578,1303.415043482906,1101.2666208411326,1142.2994955275437,1070.5656796387848,1053.9680971846572,746.9120350997442,773.3978898741381,798.7401822997703,1129.9726534437323,123427.57584230615,301.48437688588325,19153.622838157324,21891.826018095944,0.15518106636582107,mistral-7b-inst
shuffled_029,shuffled,shuffled,shuffled,288,15.185144024397722,1990.6771948113167,1833.784062781381,1747.6404195186517,1581.8011489552855,1536.1791967115216,1459.6650952692198,1483.3871004554876,1451.7223417094476,1313.637854369289,1240.4926634032954,750.1845314080213,68780.87446454147,203.47877501268047,9813.008287393339,7990.704621106825,0.14267059504240862,mistral-7b-inst
