early_ratio,log_slope_local,log_slope_r2,auc_log_k,auc_linear_k,gain_128,essay_id,window_idx,target_start,score_bin,grade,token_count,baseline_nll
0.5806158853508326,0.35441358496171926,0.9506772165685973,2.430420147460458,124.26537555047582,1.225949350624315,00C819ADE423,0,128,mid,10,887,2.3164619440212846
0.5304226180456059,0.30062233433528657,0.8787059553586068,3.039747118360328,134.64190279379966,1.3269539936896293,00C819ADE423,1,162,mid,10,887,2.3164619440212846
0.4875395907298296,0.20732023502154567,0.9284855135374366,2.3918199394323962,101.77487258180496,0.9269701302532228,00C819ADE423,2,197,mid,10,887,2.3164619440212846
0.5206788173278678,0.1505744969686722,0.916441967094655,1.436373012586468,65.01519400458182,0.675929578081254,00C819ADE423,3,237,mid,10,887,2.3164619440212846
0.46377548075752006,0.40651289644894206,0.9763201308833949,2.0063346858382567,119.38688936733432,1.224292228298803,00C819ADE423,4,264,mid,10,887,2.3164619440212846
0.5826707284047488,0.40566562349818197,0.9724589684975299,3.5776012315964083,166.5802868734445,1.6334301909852416,00C819ADE423,5,300,mid,10,887,2.3164619440212846
0.24249830916141255,0.35873386340291247,0.9029938476817053,2.1097483430022,115.37477628129626,1.1901150581336792,00C819ADE423,6,333,mid,10,887,2.3164619440212846
0.9626712510299392,0.233061597006227,0.7378473626714133,3.5888571371072566,139.4700254432617,1.1745694058556713,00C819ADE423,7,369,mid,10,887,2.3164619440212846
0.5869623485584231,0.27168973961937976,0.9399577439713077,2.478896472332492,113.7673802529612,1.0885303866478706,00C819ADE423,8,406,mid,10,887,2.3164619440212846
0.3834356393463801,0.3969603935478155,0.9767709782506453,2.226477136258878,124.64058246054958,1.302455481021635,00C819ADE423,9,440,mid,10,887,2.3164619440212846
0.6145764268810144,0.5320729915981036,0.9722808384506041,5.162328392909043,232.117519998262,2.1487685247294364,00C819ADE423,10,473,mid,10,887,2.3164619440212846
0.8554382157383336,0.2952945439277436,0.8256510787645052,2.622929434870714,120.66833238447872,1.0246050511637046,00C819ADE423,11,515,mid,10,887,2.3164619440212846
0.5138831373077156,0.46918618896755654,0.9481771177216877,3.312057919792496,169.22892539731916,1.8356563814224731,00C819ADE423,12,543,mid,10,887,2.3164619440212846
0.6298802237896668,0.3246460081329609,0.9630127271510175,3.9100687691025446,164.3594787928366,1.5760512621172014,00C819ADE423,13,586,mid,10,887,2.3164619440212846
0.29095195235463867,0.3948127418860171,0.9323979212323379,2.2217807377026384,124.34697291543407,1.299830199249329,00C819ADE423,14,612,mid,10,887,2.3164619440212846
0.4658746330633699,0.5551177462301361,0.9676941295129073,4.320677293779833,209.30593900526728,2.031157508973153,00C819ADE423,15,648,mid,10,887,2.3164619440212846
0.41829811196911265,0.4781513257029762,0.9620834044838348,3.2384436063391107,167.9563750451611,1.768757635547269,00C819ADE423,16,691,mid,10,887,2.3164619440212846
0.6037570707395179,0.1756524929604617,0.8824420264172081,1.4318713367149218,67.08744206736165,0.7768065621775966,00C819ADE423,17,723,mid,10,887,2.3164619440212846
0.7908163511798431,0.20000378016007436,0.8871860159392296,5.185874627362722,183.12599481882586,1.554103737877261,00C819ADE423,18,758,mid,10,887,2.3164619440212846
0.46061317060205625,0.3890792442866788,0.9649833815293033,2.356831973159941,127.32279465371563,1.235478562693442,00C819ADE423,19,791,mid,10,887,2.3164619440212846
0.8093283319382621,0.07424958446048156,0.6739437131407124,2.3358011663434164,78.46624608193669,0.755050166960685,057DACBB2B12,0,128,low,9,1218,2.9552520334720613
0.6037782340627634,0.2591802627936693,0.9351450600768189,1.7897779414205275,91.22958570911034,0.8609651134860128,057DACBB2B12,1,178,low,9,1218,2.9552520334720613
-0.6682438571875641,0.16000534324678842,0.6376124214318337,-0.08349680512615508,23.496305337836674,0.3502246410615983,057DACBB2B12,2,234,low,9,1218,2.9552520334720613
0.4095574042234586,0.3338045447214908,0.9763874767567462,2.5057880760636912,124.25311989938054,1.2903535212239907,057DACBB2B12,3,284,low,9,1218,2.9552520334720613
0.7195165169220313,0.2599786299612223,0.8086455397086578,1.9198672395709977,95.09110694546854,0.8342685084189139,057DACBB2B12,4,337,low,9,1218,2.9552520334720613
0.3733896462206821,0.36802815696474034,0.9160274209649112,2.20321097821357,121.30104730206153,1.24883460229443,057DACBB2B12,5,390,low,9,1218,2.9552520334720613
0.5256379751083405,0.20915250267138316,0.8482470072682492,0.8904535168239376,56.29452400366145,0.5578277995509486,057DACBB2B12,6,440,low,9,1218,2.9552520334720613
0.9896915554101503,0.13357360280680355,0.4344708506832817,2.71827342223969,99.84384538978338,0.9112994074821472,057DACBB2B12,7,495,low,9,1218,2.9552520334720613
0.23650368572848737,0.1555028680445413,0.5727983719480522,1.0538533214176895,55.98660923588662,0.7795211922737861,057DACBB2B12,8,545,low,9,1218,2.9552520334720613
