corpus,n_docs,median_tokens,baseline_nll,L50_mean,L50_ci_lo,L50_ci_hi,L80_mean,L80_ci_lo,L80_ci_hi,L90_mean,L90_ci_lo,L90_ci_hi,tail_33_128_mean,tail_33_128_ci_lo,tail_33_128_ci_hi,tail_65_128_mean,tail_65_128_ci_lo,tail_65_128_ci_hi,mean_lag_mean,mean_lag_ci_lo,mean_lag_ci_hi,gain128_mean,gain128_ci_lo,gain128_ci_hi
ecsc,341,393.0,2.5713735401761495,9.891315987938258,9.664913128653698,10.120980358190886,31.566237009721643,30.68451995085999,32.49922488170814,54.46609030611357,52.940006569241746,55.94006966519822,0.1867493206315938,0.1807104664333788,0.1927612091350335,0.0722763775223409,0.06834340685424,0.0762108489847751,19.935517281364373,19.54416321690252,20.32694305024321,1.7290070976362455,1.7083163105062409,1.7480368680252938
persuade,150,914.5,2.445768942445517,11.329501745470466,10.847085388397147,11.835139991610315,40.392577215411755,38.69727805068033,42.286911401816475,67.23388826615997,65.16714956994527,69.24233481714629,0.2390494585283115,0.2296662463939776,0.2482846173923792,0.1102490877213744,0.1040733906478734,0.1165586140963014,23.72704833501413,23.037828973311928,24.36326001195893,1.2432542410182057,1.212907554198725,1.2750309790468033
