doc_id,gain128,baseline_nll,token_count,age_group,task,L50,L80,L90,tail_33_128,tail_65_128,mean_lag,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10
ECSC_1091_1_98M_1091_YR1,1.7066560895212235,3.186739814281464,1212,8yr,one_frog_too_many,14.200761148233166,52.40443783825252,79.22992085019646,0.2783880584070415,0.1485737220555719,27.819123855030824,0.0576944508863887,0.0833068942265606,0.2397630514052642,0.1003059785511397,0.0472940641654667,0.1267777111734807,0.0664697911846576,0.0632893884096467,0.0665249479418229,0.1058182543370877,0.0427554677184842
ECSC_1058_3_86F_1058_YR3,1.7346517064879017,2.689794236421585,1246,7yr,frog_where_are_you,10.61963231582497,37.5561533897419,68.6072424125681,0.229539267911055,0.1074693778776418,23.196467545275397,0.1194220367256504,0.171199598537774,0.1686432811433169,0.0754524650970107,0.0699614658312249,0.0733335017008002,0.0924483830531676,0.0972506807306859,0.0248192093027272,0.0641905055784837,0.0432788722991581
ECSC_1021_2_94F_1021_YR2,1.658595004389363,2.636409068107605,1402,7yr,frog_on_his_own,9.721915266657057,31.341243282924506,61.71659048502695,0.1955786585622487,0.0908264968211451,20.913527621735245,0.1372916070535537,0.1653687416392243,0.1641356897462093,0.1379827928342695,0.0428335662770171,0.1098274266413803,0.0469815172460968,0.0444902828356643,0.0602618789054392,0.0632205436484977,0.0276059531726474
ECSC_1015_2_102F_1015_YR2,1.9312241279309792,2.6889507353305815,1160,8yr,frog_on_his_own,10.543946946456913,43.96256741853963,63.367563000305466,0.2842146452677103,0.096963419129295,23.45872017111704,0.0954699370780423,0.1402118232419935,0.2079227920098718,0.1095804123312191,0.0838275645944555,0.0598982838604868,0.0188745416162203,0.1152302768856243,0.0720209492527909,0.0719703760595938,0.0249930430697012
ECSC_1021_3_94F_1021_YR3,1.7294126860557064,2.699956166744232,989,7yr,one_frog_too_many,10.516367449494746,36.787893940252864,58.038933427722995,0.2212455323074064,0.0755240583272597,21.38266177403747,0.0830042071412332,0.1321362334847761,0.2238725574256306,0.1206574342558205,0.1219076199293075,0.0695134260079023,0.0276629894479232,0.0841319713903654,0.0615895025897812,0.0403464143023669,0.0351776440248928
ECSC_1010_1_99M_1010_YR1,1.6080317281907603,2.778113317489624,838,8yr,one_frog_too_many,9.945004025854596,29.646679598068584,46.17600836039093,0.1739219968835813,0.0515709709253722,18.652533479951597,0.1305922883673382,0.1138907843233553,0.2081684250076149,0.1503120653656663,0.0435653271333272,0.1019795555969963,0.0775695573221203,0.0841552253857867,0.0381958005724223,0.0367011954075892,0.014869775517783
ECSC_1021_1_94F_1021_YR1,1.5563687700898416,2.69899051040411,965,7yr,frog_on_his_own,10.444086954070547,39.990588838489074,70.59923714122509,0.2341336273465394,0.1172497479107338,22.525963529669916,0.1403551256958742,0.1617622123675348,0.1409678551286369,0.1182369385323865,0.0845905094181359,0.0775422642736695,0.0424114672372225,0.0732419574412772,0.0436419219945282,0.0955026857668951,0.0217470621438387
ECSC_1015_1_102F_1015_YR1,1.832737439822766,2.6107883974909782,1109,8yr,one_frog_too_many,13.227982198496564,25.456720136970866,38.787065834973,0.1144419014575043,0.02135582225192,17.59892237699634,0.06586257401183,0.1235414880912105,0.1844237212920437,0.1178319638631003,0.1097487364822594,0.1926195714087657,0.0915300433932858,0.0374332222995296,0.0556528569060546,0.018121329767082,0.0032344924848379
ECSC_2025_1_135M_2025_YR1,1.9777227917025164,3.056775164604187,849,10+yr,,15.84863195251252,49.0654455186815,80.72499777177462,0.2692398991356994,0.132109265826215,28.729647653155208,0.0705413960975399,0.0747285413026588,0.1409466850177459,0.1257859841931634,0.0926733198838934,0.1429110086891984,0.0831731656801005,0.0689423914787266,0.0681882418307577,0.0632996745092905,0.0688095913169245
ECSC_1099_1_97F_1099_YR1,1.826085627655829,3.0589410603046416,847,8yr,one_frog_too_many,10.931148555613737,46.04373341649184,74.99289210792675,0.2672564017532099,0.1288394060389459,25.356798104058235,0.0862163948088899,0.1108467185812255,0.2085833281020617,0.1465763339131137,0.0519722353137513,0.0858951438680861,0.0426534436596615,0.0773433490309302,0.0610736466833337,0.089465750010264,0.0393736560286819
ECSC_1009_2_94F_1009_YR2,2.178139039681804,2.395235702395439,1510,7yr,one_frog_too_many,11.653459483593911,36.47273446489832,53.447845660270275,0.2268880575185511,0.0744993820603882,22.315784994026636,0.1070418630380685,0.0753331329565593,0.1884182592358264,0.1460810827168281,0.0683218165693596,0.125730441587387,0.0621853463774195,0.1161392749301586,0.0362494005280043,0.0418859009465294,0.0326134811138587
ECSC_4015_1_104F_4015_YR1,1.956433440408399,2.580298697948456,804,8yr,,9.84328681459718,23.353523760686052,52.46806884997716,0.1675411800841992,0.0738399843403334,18.86850697534969,0.091117913520393,0.1211432181924138,0.2560638431683193,0.1126841706899118,0.1027446963439406,0.1280742997500457,0.0206306782507762,0.0596739170695371,0.0340272786743287,0.0590437071298761,0.0147962772104573
ECSC_1073_1_70M_1073_YR1,1.7367847442626954,2.661264705657959,973,5yr,one_frog_too_many,9.63542062690267,27.548473948782927,58.4723225055133,0.1671115233153674,0.0775208576220047,20.304030836744825,0.093857081587505,0.1254317337936814,0.2499915069155723,0.1450362629223236,0.0610880300762298,0.1057669144044798,0.0517169469848405,0.0285908812438815,0.0609997844494811,0.0399074241957338,0.0376134334262709
ECSC_1099_2_97F_1099_YR2,1.6805077885427782,2.5498851597309113,871,8yr,frog_on_his_own,10.06060978841746,30.749114060891173,61.34378264460824,0.1839295793420253,0.0904843402315137,21.64519429590481,0.0983599148548593,0.1140356240815062,0.238302925907097,0.1394524235820037,0.055618249684057,0.0803706653045062,0.089930617243945,0.0397090882501258,0.0537361508603856,0.0548617015959609,0.0356226386355528
