doc_id,gain128,baseline_nll,token_count,score_bin,grade,L50,L80,L90,tail_33_128,tail_65_128,mean_lag,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10
057DACBB2B12,0.9664377193297108,2.9552520334720613,1218,low,9,13.49475835677255,54.7809351112737,77.84732042931599,0.3017824981600571,0.1486708561078557,28.265361037459932,0.0347410752073581,0.1698931874050843,0.1460625847354329,0.1435525355353367,0.0348692470055518,0.0834567460130436,0.0856421259381351,0.0695958877240482,0.0835157543281532,0.1174405626172931,0.0312302934905625
7263826C2217,1.154858278170709,2.564365711808205,1250,low,9,7.758038529537123,22.91843913109166,45.92103197688338,0.1513076196906721,0.0618979102358362,17.744613094369736,0.1177718149395994,0.207947853176157,0.1895698664298483,0.1103390951573281,0.0966295241691035,0.0919487234458321,0.0344855029914591,0.0595629123693031,0.0298467970855326,0.0275530437272273,0.0343448665086089
05F9DC51226B,1.303884675065356,2.5264153845608233,1395,mid,8,11.773548864801548,44.49140551893534,77.01560006816484,0.2849789935701298,0.1291406196487462,26.305660349860727,0.1130695441936079,0.1152564180902775,0.176903970189688,0.1025077315879991,0.0736676449387203,0.0652916432429173,0.0683240541866598,0.1109250649497604,0.0449133089716231,0.075182196809676,0.0539584228390702
153972503B34,1.0739123845713272,2.6243576331064107,1136,mid,9,10.48955330609855,40.04807952866433,58.733490421599015,0.2512280234518211,0.0771654343506746,22.334488843000972,0.0211520298541728,0.1816725794486118,0.2210109042832992,0.1533973026049123,0.0490397173939315,0.0683766973832106,0.0541227455800404,0.1090254939167709,0.0650370951843756,0.0564647493324927,0.0207006850181818
E2F4E68CFEAD,0.9979957296963662,2.6263995319604874,991,high,11,9.605584410635926,29.972245402227983,67.87468653511179,0.1776121750750077,0.1063067214413835,21.08491364588854,0.1513106507125336,0.1984048718070837,0.1260762587089981,0.1199249106130215,0.0625063889218732,0.0868798623285719,0.0772848818329099,0.0385693422332847,0.0327361114003394,0.0680103247066858,0.0382963967346977
B49ED6AC9AF3,1.3563733992076688,2.7071372479200364,841,mid,9,11.65969122223614,41.394922943820674,59.71908470992644,0.2610432007521351,0.0792439507617238,22.971022866079995,0.146625896424298,0.1628520715904315,0.1111127690795079,0.0895697164864854,0.0469976183371901,0.123732584804033,0.0580661425259187,0.1090716397767544,0.0727276102136568,0.056123050510393,0.0231209002513307
457D9B0CF71F,1.0749253791847058,2.638856082223356,956,high,10,11.329148898106553,37.265349945187715,61.537802643013826,0.2231709111848739,0.091813716981529,22.435786511045496,0.11609769843215,0.1179951229943571,0.1412926673730332,0.1605064982772406,0.1096206206800114,0.0894683881203879,0.0418480929379456,0.0814853815606001,0.0498718126427447,0.0568216771849905,0.0349920397965385
7B000D776D89,1.2814380008847484,2.7191267892718316,1097,mid,8,10.220987654964006,34.096140294862366,60.95887563106738,0.2051038463177326,0.0910332115933568,21.265836138036526,0.1309320469397724,0.1231662096958264,0.1994908301573633,0.1140328807216456,0.0656163240346035,0.1257657280601684,0.0358921340728874,0.06984297094525,0.0442276637791257,0.0617805901805325,0.0292526214128242
A2403E2ED72A,1.1871376395225526,3.0203649282455443,828,low,10,15.569047889971175,55.12729032845028,84.30708281015612,0.30897653925282,0.1607770406793848,30.016274547519647,0.0279206528571771,0.1946449149242596,0.1341032135587746,0.0493272765182126,0.1097728958364761,0.0888310281215146,0.086423478930765,0.0818900608042995,0.0663094377691356,0.0975853410681919,0.0631916996111929
CF165F9553A4,1.1332670658586488,3.0962767146527765,826,low,10,11.39676796726261,43.206754874307,65.86221074500023,0.2782884946179244,0.1020406283671937,24.005663758456564,0.0896967787567279,0.1460596977856175,0.1936950408095589,0.0883045212699533,0.082985433168094,0.0907683237815345,0.0302017098105892,0.1150539455223849,0.0611939207283457,0.0733689295219644,0.0286716988452292
762F8D750987,1.4158367774839842,2.343193515203893,1507,mid,10,11.879727013695772,35.377060422564654,49.44379158988976,0.2187039630804081,0.0778253179532264,22.531330823613672,0.0738313906644361,0.1556910837778581,0.1711307805031752,0.1034960028315638,0.0715766512758717,0.120675856041545,0.0848942718251416,0.1180278984677303,0.0228507466594513,0.0337856794348736,0.0440396385183528
E743F9AC8BBE,1.6570494474903232,2.5401571929454803,791,mid,10,17.69034827255222,69.63639517532522,108.34463838172704,0.343274012779605,0.2074358981635161,35.36283085413912,0.0756400910956899,0.1194794676215732,0.1548166714396533,0.0841576388789864,0.0570296976340137,0.0900053433622258,0.0755970771882525,0.0816087553116465,0.0542293593044423,0.0497181181396654,0.1577177800238507
8FFFA9711FA2,1.4193348432620687,2.578032111749053,975,mid,10,15.145430598225728,46.69374049614372,82.26355574147097,0.2935471895602379,0.1374740306112447,28.31191557907315,0.117516543718266,0.0542256850897941,0.1734922562083096,0.1085950181568144,0.0645611610997784,0.1386372876649411,0.0494248585018581,0.1024707488650535,0.0536024100839396,0.0672917541638259,0.0701822764474188
A143BE759AD2,1.2995250330336634,2.52552620023489,882,mid,10,15.158894200011718,50.42223339999934,78.46944147788714,0.2726260677878539,0.1347463557565124,27.75322095301164,0.0775730835899025,0.1256482264294382,0.139664597245407,0.0936307220143168,0.0882165101753341,0.1357199438429155,0.0669208489148316,0.0657909295026841,0.0720887825286573,0.079968945276626,0.0547774104798863
09601E40B377,1.365168763288567,2.7640996553003787,804,low,10,13.067631350422309,50.64221070815428,83.18846279635356,0.2675182191557435,0.1565089882455536,27.4773718680119,0.1349607067546827,0.1699251337503333,0.1129245783576069,0.081159674287146,0.045684738385379,0.0905032729277665,0.097323676381342,0.0621714208456956,0.0488378100644941,0.096312627143144,0.0601963611024096
