doc_id,domain,model,population,token_count,ppl_W4,top10_acc_W4,topk_sim_W4,expected_sim_W4,content_top10_acc_W4,content_topk_sim_W4,ppl_W8,top10_acc_W8,topk_sim_W8,expected_sim_W8,content_top10_acc_W8,content_topk_sim_W8,ppl_W12,top10_acc_W12,topk_sim_W12,expected_sim_W12,content_top10_acc_W12,content_topk_sim_W12,ppl_W16,top10_acc_W16,topk_sim_W16,expected_sim_W16,content_top10_acc_W16,content_topk_sim_W16,ppl_W24,top10_acc_W24,topk_sim_W24,expected_sim_W24,content_top10_acc_W24,content_topk_sim_W24,ppl_W32,top10_acc_W32,topk_sim_W32,expected_sim_W32,content_top10_acc_W32,content_topk_sim_W32,ppl_W48,top10_acc_W48,topk_sim_W48,expected_sim_W48,content_top10_acc_W48,content_topk_sim_W48,ppl_W64,top10_acc_W64,topk_sim_W64,expected_sim_W64,content_top10_acc_W64,content_topk_sim_W64,ppl_W96,top10_acc_W96,topk_sim_W96,expected_sim_W96,content_top10_acc_W96,content_topk_sim_W96,ppl_W128,top10_acc_W128,topk_sim_W128,expected_sim_W128,content_top10_acc_W128,content_topk_sim_W128,hl_ppl,hl_top10_acc,hl_topk_sim,hl_expected_sim,hl_content_top10_acc,hl_content_topk_sim
shuffled_000,shuffled,shuffled,shuffled,405,5605.19100591647,0.07936507936507936,0.046295408218625995,0.1531187996031746,0.05660377358490566,0.037675677605395044,5878.562042073209,0.1111111111111111,0.047088623046875,0.15039256262400794,0.09433962264150944,0.03778479234227594,4407.756160210303,0.09523809523809523,0.047185504247271824,0.15587022569444445,0.07547169811320754,0.03876365805571934,3862.9120197680804,0.1111111111111111,0.05061122349330357,0.16204833984375,0.09433962264150944,0.042227691074587265,3438.72878510432,0.1111111111111111,0.049699086991567464,0.16934930710565477,0.09433962264150944,0.040558437131485846,2753.518756719706,0.09523809523809523,0.05054292224702381,0.17023867652529762,0.09433962264150944,0.04178259507665094,2597.6207021428863,0.1111111111111111,0.051172650049603176,0.17296878875248015,0.09433962264150944,0.0416881633254717,2290.6872091394116,0.1111111111111111,0.050581674727182536,0.17541310143849206,0.09433962264150944,0.04159833800117924,2109.1026615831406,0.15873015873015872,0.05094497922867063,0.17262389167906747,0.1320754716981132,0.04187817843455189,2050.8139938507716,0.15873015873015872,0.051261780753968256,0.1712462410094246,0.1320754716981132,0.04248046875,16.658385660378713,69.33333333333333,13.860152714932127,16.147027600849245,8.0,13.517785904255318
shuffled_001,shuffled,shuffled,shuffled,461,2936.1986036630324,0.15873015873015872,0.0504334464905754,0.1464301215277778,0.0851063829787234,0.0388300469581117,2718.235118601197,0.14285714285714285,0.050695025731646824,0.14696974981398808,0.06382978723404255,0.04001698595412234,2521.4496819460805,0.15873015873015872,0.051778157552083336,0.14981030660962302,0.0851063829787234,0.04066889336768617,2540.910544291474,0.1746031746031746,0.05032833038814484,0.1529725089905754,0.0851063829787234,0.03940079060006649,2039.6545092519536,0.1746031746031746,0.049829876612103176,0.15095641121031747,0.0851063829787234,0.03950662815824468,1882.632961204153,0.1746031746031746,0.05109126984126984,0.15658714657738096,0.0851063829787234,0.0390625,1805.3538760455717,0.1746031746031746,0.05116199311755952,0.1625424339657738,0.0851063829787234,0.039770248088430854,1477.5123077515923,0.20634920634920634,0.05232650514632937,0.1628350151909722,0.0851063829787234,0.039404037150930854,1457.1331529813485,0.1746031746031746,0.051177978515625,0.16836402529761904,0.0851063829787234,0.03909042033743351,1305.1942285984487,0.19047619047619047,0.05300515795510913,0.17096916077628968,0.10638297872340426,0.04036047103557181,22.706578654999777,16.0,11.782647584973178,37.675614120709255,112.0,6.578774617067835
shuffled_002,shuffled,shuffled,shuffled,326,3067.204456968262,0.1111111111111111,0.06293984064980158,0.16749403211805555,0.047619047619047616,0.035740443638392856,2463.345818466135,0.09523809523809523,0.06406899104042658,0.1777285621279762,0.047619047619047616,0.03583562941778274,2349.9581013765105,0.09523809523809523,0.06584918309771826,0.17978438120039683,0.023809523809523808,0.037029448009672616,2121.1681333653232,0.09523809523809523,0.06438676137772817,0.17941429501488096,0.047619047619047616,0.036480858212425596,1841.07544111781,0.14285714285714285,0.06683446490575397,0.18455093625992064,0.07142857142857142,0.03829810732886905,1873.7822967907373,0.1111111111111111,0.06717451791914683,0.18481639074900794,0.047619047619047616,0.037442161923363096,1906.5972673978602,0.12698412698412698,0.06660243443080358,0.17606608072916666,0.07142857142857142,0.037915184384300596,1878.4353420728337,0.12698412698412698,0.06569707961309523,0.1768469432043651,0.07142857142857142,0.038562593005952384,1559.9835503734055,0.1746031746031746,0.06687612382192461,0.19133455791170634,0.11904761904761904,0.03944178989955357,1440.9609208850763,0.19047619047619047,0.06874302455357142,0.19862002418154762,0.14285714285714285,0.04035877046130952,13.676217069887493,80.0,11.98258503401361,21.673330818559002,80.0,22.90603758496602
shuffled_003,shuffled,shuffled,shuffled,270,2444.6305973242966,0.19047619047619047,0.062174479166666664,0.1868712410094246,0.12195121951219512,0.03805616425304878,1895.2821833933472,0.23809523809523808,0.06352015904017858,0.19202144562251985,0.12195121951219512,0.03764678210746951,1854.5950085696632,0.1746031746031746,0.06282455202132936,0.1904534233940972,0.0975609756097561,0.037816489615091466,1510.8633296792586,0.20634920634920634,0.06314522879464286,0.1948794410342262,0.0975609756097561,0.03855933212652439,1274.9594368576425,0.23809523809523808,0.06658741784474206,0.2063327365451389,0.0975609756097561,0.04017453077362805,1364.4435708756375,0.23809523809523808,0.0672636486235119,0.2079186817956349,0.0975609756097561,0.03898360089557927,1194.0061497031622,0.2222222222222222,0.0642457992311508,0.2072908916170635,0.0975609756097561,0.03810082412347561,1109.766333632238,0.2222222222222222,0.06564767020089286,0.21373446025545634,0.0975609756097561,0.03974877334222561,989.4976802113006,0.2222222222222222,0.06470307849702381,0.2163880363343254,0.0975609756097561,0.038386647294207314,987.78129264514,0.2222222222222222,0.06605650886656746,0.22191414000496032,0.0975609756097561,0.040245986566310975,13.610431299572697,5.333333333333333,18.254995778215584,22.644899340213147,,18.93087557603688
shuffled_004,shuffled,shuffled,shuffled,290,638.4717185752049,0.23809523809523808,0.07223268539186507,0.1966068328373016,0.14634146341463414,0.049122880144817076,549.6467469753136,0.23809523809523808,0.07339525979662699,0.20582023499503968,0.14634146341463414,0.051076005144817076,490.20146921001225,0.2857142857142857,0.0733642578125,0.19871399894593253,0.1951219512195122,0.0520287490472561,489.53324747065346,0.2857142857142857,0.07240319630456349,0.2122860863095238,0.17073170731707318,0.051778653772865856,467.6955080369658,0.23809523809523808,0.07253882998511904,0.2115691654265873,0.12195121951219512,0.05095095750762195,409.73105951437753,0.30158730158730157,0.07379828559027778,0.20808919270833334,0.24390243902439024,0.053183951028963415,436.15644249959854,0.2857142857142857,0.07195560515873016,0.20067003038194445,0.2682926829268293,0.051960270579268296,389.17834088354135,0.31746031746031744,0.07287016369047619,0.2051265656001984,0.2682926829268293,0.05408012576219512,329.7593332575932,0.3333333333333333,0.07532513330853174,0.2257409474206349,0.2926829268292683,0.05662573837652439,307.8654073715729,0.3333333333333333,0.07629200768849206,0.2333829365079365,0.2926829268292683,0.056396484375,21.995010443991212,12.0,82.14680347277039,79.31873296362446,30.4,30.480000000000018
shuffled_005,shuffled,shuffled,shuffled,311,1202.0285573599356,0.2857142857142857,0.07749381897941468,0.24102298797123015,0.11764705882352941,0.05078573787913603,1020.781115484813,0.31746031746031744,0.07858179485987103,0.24242195250496032,0.11764705882352941,0.05109270881204044,941.7296653848199,0.2857142857142857,0.07995508587549603,0.24838983444940477,0.08823529411764706,0.050948199103860295,900.8361726321956,0.2857142857142857,0.08151196676587301,0.24847121465773808,0.08823529411764706,0.05193373736213235,941.9632582560978,0.30158730158730157,0.08534264942956349,0.2518562437996032,0.08823529411764706,0.05367503446691176,863.4298873598038,0.2857142857142857,0.08414277576264881,0.2467467292906746,0.08823529411764706,0.05382133932674632,751.4643799927762,0.31746031746031744,0.08465769934275794,0.2527010478670635,0.08823529411764706,0.05539299460018382,711.736909027329,0.2857142857142857,0.08579992869543651,0.25610739087301587,0.08823529411764706,0.05419203814338235,688.4716950941092,0.25396825396825395,0.08457825675843254,0.2532842726934524,0.08823529411764706,0.05432667451746324,680.830578685499,0.2698412698412698,0.08385552300347222,0.2589246961805556,0.08823529411764706,0.05574484432444853,12.029354045536584,,13.848786558805251,19.55123068116769,,22.117525773195897
shuffled_006,shuffled,shuffled,shuffled,365,6739.386704369454,0.1746031746031746,0.058164566282242064,0.1714264400421627,0.125,0.04831822713216146,5724.610332448103,0.15873015873015872,0.05952211410280258,0.17708817739335317,0.125,0.04957358042399088,4602.13586710693,0.2222222222222222,0.06397889152405754,0.186859130859375,0.1875,0.05457878112792969,4204.867306868072,0.2222222222222222,0.06565348307291667,0.18828183128720238,0.16666666666666666,0.05621465047200521,4188.2143888484625,0.20634920634920634,0.0653778560577877,0.1908816382998512,0.1875,0.05560111999511719,3616.2916188977874,0.20634920634920634,0.06766619001116071,0.19486539326016866,0.16666666666666666,0.05821800231933594,2798.268053280328,0.20634920634920634,0.06695653521825397,0.20008196149553573,0.16666666666666666,0.058207194010416664,2514.5801019283017,0.19047619047619047,0.06691003224206349,0.19936600942460317,0.10416666666666667,0.0573272705078125,2486.0549632875545,0.20634920634920634,0.0663849361359127,0.19972737630208334,0.14583333333333334,0.056856791178385414,2158.8508586065386,0.19047619047619047,0.0660739474826389,0.20038713727678573,0.125,0.05692164103190104,13.54069162207986,9.5,10.330960273898159,11.610133359773936,,10.434550651000318
shuffled_007,shuffled,shuffled,shuffled,317,5144.25028595539,0.047619047619047616,0.05745751517159598,0.14627801804315477,0.0425531914893617,0.040962625057139296,4417.605890552297,0.06349206349206349,0.060067524985661584,0.15814208984375,0.0425531914893617,0.04360925390365276,3979.607566612838,0.06349206349206349,0.06098553491017175,0.16376095726376488,0.06382978723404255,0.04398268841682596,3770.1536355463895,0.06349206349206349,0.060409424796937006,0.16370767260354663,0.06382978723404255,0.043584458371426195,3579.7051450527106,0.07936507936507936,0.06094596499488467,0.16752721392919148,0.06382978723404255,0.04445429051176031,3365.324804889073,0.047619047619047616,0.060993012927827384,0.1689385308159722,0.0425531914893617,0.04421607484208777,3107.017838582882,0.06349206349206349,0.05859520321800595,0.16732352120535715,0.0425531914893617,0.04337586747839096,2365.1605642363775,0.09523809523809523,0.06119355701264881,0.1722140842013889,0.10638297872340426,0.04584584337599734,1954.9599768296307,0.09523809523809523,0.06252022395058283,0.17814127604166666,0.0851063829787234,0.04687094181141955,1772.9617744567888,0.09523809523809523,0.0632871597532242,0.17940266927083334,0.10638297872340426,0.047514570520279256,28.519038070531504,20.0,9.32814458149198,11.344626923574305,56.0,22.016235886908646
shuffled_008,shuffled,shuffled,shuffled,288,4336.192700490399,0.07936507936507936,0.05349247039310516,0.15435403490823413,0.0625,0.03827730814615885,4033.2643892907518,0.09523809523809523,0.054671030195932536,0.16217331659226192,0.08333333333333333,0.037418365478515625,4119.193613929962,0.12698412698412698,0.05393570188492063,0.16724698505704366,0.125,0.037165323893229164,3867.7053086679803,0.14285714285714285,0.0542144775390625,0.17018829830109128,0.14583333333333334,0.037414232889811196,4252.059488859324,0.14285714285714285,0.052294413248697914,0.166564699203249,0.14583333333333334,0.036180973052978516,4242.578869627773,0.12698412698412698,0.051620241195436505,0.17210824148995535,0.125,0.034945170084635414,3202.466545356801,0.1746031746031746,0.053070068359375,0.17598082527281747,0.14583333333333334,0.03640556335449219,2623.519000164301,0.19047619047619047,0.055568982684423056,0.18247477213541666,0.14583333333333334,0.037864506244659424,1925.128534906963,0.1746031746031746,0.05717928447420635,0.18427337162078372,0.14583333333333334,0.0408477783203125,1833.3293116212117,0.1746031746031746,0.05701797727554563,0.18406265500992064,0.14583333333333334,0.04134813944498698,51.25295209290461,12.0,61.99107094179146,14.667325428194983,10.0,84.8975112052373
shuffled_009,shuffled,shuffled,shuffled,358,3003.9653916544767,0.20634920634920634,0.05988626631479415,0.19303385416666666,0.19230769230769232,0.05612901540902945,2607.3024677060776,0.2698412698412698,0.06158447265625,0.1986083984375,0.25,0.058092557466947116,2098.146308823537,0.23809523809523808,0.06170169890873016,0.20208546471974206,0.23076923076923078,0.05805147611177885,2115.3891030211325,0.23809523809523808,0.061969575427827384,0.2038845486111111,0.23076923076923078,0.05857086181640625,2177.132425831038,0.2222222222222222,0.060878208705357144,0.20568750775049602,0.19230769230769232,0.056039663461538464,1873.3176266637226,0.23809523809523808,0.06129068041604663,0.21084643167162698,0.21153846153846154,0.05670606173001803,1798.4269744592625,0.25396825396825395,0.05944000728546627,0.2063879588293651,0.21153846153846154,0.05449676513671875,1499.477546085997,0.25396825396825395,0.06127542162698413,0.21368117559523808,0.21153846153846154,0.05685894305889423,1530.0953266725107,0.25396825396825395,0.06114753844246032,0.2171902126736111,0.23076923076923078,0.05715238131009615,1330.6893310260223,0.2698412698412698,0.06256006634424603,0.22654893663194445,0.23076923076923078,0.058762770432692304,11.456504246802819,6.0,7.148969550024953,30.363943661971838,5.333333333333335,6.682657102293944
