doc_id,domain,model,population,token_count,ppl_W4,rank_W4,top1_W4,top5_W4,top10_W4,top50_W4,top100_W4,ppl_W8,rank_W8,top1_W8,top5_W8,top10_W8,top50_W8,top100_W8,ppl_W12,rank_W12,top1_W12,top5_W12,top10_W12,top50_W12,top100_W12,ppl_W16,rank_W16,top1_W16,top5_W16,top10_W16,top50_W16,top100_W16,ppl_W24,rank_W24,top1_W24,top5_W24,top10_W24,top50_W24,top100_W24,ppl_W32,rank_W32,top1_W32,top5_W32,top10_W32,top50_W32,top100_W32,ppl_W48,rank_W48,top1_W48,top5_W48,top10_W48,top50_W48,top100_W48,ppl_W64,rank_W64,top1_W64,top5_W64,top10_W64,top50_W64,top100_W64,ppl_W96,rank_W96,top1_W96,top5_W96,top10_W96,top50_W96,top100_W96,ppl_W128,rank_W128,top1_W128,top5_W128,top10_W128,top50_W128,top100_W128,hl_ppl,hl_rank,hl_top1,hl_top5,hl_top10,hl_top50,hl_top100,top10_min,top10_max,top10_delta,top10_auc,top10_auc_early,top10_auc_benefit,top10_early_fraction
shuffled_000,shuffled,shuffled,shuffled,405,5630.270118560279,2626.1746031746034,0.0,0.07936507936507936,0.07936507936507936,0.19047619047619047,0.30158730158730157,5872.733027139966,2608.6349206349205,0.0,0.07936507936507936,0.1111111111111111,0.2222222222222222,0.30158730158730157,4403.385554559452,2415.222222222222,0.015873015873015872,0.07936507936507936,0.09523809523809523,0.20634920634920634,0.30158730158730157,3877.3097370852333,2459.9206349206347,0.0,0.06349206349206349,0.1111111111111111,0.2698412698412698,0.3492063492063492,3429.360118056214,2186.126984126984,0.015873015873015872,0.047619047619047616,0.1111111111111111,0.2857142857142857,0.36507936507936506,2756.935456562909,1941.7460317460318,0.0,0.09523809523809523,0.09523809523809523,0.3333333333333333,0.38095238095238093,2600.1989855066486,1823.7777777777778,0.0,0.07936507936507936,0.1111111111111111,0.31746031746031744,0.38095238095238093,2299.2249823867505,1716.857142857143,0.015873015873015872,0.09523809523809523,0.1111111111111111,0.3333333333333333,0.36507936507936506,2104.4000934965206,1581.1746031746031,0.0,0.09523809523809523,0.15873015873015872,0.31746031746031744,0.38095238095238093,2054.887108687686,1438.904761904762,0.0,0.09523809523809523,0.15873015873015872,0.3333333333333333,0.3968253968253968,16.620268387083964,29.027799428422966,,30.666666666666668,69.33333333333333,15.499999999999998,16.0,0.07936507936507936,0.15873015873015872,0.07936507936507936,15.746031746031745,0.6984126984126984,5.904761904761904,0.11827956989247312
shuffled_001,shuffled,shuffled,shuffled,461,2941.3005982165128,1571.063492063492,0.031746031746031744,0.12698412698412698,0.15873015873015872,0.30158730158730157,0.3492063492063492,2712.174396212715,1489.079365079365,0.031746031746031744,0.12698412698412698,0.14285714285714285,0.2857142857142857,0.3968253968253968,2506.4856329294225,1635.7142857142858,0.031746031746031744,0.15873015873015872,0.15873015873015872,0.31746031746031744,0.38095238095238093,2540.910544291474,1722.6825396825398,0.031746031746031744,0.15873015873015872,0.1746031746031746,0.2857142857142857,0.3333333333333333,2036.621566303041,1405.7301587301588,0.047619047619047616,0.14285714285714285,0.1746031746031746,0.2698412698412698,0.38095238095238093,1882.1660962440649,1362.3015873015872,0.047619047619047616,0.12698412698412698,0.1746031746031746,0.30158730158730157,0.38095238095238093,1809.8369973504493,1337.7936507936508,0.047619047619047616,0.15873015873015872,0.1746031746031746,0.2857142857142857,0.4126984126984127,1470.9309720752503,934.6984126984127,0.047619047619047616,0.1746031746031746,0.20634920634920634,0.31746031746031744,0.3968253968253968,1461.4763186320417,967.5238095238095,0.047619047619047616,0.1746031746031746,0.1746031746031746,0.30158730158730157,0.4126984126984127,1307.1379277608671,885.4920634920635,0.047619047619047616,0.14285714285714285,0.19047619047619047,0.3333333333333333,0.4444444444444444,22.610357148235618,52.34699744044103,20.0,9.0,16.0,12.0,8.0,0.15873015873015872,0.19047619047619047,0.031746031746031744,22.444444444444443,0.2222222222222222,2.761904761904762,0.08045977011494253
shuffled_002,shuffled,shuffled,shuffled,326,3053.5420989537943,2076.5079365079364,0.031746031746031744,0.031746031746031744,0.09523809523809523,0.36507936507936506,0.4444444444444444,2447.5122535562086,1948.984126984127,0.031746031746031744,0.031746031746031744,0.09523809523809523,0.38095238095238093,0.4603174603174603,2381.0518410315135,1921.8253968253969,0.031746031746031744,0.031746031746031744,0.09523809523809523,0.3968253968253968,0.4603174603174603,2154.0373692793596,1776.968253968254,0.031746031746031744,0.047619047619047616,0.09523809523809523,0.36507936507936506,0.47619047619047616,1843.359936967218,1674.3650793650793,0.031746031746031744,0.031746031746031744,0.14285714285714285,0.4126984126984127,0.49206349206349204,1872.3886320749489,1786.6349206349207,0.031746031746031744,0.031746031746031744,0.1111111111111111,0.38095238095238093,0.5079365079365079,1926.0836966511577,1816.4761904761904,0.031746031746031744,0.047619047619047616,0.12698412698412698,0.4126984126984127,0.47619047619047616,1883.0999419685215,1789.142857142857,0.031746031746031744,0.031746031746031744,0.12698412698412698,0.4126984126984127,0.49206349206349204,1569.6861162215428,1685.3174603174602,0.031746031746031744,0.06349206349206349,0.1746031746031746,0.4444444444444444,0.49206349206349204,1439.5321050171917,1645.6190476190477,0.031746031746031744,0.09523809523809523,0.19047619047619047,0.4444444444444444,0.4444444444444444,14.37015266926029,13.677843523997371,,96.0,24.0,22.66666666666667,,0.09523809523809523,0.19047619047619047,0.09523809523809523,17.71428571428571,0.4444444444444444,5.904761904761904,0.07526881720430108
shuffled_003,shuffled,shuffled,shuffled,270,2434.043214180179,1933.6190476190477,0.06349206349206349,0.14285714285714285,0.19047619047619047,0.3492063492063492,0.3968253968253968,1901.8744626138885,1615.1746031746031,0.07936507936507936,0.15873015873015872,0.23809523809523808,0.38095238095238093,0.4126984126984127,1860.122858458113,1383.6507936507937,0.047619047619047616,0.12698412698412698,0.1746031746031746,0.38095238095238093,0.4126984126984127,1520.0718718364583,1177.936507936508,0.047619047619047616,0.14285714285714285,0.20634920634920634,0.38095238095238093,0.4444444444444444,1276.2249051774825,1079.3968253968253,0.06349206349206349,0.15873015873015872,0.23809523809523808,0.3968253968253968,0.4444444444444444,1360.4731159635364,1231.2857142857142,0.07936507936507936,0.1746031746031746,0.23809523809523808,0.3968253968253968,0.4603174603174603,1199.6459445484209,1007.6984126984127,0.06349206349206349,0.1746031746031746,0.2222222222222222,0.36507936507936506,0.4444444444444444,1110.454646165927,979.063492063492,0.06349206349206349,0.1746031746031746,0.2222222222222222,0.3968253968253968,0.4603174603174603,988.8843425502829,833.8253968253969,0.06349206349206349,0.15873015873015872,0.2222222222222222,0.38095238095238093,0.4444444444444444,986.8018368080835,849.7142857142857,0.06349206349206349,0.1746031746031746,0.2222222222222222,0.3968253968253968,0.4444444444444444,13.760916319652269,11.861511037981627,,8.0,5.333333333333333,7.0000000000000036,12.999999999999996,0.19047619047619047,0.2222222222222222,0.031746031746031744,27.587301587301585,0.7936507936507936,3.968253968253968,0.2
shuffled_004,shuffled,shuffled,shuffled,290,636.2586472468893,599.2222222222222,0.031746031746031744,0.15873015873015872,0.23809523809523808,0.49206349206349204,0.5396825396825397,553.0653623539604,422.44444444444446,0.015873015873015872,0.1746031746031746,0.23809523809523808,0.5238095238095238,0.6190476190476191,492.1505778567863,383.0,0.031746031746031744,0.20634920634920634,0.2857142857142857,0.5238095238095238,0.6031746031746031,492.9446152288488,366.76190476190476,0.06349206349206349,0.1746031746031746,0.2698412698412698,0.5238095238095238,0.6190476190476191,467.92755740359684,389.3492063492063,0.06349206349206349,0.19047619047619047,0.23809523809523808,0.5396825396825397,0.6031746031746031,412.0238966340048,416.1904761904762,0.06349206349206349,0.2222222222222222,0.30158730158730157,0.5555555555555556,0.6349206349206349,436.3728436077873,423.3492063492063,0.06349206349206349,0.20634920634920634,0.2857142857142857,0.5238095238095238,0.6666666666666666,387.2046532478885,371.93650793650795,0.06349206349206349,0.23809523809523808,0.30158730158730157,0.5714285714285714,0.6666666666666666,328.82013945774816,394.85714285714283,0.06349206349206349,0.23809523809523808,0.3492063492063492,0.6031746031746031,0.7142857142857143,307.1789741950135,396.5238095238095,0.047619047619047616,0.25396825396825395,0.3333333333333333,0.6349206349206349,0.6666666666666666,22.78762615689277,6.293256711861363,13.0,12.0,12.0,61.33333333333334,7.1999999999999975,0.23809523809523808,0.3333333333333333,0.09523809523809523,38.031746031746025,0.6349206349206349,8.507936507936506,0.0746268656716418
shuffled_005,shuffled,shuffled,shuffled,311,1202.9232566542312,1917.5238095238096,0.031746031746031744,0.15873015873015872,0.2857142857142857,0.42857142857142855,0.5238095238095238,1026.1115530927912,1894.111111111111,0.031746031746031744,0.14285714285714285,0.30158730158730157,0.42857142857142855,0.5555555555555556,937.3023907071536,1803.2063492063492,0.047619047619047616,0.1746031746031746,0.2857142857142857,0.4603174603174603,0.5873015873015873,901.9539739191027,1836.6984126984128,0.015873015873015872,0.20634920634920634,0.2857142857142857,0.47619047619047616,0.5873015873015873,939.8630066003918,1882.1746031746031,0.047619047619047616,0.19047619047619047,0.30158730158730157,0.49206349206349204,0.5396825396825397,864.7157097394128,1790.031746031746,0.031746031746031744,0.1746031746031746,0.2857142857142857,0.5079365079365079,0.5714285714285714,748.3026733785318,1773.7777777777778,0.047619047619047616,0.19047619047619047,0.31746031746031744,0.5079365079365079,0.5873015873015873,709.9738757237777,1665.047619047619,0.07936507936507936,0.19047619047619047,0.2857142857142857,0.49206349206349204,0.6031746031746031,685.575023515185,1611.7142857142858,0.07936507936507936,0.1746031746031746,0.25396825396825395,0.47619047619047616,0.6349206349206349,683.8767954435334,1640.5079365079366,0.06349206349206349,0.1746031746031746,0.2857142857142857,0.5079365079365079,0.6349206349206349,11.725360078715713,42.843749999999815,12.0,11.0,,14.000000000000007,10.99999999999999,0.2857142857142857,0.2857142857142857,0.0,35.11111111111111,0.19047619047619047,-0.31746031746031744,
shuffled_006,shuffled,shuffled,shuffled,365,6706.039980370549,3785.0793650793653,0.031746031746031744,0.07936507936507936,0.1746031746031746,0.2857142857142857,0.38095238095238093,5714.680395074591,3682.3174603174602,0.031746031746031744,0.07936507936507936,0.15873015873015872,0.31746031746031744,0.4126984126984127,4599.853627695689,3523.3015873015875,0.015873015873015872,0.12698412698412698,0.2222222222222222,0.3492063492063492,0.42857142857142855,4219.492917563447,3375.063492063492,0.015873015873015872,0.1111111111111111,0.2222222222222222,0.36507936507936506,0.42857142857142855,4166.457480039369,3262.063492063492,0.031746031746031744,0.1111111111111111,0.20634920634920634,0.3333333333333333,0.4126984126984127,3632.4718676649513,2970.031746031746,0.047619047619047616,0.1111111111111111,0.20634920634920634,0.36507936507936506,0.4444444444444444,2783.731628635801,2651.936507936508,0.06349206349206349,0.12698412698412698,0.20634920634920634,0.3968253968253968,0.47619047619047616,2518.9494841520805,2571.84126984127,0.031746031746031744,0.1111111111111111,0.19047619047619047,0.4126984126984127,0.5079365079365079,2486.67162084691,2627.7619047619046,0.0,0.12698412698412698,0.20634920634920634,0.42857142857142855,0.5079365079365079,2162.602118929545,2517.0,0.047619047619047616,0.1111111111111111,0.19047619047619047,0.4444444444444444,0.5238095238095238,13.74079576187657,27.041417545385357,28.0,9.333333333333334,9.5,16.0,36.000000000000014,0.1746031746031746,0.19047619047619047,0.015873015873015872,24.857142857142854,0.7936507936507936,3.206349206349206,0.24752475247524752
shuffled_007,shuffled,shuffled,shuffled,317,5136.600844561542,2441.1428571428573,0.0,0.031746031746031744,0.047619047619047616,0.2857142857142857,0.3333333333333333,4388.122535016372,2397.746031746032,0.0,0.031746031746031744,0.06349206349206349,0.30158730158730157,0.3492063492063492,3982.5696859898003,2387.7301587301586,0.0,0.047619047619047616,0.06349206349206349,0.2857142857142857,0.38095238095238093,3779.5158200524,2337.285714285714,0.0,0.047619047619047616,0.06349206349206349,0.2857142857142857,0.38095238095238093,3582.369607263245,2367.5238095238096,0.0,0.047619047619047616,0.07936507936507936,0.2857142857142857,0.3492063492063492,3346.182413094394,2401.6825396825398,0.0,0.031746031746031744,0.047619047619047616,0.31746031746031744,0.42857142857142855,3108.559400366489,2270.0158730158732,0.0,0.031746031746031744,0.06349206349206349,0.31746031746031744,0.3968253968253968,2356.3779506401925,2005.2857142857142,0.0,0.031746031746031744,0.1111111111111111,0.38095238095238093,0.4444444444444444,1952.5371738472822,1808.4285714285713,0.0,0.031746031746031744,0.1111111111111111,0.3968253968253968,0.4603174603174603,1764.18909683093,1669.3968253968253,0.0,0.031746031746031744,0.09523809523809523,0.4126984126984127,0.4603174603174603,28.470170773870503,60.97901427029619,,,20.0,56.0,28.8,0.047619047619047616,0.09523809523809523,0.047619047619047616,10.952380952380953,0.47619047619047616,5.0476190476190474,0.09433962264150943
shuffled_008,shuffled,shuffled,shuffled,288,4341.573259051589,3032.3809523809523,0.031746031746031744,0.07936507936507936,0.07936507936507936,0.3492063492063492,0.36507936507936506,4036.2664467549503,3178.5873015873017,0.015873015873015872,0.09523809523809523,0.09523809523809523,0.36507936507936506,0.38095238095238093,4083.5914716646403,3423.4603174603176,0.047619047619047616,0.1111111111111111,0.12698412698412698,0.36507936507936506,0.38095238095238093,3861.95407506877,3441.4603174603176,0.06349206349206349,0.1111111111111111,0.14285714285714285,0.36507936507936506,0.38095238095238093,4235.219671353831,3516.3650793650795,0.047619047619047616,0.1111111111111111,0.14285714285714285,0.3492063492063492,0.36507936507936506,4227.873238381582,3632.1428571428573,0.047619047619047616,0.12698412698412698,0.12698412698412698,0.36507936507936506,0.38095238095238093,3205.6451719399997,2944.968253968254,0.047619047619047616,0.14285714285714285,0.1746031746031746,0.36507936507936506,0.38095238095238093,2626.774389993999,2584.9206349206347,0.06349206349206349,0.14285714285714285,0.19047619047619047,0.36507936507936506,0.3968253968253968,1927.0393323034268,2075.809523809524,0.047619047619047616,0.15873015873015872,0.1746031746031746,0.4126984126984127,0.4444444444444444,1835.1489931707742,1906.2857142857142,0.047619047619047616,0.15873015873015872,0.1746031746031746,0.42857142857142855,0.47619047619047616,51.241733374333855,71.26519922678806,11.0,28.0,12.0,79.99999999999999,79.99999999999999,0.07936507936507936,0.1746031746031746,0.09523809523809523,20.317460317460316,1.3333333333333333,10.476190476190476,0.12727272727272726
shuffled_009,shuffled,shuffled,shuffled,358,2986.8784577629344,2237.3809523809523,0.031746031746031744,0.1746031746031746,0.20634920634920634,0.3492063492063492,0.4126984126984127,2603.4254387292376,2348.6984126984125,0.015873015873015872,0.15873015873015872,0.2698412698412698,0.3492063492063492,0.42857142857142855,2098.146308823537,1807.7936507936508,0.047619047619047616,0.1746031746031746,0.23809523809523808,0.36507936507936506,0.42857142857142855,2109.625817393824,1827.4761904761904,0.015873015873015872,0.1746031746031746,0.23809523809523808,0.3968253968253968,0.42857142857142855,2174.973643235736,1821.0,0.047619047619047616,0.1746031746031746,0.20634920634920634,0.3492063492063492,0.3968253968253968,1879.8335075029645,1618.984126984127,0.06349206349206349,0.1746031746031746,0.23809523809523808,0.36507936507936506,0.3968253968253968,1778.6873943969158,1628.8095238095239,0.06349206349206349,0.19047619047619047,0.25396825396825395,0.3492063492063492,0.3968253968253968,1503.9469244395273,1438.047619047619,0.06349206349206349,0.20634920634920634,0.25396825396825395,0.36507936507936506,0.42857142857142855,1520.6374799682912,1454.3174603174602,0.047619047619047616,0.19047619047619047,0.25396825396825395,0.38095238095238093,0.47619047619047616,1329.8645065740238,1389.3650793650793,0.06349206349206349,0.2222222222222222,0.2698412698412698,0.3968253968253968,0.4603174603174603,11.52323244891447,11.958740499457111,12.0,56.0,6.0,13.000000000000004,69.33333333333336,0.20634920634920634,0.2698412698412698,0.06349206349206349,30.984126984126984,0.6984126984126984,5.396825396825396,0.12941176470588237
