metric,condition_a,condition_b,n_a,n_b,mean_a,mean_b,std_a,std_b,mean_diff,t_stat,p_value,cohens_d,mann_whitney_p,significant_p05,p_fdr
perplexity,anne_frank,becoming_michelle,500,500,127.83029167938233,112.48015693855285,149.71585037402866,159.669177361769,15.350134740829475,1.5681524079894489,0.11716386764485776,0.09917866655048568,0.002330036538608328,False,0.17574580146728663
mean_word_entropy,anne_frank,becoming_michelle,500,500,6.334187216708273,6.19174405836222,0.7613413082178141,0.7328530575217493,0.1424431583460528,3.014085579045297,0.0026427724039941067,0.19062750984901233,0.007721851663746509,True,0.00792831721198232
mean_word_surprisal,anne_frank,becoming_michelle,500,500,6.211658145353018,6.12129323158149,1.106477969841874,1.0128806135732413,0.09036491377152878,1.3470145572929124,0.17828369481326106,0.08519268084897953,0.2941681841148698,False,0.17828369481326103
