metric,condition_a,condition_b,n_a,n_b,mean_a,mean_b,std_a,std_b,mean_diff,t_stat,p_value,cohens_d,mann_whitney_p,significant_p05,p_fdr
perplexity,anne_frank,becoming_michelle,500,500,126.69927601242065,123.46342501926422,144.4256156858814,207.44883317773235,3.2358509931564328,0.2862491702929034,0.7747538496998341,0.018103987129179655,0.05410003807366367,False,0.8178085134791756
mean_word_entropy,anne_frank,becoming_michelle,500,500,6.324945102165049,6.292428760915505,0.8672031439546972,0.7108714241339549,0.03251634124954439,0.6484156548013246,0.5168710481262979,0.0410094067936336,0.7320690439235332,False,0.8178085134791756
mean_word_surprisal,anne_frank,becoming_michelle,500,500,6.128504834498041,6.144964940172202,1.183284831879627,1.0729410318776549,-0.01646010567416134,-0.23042589662039803,0.8178085134791756,-0.01457341330413906,0.49703325325239556,False,0.8178085134791756
