essay_id,n_windows,mean_nll_0,mean_gain_0,std_gain_0,mean_nll_2,mean_gain_2,std_gain_2,mean_nll_4,mean_gain_4,std_gain_4,mean_nll_8,mean_gain_8,std_gain_8,mean_nll_12,mean_gain_12,std_gain_12,mean_nll_16,mean_gain_16,std_gain_16,mean_nll_24,mean_gain_24,std_gain_24,mean_nll_32,mean_gain_32,std_gain_32,mean_nll_48,mean_gain_48,std_gain_48,mean_nll_64,mean_gain_64,std_gain_64,mean_nll_96,mean_gain_96,std_gain_96,mean_nll_128,mean_gain_128,std_gain_128,early_ratio,log_slope_local,log_slope_r2,auc_log_k,auc_linear_k,auc_local,stability_gain_128,stability_early_ratio,baseline_nll,score,score_bin,grade,token_count,token_count_z,baseline_nll_z
B7C17E1993BA,20,3.5595351403759374,0.0,0.0,3.395220623910427,0.16431451646551012,0.2035917528093265,3.208883874490857,0.3506512658850801,0.23754299864168177,2.9172042317688467,0.6423309086070906,0.24502786417208144,2.776553026586771,0.7829821137891662,0.29854375548364803,2.711374794691801,0.8481603456841361,0.31315343127575124,2.645220609009266,0.9143145313666713,0.2932826155713859,2.6103473894298075,0.9491877509461295,0.29493058689682156,2.5377658158540726,1.0217693245218646,0.26711351423645024,2.4972122579813005,1.062322882394637,0.26722495741680685,2.4591611295938494,1.100374010782088,0.282785040864603,2.403410351276398,1.1561247890995394,0.26291872308498276,0.7336235272186623,0.2514453681797828,0.9231544979746082,3.03158738741918,126.42958959700358,3.03158738741918,0.26291872308498276,0.21775738517086105,2.403410351276398,1,low,9,859,-0.5702775912187494,-0.12047650353088633
FFBA3014CDC7,20,3.4551003302297283,0.0,0.0,3.308558567985892,0.14654176224383608,0.16438590680778245,3.1507790431380274,0.3043212870917012,0.23748998496514506,2.9707742339000105,0.4843260963297178,0.24787793033747332,2.8823876809328794,0.572712649296849,0.28591382569428087,2.792414635978639,0.6626856942510893,0.3019762540750274,2.723028894327581,0.7320714359021474,0.30805655296562856,2.697543553635478,0.7575567765942504,0.28307350176107415,2.6375503303483128,0.8175499998814155,0.309044324585896,2.554751525633037,0.9003488045966913,0.2917048550000003,2.51032527256757,0.9447750576621582,0.26331553196354385,2.4489046329632402,1.0061956972664883,0.2865647408222627,0.6586051759626822,0.22036798798629145,0.9765310590186559,2.4646998933526723,105.37867364999987,2.4646998933526723,0.2865647408222627,0.16084994650151432,2.4489046329632402,2,low,10,980,0.1622445800919581,0.008918545666969079
1909DEE8C6B8,20,4.184972259690685,0.0,0.0,4.0431788612157105,0.14179339847497405,0.18437123705748676,3.9037562392652037,0.2812160204254812,0.19638032524336932,3.742521630972624,0.44245062871806085,0.302487823785973,3.5772474601864817,0.6077247995042032,0.28334194436396176,3.52180808596313,0.6631641737275547,0.2801279102023204,3.3978430289775132,0.7871292307131713,0.32337613984887836,3.324326853454113,0.8606454062365717,0.33865363151395683,3.1748761776834726,1.010096082007212,0.3601657622305682,3.078366398066282,1.1066058616244026,0.4152817581169375,2.9391017578542233,1.2458705018364615,0.43765573536853014,2.8907673306763173,1.2942049290143676,0.3926115611791546,0.5124104837342901,0.3157144509494021,0.9978477441370822,2.772349184326135,129.2269132481227,2.772349184326135,0.3926115611791546,0.14889162939541553,2.8907673306763173,2,low,10,826,-0.7700563652125788,1.2656665014395394
451E8369BB76,20,3.931378008473304,0.0,0.0,3.8403814354911447,0.09099657298215935,0.16398179478324468,3.642063049413264,0.28931495906004023,0.22738502926703394,3.369137163087726,0.5622408453855783,0.21156276555318462,3.232524586841464,0.6988534216318399,0.2467963620324171,3.087985058128834,0.8433929503444701,0.24541243272989693,2.90107312053442,1.0303048879388839,0.3183811163760898,2.8281526751816273,1.1032253332916766,0.3384136623381694,2.732816230505705,1.198561777967599,0.32329532150145324,2.631659121066332,1.299718887406972,0.3896437306093658,2.54220572412014,1.389172284353164,0.3697396618588093,2.4759846165776254,1.4553933918956787,0.3495545704009381,0.5794948328341206,0.37071219394335087,0.9842070630735944,3.2452326924290293,150.74586501117315,3.2452326924290293,0.3495545704009381,0.16379459282185824,2.4759846165776254,2,low,11,1035,0.495209203415007,0.08593956198238638
767FE7E8D2C6,20,3.32607851566807,0.0,0.0,3.112839365005493,0.213239150662576,0.16304594614976972,2.963903083279729,0.36217543238834027,0.1987803003691356,2.770454715937376,0.5556237997306932,0.2602317019388468,2.692168838903308,0.6339096767647613,0.2643669710840698,2.6180108532309534,0.7080676624371159,0.2904141931642403,2.5501434437930586,0.7759350718750108,0.29147112725054297,2.5246301939710976,0.8014483216969717,0.32744084121436123,2.459390865452588,0.8666876502154816,0.31154488745968056,2.426781572960317,0.8992969427077521,0.3039114099256079,2.3178163332864643,1.0082621823816047,0.32609188253378335,2.2936595948413014,1.0324189208267676,0.31930278501604564,0.6858336748323935,0.21017448742341283,0.9730142323258721,2.6896206793249906,110.57762651233182,2.6896206793249906,0.31930278501604564,0.19903603850117388,2.2936595948413014,2,low,10,1322,2.2326791469370986,-0.4326301193671447
BFC4CADADD49,20,3.2575463500715074,0.0,0.0,3.1603681230917573,0.09717822697974984,0.14653433664494434,3.0544914407655597,0.20305490930594744,0.1982916529015796,2.79116777703166,0.46637857303984703,0.23246119455483272,2.6664973981678486,0.5910489519036586,0.2619007621396646,2.60098212454468,0.6565642255268271,0.24845827614783006,2.530731102079153,0.7268152479923542,0.24387220592955156,2.4840580018237235,0.7734883482477839,0.26990872786528014,2.4448766792193055,0.8126696708522015,0.27408361063791753,2.393372754752636,0.8641735953188713,0.29786769930207774,2.3420417776331304,0.9155045724383767,0.29117295721218883,2.319012732617557,0.9385336174539501,0.2605814565212475,0.699563887021918,0.22511243344561419,0.9384379425591344,2.3345393878474736,102.12456401630396,2.3345393878474736,0.2605814565212475,0.16962012098631726,2.319012732617557,1,low,10,808,-0.8790266055728494,-0.3605206060779746
A2403E2ED72A,20,4.207502567768096,0.0,0.0,4.174356909841299,0.03314565792679791,0.2067498612570438,3.9432866049930455,0.26421596277505166,0.23801845336684244,3.784087632596493,0.42341493517160417,0.18458598384245714,3.725529365986586,0.4819732017815113,0.22253044897178975,3.5952138295397162,0.6122887382283807,0.31522705783356425,3.4897591724991797,0.7177433952689171,0.26760590019112346,3.3871626077219843,0.8203399600461125,0.29266963243131366,3.28994783423841,0.917554733529687,0.31005583593136005,3.211229404807091,0.9962731629610062,0.33836638090784404,3.0953821733593943,1.1121203944087028,0.34233031410831827,3.0203649282455443,1.1871376395225526,0.3763263102478578,0.5157689536949003,0.30013970074017615,0.9956138953172374,2.443150768168071,116.91373736504465,2.443150768168071,0.3763263102478578,0.23987455779328626,3.0203649282455443,2,low,10,828,-0.7579485607281043,1.6342685958483383
CC82A1D80D1A,20,3.6549339046401363,0.0,0.0,3.5722790259867905,0.08265487865334557,0.24773191143370354,3.3556327940896153,0.2993011105505209,0.27457081801969274,3.1293274300172924,0.5256064746228437,0.3084202120308689,2.9973907586187125,0.6575431460214237,0.30437023816593717,2.9083888046443462,0.7465450999957899,0.31221927249189607,2.8042278945446015,0.8507060100955346,0.3576708451144806,2.7619921900331974,0.8929417146069387,0.3360236985349554,2.666613990627229,0.9883199140129069,0.33069169048557917,2.641124515235424,1.013809389404712,0.33202930614510406,2.565747530758381,1.089186373881755,0.33487648832603617,2.534382213652134,1.1205516909880022,0.3451799382948628,0.6662299526205285,0.2705901137477369,0.9578273777710897,2.7319602997380263,120.72336581750139,2.7319602997380263,0.3451799382948628,0.15242650445184033,2.534382213652134,2,low,10,941,-0.07385760735529476,0.25203428128153726
CF165F9553A4,20,4.229543780511425,0.0,0.0,4.127893375232816,0.10165040527860955,0.20765037250316598,3.962368730083108,0.26717505042831735,0.2877307418336058,3.7428605195134876,0.4866832609979374,0.2936422776164508,3.6427879137918353,0.5867558667195901,0.268043643267858,3.5487432554364204,0.680800525075005,0.29218172934244707,3.445878503471613,0.7836652770398125,0.30204458585988475,3.4116519004106522,0.8178918801007733,0.3235530524574546,3.281265053153038,0.9482787273583873,0.3149439566105931,3.211915998160839,1.0176277823505864,0.321628870350113,3.1287694066762923,1.100774373835133,0.35689110445274,3.0962767146527765,1.1332670658586488,0.3655776874754264,0.6007414717899519,0.2765884296842149,0.9878882523502299,2.6130276203040297,118.419989831301,2.6130276203040297,0.3655776874754264,0.18105954090080847,3.0962767146527765,2,low,10,826,-0.7700563652125788,1.8501772545337163
B25D365F5C1C,20,4.113389618166033,0.0,0.0,4.029118567705154,0.08427105046087702,0.15058369894580673,3.787771022319794,0.3256185958462377,0.2033021622408797,3.5126047313213347,0.6007848868446966,0.2759769125114042,3.3563179075717926,0.7570717105942387,0.2939185656466765,3.170923173427582,0.9424664447384495,0.26332690136965076,3.0390660896897317,1.0743235284763,0.2749828729197,2.9618039928376674,1.151585625328364,0.2566086489018615,2.8596763402223586,1.2537132779436728,0.2791565491147819,2.8271661162376405,1.2862235019283912,0.31228886064136924,2.7005248606204986,1.4128647575455329,0.3464011032694081,2.688947546482086,1.4244420716839454,0.34981112044162327,0.6616390118443255,0.36301693433800325,0.9637001105617479,3.377746694004105,153.576760560178,3.377746694004105,0.34981112044162327,0.18913650451791775,2.688947546482086,1,low,9,826,-0.7700563652125788,0.6916497253385161
