essay_id,window_idx,target_start,k,nll_k,gain_k
B7C17E1993BA,0,133,0,4.102730658746535,0.0
B7C17E1993BA,0,133,2,3.9231162071228027,0.17961445162373213
B7C17E1993BA,0,133,4,3.940916061401367,0.16181459734516768
B7C17E1993BA,0,133,8,3.5877127647399902,0.5150178940065446
B7C17E1993BA,0,133,12,3.770397663116455,0.3323329956300798
B7C17E1993BA,0,133,16,3.6398544311523438,0.4628762275941911
B7C17E1993BA,0,133,24,3.491501808166504,0.611228850580031
B7C17E1993BA,0,133,32,3.249483823776245,0.8532468349702897
B7C17E1993BA,0,133,48,3.2052149772644043,0.8975156814821306
B7C17E1993BA,0,133,64,3.1651439666748047,0.9375866920717302
B7C17E1993BA,0,133,96,3.021768569946289,1.0809620888002458
B7C17E1993BA,0,133,128,2.8845717906951904,1.2181588680513444
B7C17E1993BA,1,157,0,4.045813775831653,0.0
B7C17E1993BA,1,157,2,4.123929023742676,-0.07811524791102276
B7C17E1993BA,1,157,4,3.4812116622924805,0.5646021135391726
B7C17E1993BA,1,157,8,3.54506778717041,0.5007459886612429
B7C17E1993BA,1,157,12,3.2011451721191406,0.8446686037125124
B7C17E1993BA,1,157,16,3.1642065048217773,0.8816072710098757
B7C17E1993BA,1,157,24,3.028153419494629,1.0176603563370241
B7C17E1993BA,1,157,32,2.914548873901367,1.1312649019302858
B7C17E1993BA,1,157,48,2.749624252319336,1.296189523512317
B7C17E1993BA,1,157,64,2.7700557708740234,1.2757580049576296
B7C17E1993BA,1,157,96,2.6760902404785156,1.3697235353531374
B7C17E1993BA,1,157,128,2.591512680053711,1.454301095777942
B7C17E1993BA,2,189,0,3.4339087701612905,0.0
B7C17E1993BA,2,189,2,2.956247329711914,0.4776614404493764
B7C17E1993BA,2,189,4,2.955925941467285,0.4779828286940053
B7C17E1993BA,2,189,8,2.8336949348449707,0.6002138353163198
B7C17E1993BA,2,189,12,2.620211124420166,0.8136976457411245
B7C17E1993BA,2,189,16,2.4551877975463867,0.9787209726149038
B7C17E1993BA,2,189,24,2.2395291328430176,1.194379637318273
B7C17E1993BA,2,189,32,2.1883091926574707,1.2455995775038198
B7C17E1993BA,2,189,48,2.146183967590332,1.2877248025709584
B7C17E1993BA,2,189,64,2.103205680847168,1.3307030893141225
B7C17E1993BA,2,189,96,2.033135414123535,1.4007733560377553
B7C17E1993BA,2,189,128,1.991140365600586,1.4427684045607045
B7C17E1993BA,3,227,0,3.7132115517893145,0.0
B7C17E1993BA,3,227,2,3.6831045150756836,0.030107036713630908
B7C17E1993BA,3,227,4,3.228668689727783,0.4845428620615313
B7C17E1993BA,3,227,8,2.864184260368347,0.8490272914209673
B7C17E1993BA,3,227,12,2.6867038011550903,1.0265077506342242
B7C17E1993BA,3,227,16,2.632272481918335,1.0809390698709795
B7C17E1993BA,3,227,24,2.557380199432373,1.1558313523569415
B7C17E1993BA,3,227,32,2.5675160884857178,1.1456954633035967
