score_bin,early,early_mid,middle,late,random
high,0.010806431873171944,0.020550530667398488,0.017549973945991667,0.017543056572184863,0.019935020091486934
low,0.016550135547039557,0.029582055101207646,0.01389106774797628,0.013555935102350562,0.020581495247635206
mid,0.015001624817941707,0.008058327441122039,0.012926466904434521,0.019218630369971793,0.013334732803643919
