target_idx,target_pos,target_pos_frac,I_512,I_256,doc_id,age_months,age_group
0,256,0.7757575757575758,,6.540170533064236,31321319,96,grade2
1,257,0.7787878787878788,,6.924227912997733,31321319,96,grade2
2,259,0.7848484848484848,,6.328199665822545,31321319,96,grade2
3,261,0.7909090909090909,,7.061395082354311,31321319,96,grade2
4,263,0.796969696969697,,4.653230151153751,31321319,96,grade2
5,264,0.8,,5.973369552696578,31321319,96,grade2
6,266,0.806060606060606,,6.3662312041058104,31321319,96,grade2
7,268,0.8121212121212121,,5.311681593956737,31321319,96,grade2
8,270,0.8181818181818182,,4.942186284769109,31321319,96,grade2
9,272,0.8242424242424242,,5.526646868751461,31321319,96,grade2
10,273,0.8272727272727273,,5.013183231440404,31321319,96,grade2
11,275,0.8333333333333334,,4.7324641803760805,31321319,96,grade2
12,277,0.8393939393939394,,3.125224426254163,31321319,96,grade2
13,279,0.8454545454545455,,4.31931365714747,31321319,96,grade2
14,281,0.8515151515151516,,2.8877539735724174,31321319,96,grade2
15,282,0.8545454545454545,,2.890610782852395,31321319,96,grade2
16,284,0.8606060606060606,,2.4455701619347714,31321319,96,grade2
17,286,0.8666666666666667,,0.8224386132629675,31321319,96,grade2
18,288,0.8727272727272727,,1.464375939060421,31321319,96,grade2
19,290,0.8787878787878788,,1.528965254485069,31321319,96,grade2
0,256,0.6384039900249376,,0.6006896569412206,31321321,96,grade2
1,261,0.6508728179551122,,0.5347993664704909,31321321,96,grade2
2,266,0.6633416458852868,,2.5194959775571277,31321321,96,grade2
3,272,0.6783042394014963,,0.7673999560556721,31321321,96,grade2
4,277,0.6907730673316709,,1.8860375904997708,31321321,96,grade2
5,283,0.7057356608478803,,0.9503799326165225,31321321,96,grade2
6,288,0.7182044887780549,,3.048916444402048,31321321,96,grade2
7,294,0.7331670822942643,,4.9047990679480105,31321321,96,grade2
8,299,0.7456359102244389,,3.6406388215667125,31321321,96,grade2
9,305,0.7605985037406484,,3.0656053213738,31321321,96,grade2
10,310,0.773067331670823,,4.089664693049899,31321321,96,grade2
11,316,0.7880299251870324,,2.455062794830848,31321321,96,grade2
12,321,0.800498753117207,,1.2017773528193771,31321321,96,grade2
13,327,0.8154613466334164,,0.49599461982698934,31321321,96,grade2
14,332,0.827930174563591,,0.0649486518747695,31321321,96,grade2
15,338,0.8428927680798005,,4.63182582260608,31321321,96,grade2
16,343,0.8553615960099751,,8.48563970710791,31321321,96,grade2
17,349,0.8703241895261845,,7.423456657305147,31321321,96,grade2
18,354,0.8827930174563591,,10.052231747312817,31321321,96,grade2
19,360,0.8977556109725686,,8.747362666618844,31321321,96,grade2
0,256,0.3550624133148405,,3.0798823327113976,31321347,89,grade2
1,276,0.3828016643550624,,16.70526779047963,31321347,89,grade2
2,297,0.4119278779472954,,8.652733173589512,31321347,89,grade2
