doc_id,age_months,age_group,n_tokens,t_star,t_star_frac,I_512_star,baseline_512,top_share_512,n_eff_512,gini_512,n_positive_512,n_windows_512,ppl_full_512,top_share_256,n_eff_256,n_windows_256
31321347,89,grade2,721,648,0.8987517337031901,6.003630599916907,7.522036218660842,0.22256199670097854,9.293129439697704,0.7728983962314561,18,31,19.23555720952475,0.5459590154325128,4.096730049837403,15
31322239,101,grade2,709,638,0.8998589562764457,5.0068760283924805,12.537743549448951,0.4107207533663061,12.09022938040022,0.6150976638060033,31,31,7.845109208870819,0.6005446240056216,5.17101046880384,15
31322317,94,grade2,762,685,0.8989501312335958,4.592793514555593,5.411830251341374,0.1755623116532508,18.14751197327095,0.5501624170979793,29,31,4.7619730964679405,0.26485170994548973,10.329054630098167,15
31322536,89,grade2,747,562,0.7523427041499331,8.78920043943824,6.456183316731145,0.19300769807525525,22.948811221476262,0.36786237629940566,31,31,17.72491093223509,0.37752210377411954,6.362066579867939,15
31322578,94,grade2,737,663,0.8995929443690638,15.805681967177367,11.559915087481468,0.11749824321327015,26.29251824912359,0.3052692630996703,31,31,6.5417488719138985,0.2587739523525558,11.482593970077046,15
32321498,92,grade2,826,743,0.8995157384987893,5.0470287396988045,9.76294228136525,0.17599864165617068,23.394930498505115,0.37158910817023105,31,31,11.875757531712685,0.45393814801806714,6.993260862487228,15
32321499,99,grade2,591,531,0.8984771573604061,5.780382036144589,2.7332574315051312,0.2572371124981995,16.735663751024784,0.5404068350298055,27,31,10.061062573501625,0.2948537931646728,9.892679627220305,15
32322038,99,grade2,582,523,0.8986254295532646,10.15778840693611,10.465929258680891,0.09121551587775265,28.96816941277106,0.17544958546130573,31,31,6.477642017756005,0.23169778109649755,11.496617233505066,15
32322039,96,grade2,814,732,0.8992628992628993,11.17897025276751,6.9458287816691735,0.16499362548194513,20.614389230109765,0.4848373714880692,31,31,9.73000172014363,0.19631472688470178,11.006264212023654,15
32322120,85,grade2,648,583,0.8996913580246914,18.820696128358804,25.702123888234176,0.13635378437436008,24.41006613101709,0.34902771258306053,31,31,6.153420412517675,0.14654180406760164,13.195471149013796,15
42322137,94,grade2,625,562,0.8992,19.66468903494954,8.656792641509687,0.2050882823073062,11.794356734869844,0.7073833731025646,27,31,8.587674905895005,0.22076155573024034,8.031859376792646,15
32331339,136,grade5,610,533,0.8737704918032787,43.41152495908861,42.00448619108322,0.23342183988179743,14.988561255792671,0.6251469458991801,26,31,8.443421681685193,0.2221802872311299,8.271864971792287,15
32332256,132,grade5,612,550,0.8986928104575164,9.346824887314751,9.923471059684376,0.38470817803530366,11.333354647133598,0.6856338661955149,28,31,13.138757028176679,0.6300505093391746,3.8971574335455,15
32332283,135,grade5,575,517,0.8991304347826087,9.997078737252563,8.865481708894691,0.13571591742358746,20.6811280145989,0.48086463620513903,30,31,9.997819210981108,0.28328157270150633,7.8344073385982265,15
42331360,131,grade5,846,761,0.8995271867612293,5.377602039829823,7.8494537952123435,0.22920234372888257,13.303856421419031,0.6596548257647512,30,31,5.441160792722864,0.20517466710135313,10.807003946660865,15
