span_size,score_bin,span_label,score_region,n,delta_nll_mean,delta_nll_sem,delta_nll_ci95,delta_nll_per_token_mean,delta_nll_normalized_mean,rank_displacement_mean,rank_displacement_median,baseline_nll_mean,ablated_nll_mean,flip_rate_mean,topk_change_mean
128,low,early,score_early,50,0.09650680712291174,0.07152312838524676,0.14018533163508365,0.0007539594306477479,0.07168949092879572,6.023809523809522,0.0,2.335830642987811,2.432337450110723,0.08317460317460316,0.153197821366036
128,low,early,score_mid,50,0.05575838641514855,0.0232077120425045,0.045487115603308814,0.00043561239386834803,0.15403798168959884,3.759047619047619,0.0,2.2911781765922665,2.3469365630074153,0.07269841269841269,0.14190263002514214
128,low,early,score_late,50,0.03449168391115083,0.010656366236430712,0.020886477823404196,0.00026946628055586586,0.18883358468075678,1.2248818897637792,0.0,2.4548022527582063,2.489293936669357,0.0732283464566929,0.13218010567477914
128,low,early_mid,score_early,50,0.040435515925997804,0.010789531926481456,0.021147482575903653,0.00031590246817185785,0.06905152356440103,4.457777777777777,0.0,2.335830642987811,2.3762661589138094,0.07206349206349207,0.1391397974694451
128,low,early_mid,score_mid,50,0.08891602470761253,0.058308557635216425,0.11428477296502419,0.0006946564430282229,0.16438162419343327,2.5069841269841273,0.0,2.2911781765922665,2.3800942012998796,0.08031746031746032,0.1326922400798267
128,low,early_mid,score_late,50,0.023288909431517627,0.008455398804096632,0.0165725816560294,0.00018194460493373146,0.12176907004071284,1.6061417322834637,0.0,2.4548022527582063,2.478091162189724,0.0647244094488189,0.10866627750467735
128,low,late,score_early,50,0.04695072635771735,0.011334564843231233,0.022215747092733218,0.0003668025496696668,0.07432157306665875,3.4965079365079355,0.0,2.335830642987811,2.3827813693455284,0.08031746031746032,0.16300400723001343
128,low,late,score_mid,50,0.02792604866481966,0.005678767924073694,0.01113038513118444,0.0002181722551939036,0.15863143071988814,0.7422222222222219,0.0,2.2911781765922665,2.3191042252570866,0.06444444444444444,0.13990157990157986
128,low,late,score_late,50,0.02201367092883496,0.0063676299145286296,0.012480554632476114,0.00017198180413152312,0.15645028247270282,-0.17275590551181125,0.0,2.4548022527582063,2.4768159236870413,0.058425196850393706,0.11597973201724937
128,low,immediate_pre_target,score_early,50,0.35926536832536976,0.026846394314907283,0.052618932857218276,0.0028067606900419513,0.6823061105575914,22.305714285714284,0.0,2.335830642987811,2.695096011313181,0.2311111111111111,0.31605417622003207
128,low,immediate_pre_target,score_mid,50,0.04703921526197407,0.009272212735455374,0.018173536961492532,0.0003674938692341724,0.2571427260920984,1.1917460317460316,0.0,2.2911781765922665,2.3382173918542413,0.09301587301587301,0.1705471839085284
128,low,immediate_pre_target,score_late,50,0.031037897256415686,0.004495134249807251,0.008810463129622212,0.00024248357231574754,0.2588745379317306,0.8859842519685046,0.0,2.4548022527582063,2.485840150014622,0.07496062992125983,0.13472723432195408
