span_label,score_early,score_mid,score_late
early,0.052691909938892986,0.03833834600196313,0.04276456698345077
early_mid,0.053192442031133755,0.05924661242772661,0.029236121446754713
immediate_pre_target,0.36054967827267115,0.06335011103796581,0.03688622876415105
late,0.04152262290318806,0.03017671132213857,0.021886431526324274
random,0.06134903138150614,0.043450369187763765,0.029260989191651057
