group,n,half_life_128_mean,half_life_128_sem,delta_128_mean,half_life_full_mean,delta_max_mean
low,150,69.78368555822635,1.2511554119024046,1.9299548046004293,78.72153065343902,2.1248609851647573
mid,150,70.73159463461957,1.198931063542963,1.4051236483657676,81.95400708376825,1.6043596535616715
high,150,70.59664485041603,1.229372595794037,1.2113101338275787,138.56414027785758,2.1776759641110677
