group,n,half_life_128_mean,half_life_128_sem,half_life_128_ci95
low,46,70.58139636224222,2.347471510917419,4.601044161398141
mid,46,71.14718263156703,2.3878792175654806,4.6802432664283415
high,46,68.49460176109775,1.9835601969946715,3.887777986109556
