essay_id,score,grade,ell,prompt_id,word_count,token_count,regime,burn_in_used,half_life,half_life_128,delta_max,delta_128,ppl_W32,ppl_W64,ppl_W128,ppl_W256,ppl_W384,ppl_W512,score_bin,length_bin
A8BBE9026DC2,1,10,non_ELL,Car-free cities,359,511,short,128,55.54108894964874,55.54108894964874,4.557692059098166,4.557692059098166,23.75968146371657,20.66198818786415,19.201989404618406,,,,low,3
6A97E65BBE95,1,10,ELL,Exploring Venus,364,510,short,128,64.77386256347366,64.77386256347366,1.0180004869613413,1.0180004869613413,15.193859490631441,14.691089205981074,14.1758590036701,,,,low,3
A15A51E83757,2,9,non_ELL,Does the electoral college work?,401,507,short,128,90.55278211301412,90.55278211301412,0.7463752692477899,0.7463752692477899,8.32105917016784,8.212488522027291,7.574683900920051,,,,low,3
EF9E9C4E5D1E,3,9,non_ELL,Does the electoral college work?,452,540,short,128,56.791820752431036,56.791820752431036,1.4767304818259799,1.4767304818259799,12.528292522706833,11.575248857815913,11.051562040880853,,,,mid,3
F60ED753621E,4,8,non_ELL,Seeking multiple opinions,456,502,short,128,71.97858804445615,71.97858804445615,0.737177807735887,0.737177807735887,7.507463346839082,7.191368996733076,6.770285539103195,,,,mid,3
D7490A0538CC,3,9,non_ELL,Does the electoral college work?,370,499,short,128,52.77603171781095,52.77603171781095,1.8370436008324447,1.8370436008324447,9.539917549250218,8.125176851289055,7.702873948417773,,,,mid,3
DFEAEC512BAB,5,10,non_ELL,Summer projects,477,529,short,128,88.22570344854083,88.22570344854083,1.1249371690701615,1.1249371690701615,9.667860208532948,9.447979634585009,8.542923039462787,,,,high,3
7666D01522A2,5,8,non_ELL,Grades for extracurricular activities,409,500,short,128,95.0565666302669,95.0565666302669,1.4985554431249692,1.4985554431249692,10.946849021055684,10.903933420985345,9.448293577930714,,,,high,3
2F7B32094BCD,5,8,non_ELL,Community service,442,540,short,128,64.87488138614319,64.87488138614319,1.7993181090042034,1.7993181090042034,7.202442989745892,6.3152527428744545,5.4031248807416885,,,,high,3
A66B88F03338,2,10,non_ELL,Car-free cities,625,760,main,384,121.13852546047465,80.18599784204812,2.4879294639663474,1.340120708318766,14.322804644590322,13.879573147187955,12.982683936271556,12.044593790192415,11.834875180623975,,low,8
BD7F5D94AFED,2,10,non_ELL,Car-free cities,564,804,extended,512,161.37126487831534,59.340103323377434,6.631018309528994,2.580085705828907,27.091668234909815,25.58174814408249,24.511582529080908,21.690766422559165,21.015968130179186,20.46064992538082,low,8
B25D365F5C1C,1,9,non_ELL,Does the electoral college work?,703,826,extended,512,193.802183185444,97.780755989496,3.1511128063946217,0.5895858146467869,15.198699976186422,15.233443018414386,14.609114161539635,12.691180299394093,12.299226989888465,12.0475871697918,low,8
1909DEE8C6B8,2,10,non_ELL,Car-free cities,673,826,extended,512,226.05355965502758,95.72379531253412,7.543444299818496,2.0585921709860386,19.30371860062562,19.286102130141785,17.24512642963958,15.008791123979645,11.995734998556607,11.760274300807122,low,8
43CBE96B374E,1,9,non_ELL,Does the electoral college work?,699,829,extended,512,71.28148846272452,65.48461079754804,3.4279849304436105,3.1370912126526846,28.750633781689405,27.21933787936886,25.61354256903672,25.85923459489094,26.163276970351234,25.322648851245795,low,8
38283A07296C,4,11,non_ELL,Summer projects,624,787,extended,512,313.21513195149566,46.898627968337564,3.1193956877468967,0.904060633119478,18.65056465468095,17.679671887866952,17.74650402156147,17.252245554732426,16.891213804602025,15.531168966934052,mid,8
CF5D5E42B72E,4,9,non_ELL,Does the electoral college work?,550,781,extended,512,99.29693829850123,85.15691093065644,0.7675149919756548,0.577060631626134,5.647579753919625,5.501532399187421,5.070519122293491,5.0423307793782675,4.84274150718709,4.88006476194397,mid,8
3F44E430D0AF,4,11,non_ELL,Summer projects,694,845,extended,512,114.64267292483288,58.52406707931384,3.046615453428256,1.6608421582677568,11.360068164680447,10.358205424218264,9.69922600641269,9.046515778151624,8.521001270450977,8.313452711252191,mid,8
FB0404CADC51,4,10,non_ELL,Driverless cars,638,760,main,384,200.61679814902612,59.33255100603911,2.9035677727187803,0.8240328702808419,12.070133998219045,11.587759487271262,11.246101127938203,10.13957850361162,9.166566225500265,,mid,8
7AFF646F79FB,4,10,non_ELL,Car-free cities,556,789,extended,512,55.22816450873023,50.85449537927002,1.3167314954402602,1.068801966129815,11.792952285617403,10.885962673109454,10.724150319487588,10.703572011544859,10.544776545327025,10.476220790177143,mid,8
5DB8A4809D87,5,8,non_ELL,Mandatory extracurricular activities,622,745,main,384,177.66150335837534,88.9627725197954,1.774229132006984,0.7995124559563926,9.272101694104503,9.127973860521156,8.47258923814811,8.246799253396519,7.497872562097519,,high,8
6DC4BC2A440B,5,11,non_ELL,Summer projects,639,753,main,384,172.35017902585702,66.89336899022506,1.9315668196642442,0.8426590372312361,8.873816199466972,8.472436426790283,8.031157162235736,7.675805277777163,6.942249379802728,,high,8
1C592378CBD1,5,11,non_ELL,Summer projects,616,770,main,384,134.59530281632735,73.66532045243055,2.1690744382546914,1.0308353991740002,9.16528779618044,8.741555135961372,8.13445239700644,7.092220804999591,6.996213357925749,,high,8
B88A1ED73119,5,8,non_ELL,Mandatory extracurricular activities,699,812,extended,512,221.17968790817977,92.04892090211105,2.4969600267809593,0.6608151470463834,10.91019127247724,10.837566667581399,10.249376125430857,9.442106809760173,9.359593166152228,8.41323124569628,high,8
72279B65EB03,5,11,non_ELL,Summer projects,643,754,main,384,92.92984258211503,62.38416552791493,3.006961697310917,2.0301260052743686,12.315591443697032,11.246547238597913,10.285465438422664,9.294645334416167,9.308629746386115,,high,8
