pair_type,child_id,log_slope_local_resid_diff,auc_log_k_resid_diff,auc_linear_k_resid_diff,early_ratio_resid_diff,mean_gain_128_resid_diff
within,1001,0.013339105331829415,0.917796035314105,28.74297395336899,0.07637918823299561,0.19971684433284054
within,1001,0.06953217816681623,0.3700857981681449,22.143403345380136,0.06492822405773091,0.2655718098208244
within,1001,0.05619307283498681,0.5477102371459601,6.599570607988852,0.14130741229072652,0.06585496548798386
within,1002,0.04325501083622563,0.8999551410399209,32.952973788946935,0.005980578096916878,0.28510907398492513
within,1002,0.01940280974924219,0.6194378597119687,20.6304012117362,0.036915408447493525,0.16289732612097207
within,1002,0.023852201086983438,0.2805172813279522,12.322572577210735,0.030934830350576648,0.12221174786395306
within,1003,0.010453354180271546,0.4587399568757462,14.810749552749598,0.012515656933294927,0.16545877639838968
within,1003,0.06384995639472768,0.25133529340611727,17.154978925222878,0.0012343958302087898,0.07154132924213918
within,1003,0.07430331057499923,0.7100752502818635,31.965728477972476,0.013750052763503717,0.23700010564052887
within,1004,0.0007887838669077829,0.3095043562349984,9.136190852471998,0.04403573749119516,0.1588651019969749
within,1004,0.05074263156065573,0.1099450826509063,10.90234413527321,0.08482148823591928,0.20073303107403007
within,1004,0.05153141542756351,0.1995592735840921,1.7661532828012128,0.040785750744724125,0.041867929077055166
within,1005,0.0064265805649066365,0.578785407077663,15.99936776565221,0.06375181703727606,0.10192691808471444
within,1005,0.0132390493573592,0.19055234801891885,3.3327965087558766,0.038964011283777245,0.0275147528234847
within,1005,0.006812468792452564,0.38823305905874417,12.666571256896333,0.024787805753498815,0.12944167090819914
within,1006,0.037639061212638936,0.22105215604150175,1.4838492278730655,0.02093872111582129,0.012573189895963344
within,1006,0.017191242957360853,0.26798016779172773,5.481145460533924,0.0296129498912997,0.07996001396768482
within,1006,0.020447818255278083,0.046928011750225984,3.997296232660858,0.05055167100712099,0.09253320386364816
within,1008,0.05623637179965407,0.11107074993906796,11.520959531374984,0.16537624337236112,0.27166451528872826
within,1008,0.01890597025557833,0.2367306682972945,3.6016622885544507,0.13618915838578627,0.07232624377267705
within,1008,0.03733040154407574,0.34780141823636246,15.122621819929435,0.02918708498657485,0.1993382715160512
within,1009,0.05719688705094084,0.514950647283106,23.5536436711551,0.018810720830892302,0.2197142438944164
within,1009,0.05962366551039655,1.0688673853270263,40.218457201282575,0.08197645899478634,0.14547854009156302
within,1009,0.002426778459455714,0.5539167380439203,16.664813530127475,0.10078717982567864,0.07423570380285338
within,1010,0.046074370877610904,0.25817276192629146,0.13962315901949296,0.11604162509346094,0.086008567631632
within,1010,0.01866899453388432,0.1839925381014611,2.9032416072006413,0.05580787686711286,0.024456882743081998
within,1010,0.027405376343726584,0.07418022382483036,2.7636184481811483,0.1718495019605738,0.110465450374714
within,1011,0.011170303205728982,0.2982631639728126,11.627466290187698,0.057593284562794445,0.0031765397366867454
within,1011,0.08048249068396235,0.2721135166167832,3.5158332801379686,0.08040418185466791,0.135757508285147
within,1011,0.09165279388969133,0.026149647356029426,15.143299570325667,0.022810897291873466,0.13258096854846024
within,1012,0.03160111785967412,0.06314971722314144,2.3766306137704873,0.019023193939447403,0.08666836500000419
within,1012,0.07414578560515311,0.5323849946473804,26.530071317051437,0.05754487905745054,0.2633167345951537
within,1012,0.04254466774547899,0.5955347118705219,24.15344070328095,0.07656807299689794,0.1766483695951495
within,1013,0.03597113613226538,0.3280987506258839,5.056620916834248,0.05483249669345125,0.017306648080133824
within,1013,0.003151079651259492,0.3920771707625077,11.661605866798993,0.0024348376069983635,0.044359238910417265
within,1013,0.03282005648100589,0.0639784201366238,6.604984949964745,0.052397659086452886,0.06166588699055109
within,1014,0.00043435581503559195,0.7117202834180532,21.11005541263495,0.011014581541146318,0.16548787310578006
within,1014,0.03694226142405199,0.7253039208893637,26.880334694427916,0.024658286724175027,0.19799287557711875
within,1014,0.0365079056090164,0.013583637471310528,5.770279281792966,0.01364370518302871,0.032505002471338695
within,1015,0.006910408050078309,0.48781671978659524,15.974154814337822,0.030599104005259337,0.25299882411427577
within,1015,0.0429489913293295,0.18679505767527527,1.035123408241958,0.0899480931105412,0.048179189303939385
within,1015,0.04985939937940781,0.30102166211132,17.00927822257978,0.05934898910528186,0.20481963481033638
within,1016,0.11105350332124381,0.42464759409451247,3.947106643819808,0.1811121909932133,0.17760799211892553
within,1016,0.017575693122616975,0.4587539437410477,10.797094065156728,0.09395204209793107,0.04530427603822229
within,1016,0.09347781019862683,0.03410634964653525,14.744200708976535,0.08716014889528223,0.22291226815714782
within,1017,0.0815359179946577,0.009496390757467665,11.99717475353961,0.04853507004911384,0.18790435274061346
within,1017,0.008770844573774694,1.0794496160718663,33.335864822602076,0.028227029235805667,0.27806693283860917
within,1017,0.0903067625684324,1.088946006829334,45.33303957614169,0.02030804081330817,0.4659712855792226
within,1018,0.0304975068887251,0.2216434376386749,10.7457741191744,0.046596415942047664,0.020611663714171113
within,1020,0.04591073130823575,0.08519596922498263,9.31619730509189,0.05801984787115644,0.12151922039033658
within,1020,0.00688267931925457,0.40354705848525496,12.574084127114588,0.052052842032289215,0.12534869996982922
within,1020,0.05279341062749032,0.4887430277102376,21.89028143220648,0.005967005838867223,0.2468679203601658
within,1021,0.00022509329693087832,0.31666553031503275,9.178968889846544,0.04210891077802603,0.011263034658775428
within,1021,0.029481320918945453,0.04537812176618017,5.335426857371829,0.04900416054290735,0.021498072518930655
within,1021,0.02970641421587633,0.2712874085488526,3.8435420324747156,0.006895249764881317,0.010235037860155227
within,1022,0.010211786847771465,0.06550887641009684,3.3870986538100283,0.07643371574317304,0.09544224886584374
within,1022,0.039275591057309156,0.027933380141806907,6.912510301758175,0.023109024318026194,0.10786101939174353
within,1022,0.04948737790508062,0.09344225655190375,10.299608955568203,0.09954274006119923,0.20330326825758727
within,1023,0.050876942840479056,1.2593988210372533,29.62616112885192,0.1583515311892495,0.11844930788342167
within,1023,0.0020452139271177616,2.2866029889380144,68.14649411706708,0.10095495294654933,0.5292938923137309
within,1023,0.05292215676759682,1.027204167900761,38.52033298821516,0.05739657824270017,0.41084458443030925
within,1024,0.05868782521114646,0.2022847628135982,14.832901192617385,0.08437136914587495,0.21847285287118323
within,1024,0.07330519829629861,0.37227693225103753,0.35413370497099095,0.1490768444641165,0.07527581241687487
within,1024,0.014617373085152152,0.5745616950646357,14.478767487646394,0.06470547531824156,0.14319704045430837
within,1025,0.01522642240826938,0.04559671251292219,0.26456216805775057,0.012012980464416456,0.018067554020703147
within,1025,0.029425737828112197,0.40296725649843124,8.321431225433741,0.11789482225387549,0.09653319636872304
within,1025,0.014199315419842817,0.35737054398550905,8.585993393491492,0.12990780271829194,0.07846564234801989
within,1026,0.05369062286170034,0.1791757163222929,2.9568678542611053,0.0477211535775961,0.10427039834128737
within,1026,0.03597663424085795,0.273051153606068,2.9560703112845204,0.01959374082552867,0.03930236533712805
within,1026,0.01771398862084239,0.09387543728377512,5.912938165545626,0.028127412752067427,0.06496803300415932
within,1027,0.07793063006195045,1.0448001479487132,42.48800550469528,0.04895218910084442,0.3962102675125654
within,1027,0.05988919273484272,0.1065841058877659,5.992019819822417,0.08417546051461078,0.18333702545176012
within,1027,0.018041437327107723,1.1513842538364791,36.49598568487286,0.035223271413766355,0.21287324206080527
within,1028,0.04068147126023347,0.8746794072907358,31.448613221863212,0.029183882848089926,0.37081853019020605
within,1028,0.1206715473222536,0.5228303489309578,33.08529801304854,0.10640183666943881,0.46850705331379405
