pair_type,child_id,log_slope_local_diff,auc_log_k_diff,auc_linear_k_diff,early_ratio_diff,mean_gain_128_diff
within,1001,0.04665104280877974,1.0620270665703448,37.93889131521988,0.0552873983359502,0.2983833277417771
within,1001,0.06870055769768735,0.41897178067553975,23.305580626908807,0.049477904369562675,0.26486299451320416
within,1001,0.022049514888907606,0.6430552858948051,14.63331068831107,0.10476530270551287,0.03352033322857295
within,1002,0.02127990879028835,0.7986713452555629,26.730917478953614,0.026740217512776554,0.192964063536736
within,1002,0.026254399881986856,0.26903969033578345,3.5465584013971068,0.03986741314531406,0.0040987406046155694
within,1002,0.047534308672275205,0.5296316549197795,23.184359077556508,0.013127195632537503,0.18886532293212044
within,1003,0.05591237639157781,0.9056558313073486,34.70305257449232,0.028429261963366703,0.3277845641297681
within,1003,0.002085799570664737,0.24265396601407918,6.521759380544353,0.00817365140125037,0.1549550131444004
within,1003,0.05799817596224255,0.6630018652932694,28.181293193947965,0.03660291336461707,0.17282955098536767
within,1004,0.0023645445630622874,0.272335791027702,8.507666748617936,0.05731418620483297,0.16922257984838196
within,1004,0.08246087973468114,0.19191927897000927,18.185920584442158,0.11918367278310327,0.2902807271288286
within,1004,0.08009633517161885,0.08041651205769274,9.678253835824222,0.061869486578270294,0.12105814728044662
within,1005,0.007899485569544229,0.43268755214925925,11.54756425306681,0.05785192623954616,0.05925030554494559
within,1005,0.0752925977057603,0.4319864145999688,24.10558179842849,0.04105006910435294,0.2914029521326864
within,1005,0.06739311213621607,0.864673966749228,35.6531460514953,0.01680185713519322,0.350653257677632
within,1006,0.024794670150934395,0.13031880858776645,0.7072455679217171,0.02153389226721769,0.03230698224036921
within,1006,0.026689400851338363,0.0055610164291897135,3.9593488229618004,0.06342014190841849,0.0316604373916507
within,1006,0.0018947307004039682,0.13587982501695617,4.6665943908835175,0.0418862496412008,0.000646544848718511
within,1008,0.050410514413511964,0.06926186322662797,9.434078284040595,0.1619950990497221,0.24762764140482907
within,1008,0.044737663480220013,0.12067427738011638,3.664661472531094,0.1480563699086016,0.14126158526107213
within,1008,0.005672850933291951,0.18993614060674435,5.769416811509501,0.013938729141120487,0.10636605614375694
within,1009,0.009286132209056275,0.6194947507257096,19.369850297007787,0.08290529164659755,0.07678763385741894
within,1009,0.03068028647596377,0.969935744334653,32.84484977270324,0.10766923056787603,0.06574395198014438
within,1009,0.021394154266907495,0.35044099360894343,13.474999475695455,0.024763938921278483,0.011043681877274558
within,1010,0.011388835081502513,0.33910018041244916,7.62536668311202,0.06374937810091375,0.04964772655117877
within,1010,0.012016778428278474,0.024921543094316156,0.7547159551132268,0.09068482295022695,0.026426906931784844
within,1010,0.000627943346775961,0.314178637318133,8.380082638225247,0.1544342010511407,0.02322081961939393
within,1011,0.00577420651992433,0.26847249334479883,9.957192828001496,0.06243543429642573,0.025043925066148276
within,1011,0.09852287270947002,0.24936425640342375,6.993247750305386,0.11577095397557602,0.2051670978146216
within,1011,0.10429707922939435,0.01910823694137509,16.950440578306882,0.05333551967915029,0.18012317274847334
within,1012,0.05595602460877369,0.1643267067176657,12.650048351095649,0.023069565900291078,0.1894918490802091
within,1012,0.10305952118262401,0.6286639911392959,33.82132636577859,0.031402191361884046,0.34282077541274436
within,1012,0.04710349657385032,0.46433728442163025,21.17127801468294,0.054471757262175124,0.15332892633253525
within,1013,0.020540529785168793,0.7066269305985751,24.565502386756492,0.03605316220679067,0.1840685033029128
within,1013,0.015545649963528863,0.6251998479661252,21.124454495455012,0.017788507860179603,0.1301593915108712
within,1013,0.00499487982163993,0.08142708263244991,3.44104789130148,0.018264654346611064,0.05390911179204161
within,1014,0.03441711770427197,1.1093016217329215,37.862359914712385,0.03991110347736071,0.28192886479439316
within,1014,0.04584754733409213,0.8315704560596235,31.519547482555907,0.03953013223597446,0.2017572777886545
within,1014,0.01143042962982016,0.2777311656732979,6.342812432156478,0.00038097124138625205,0.08017158700573868
within,1015,0.03785234079607086,0.1572722034165528,0.39430304208110556,0.035604045515138294,0.09848668810821337
within,1015,0.0716168205096604,0.24636257441094678,3.7082604917787307,0.14544698703482906,0.0234747515090048
within,1015,0.033764479713589535,0.08909037099439399,3.313957449697625,0.10984294151969076,0.12196143961721817
within,1016,0.06770922288366171,0.7871161238729956,13.294657163454161,0.1777298822291281,0.0313503181742083
within,1016,0.026506734431617163,0.9306616452491321,31.221496663543007,0.11734059941870412,0.2034973524270518
within,1016,0.09421595731527888,0.14354552137613652,17.926839500088846,0.060389282810423994,0.2348476706012601
within,1017,0.08849295982630062,0.04826521375624271,14.008565733701914,0.050243025193227875,0.2164022537969772
within,1017,0.03735956177410571,1.4165753037257551,47.4562991262444,0.036898867902227184,0.40187512540048176
within,1017,0.12585252160040633,1.4648405174819978,61.46486485994632,0.013344157291000691,0.618277379197459
within,1018,0.0744083185671518,0.70311749209616,31.41708047140031,0.06935639601605936,0.17459472980230117
within,1020,0.024178594203273118,0.15495340010330416,7.963729783940693,0.014124488298726257,0.07672516953560593
