Metric,Child ICC (raw),Child ICC (ctrl),Task ICC (ctrl),W/B Ratio (raw),p-val (raw),W/B Ratio (resid),p-val (resid),Bootstrap p (raw),Bootstrap p (resid)
log_slope_local,0.323,0.244,0.136,0.897,0.1349,0.939,0.2684,0.0759,0.2318
mean_gain_128,0.274,0.212,0.103,0.899,0.1313,0.980,0.6112,0.1069,0.4016
