age_bin,story_id,n,half_life_mean,half_life_ci_low,half_life_ci_high,half_life_n,total_benefit_mean,total_benefit_ci_low,total_benefit_ci_high,total_benefit_n,ppl_at_min_ctx_mean,ppl_at_min_ctx_ci_low,ppl_at_min_ctx_ci_high,ppl_at_min_ctx_n,ppl_at_max_ctx_mean,ppl_at_max_ctx_ci_low,ppl_at_max_ctx_ci_high,ppl_at_max_ctx_n
4-5yr,A1,45,14.589158518485421,10.360494363100736,18.84201317081482,43,8824.761422287334,6918.419361971725,10458.868067978729,44,8857.693690386686,6988.899636424671,10607.022875703464,44,32.93226809935136,26.310179207541726,39.27773757414384,44
4-5yr,A2,45,14.991361003209112,10.977160748289073,19.50726841889796,45,10361.863294612036,7938.438249579271,13214.653328208395,45,10379.040613386365,7978.904547320472,13533.20956781387,45,17.17731877432929,14.842991274197896,19.679551457299127,45
4-5yr,A3,45,10.238058861380608,7.634496468845994,13.59126520811874,45,26547.70166156557,11210.713633827369,53756.89565516339,45,26559.035731336804,11220.758005142212,54180.35907378302,45,11.334069771236843,9.874171679814657,13.540230344931283,45
4-5yr,B1,45,12.458424884614152,9.366551345971153,15.761566763598323,44,9577.066612417048,7782.074724206599,11171.031041684475,44,9618.7518417185,7807.280728294633,11466.221224637464,44,41.68522930145264,28.276691847497766,61.34385101036589,44
4-5yr,B2,45,13.02554034267101,9.563012958784544,17.02785231993709,45,11205.223168595632,9051.756357666123,14171.131066436237,45,11224.606665886773,8821.306183861627,14065.515855746798,45,19.383497291141087,16.327699246671465,23.24935116423501,45
4-5yr,B3,45,12.710879079857,9.009450308917968,17.29080624222045,45,11273.804893747965,9102.82443721162,14071.009355892076,45,11285.24840766059,9106.06267062717,14156.294061550563,45,11.443513912624782,10.492889523241255,12.594719377623663,45
5-6yr,A1,46,10.32159847980456,7.811174509837844,13.454012751103843,45,11971.774022663963,10383.868868159188,13495.010931342442,45,11998.70103149414,10438.025980767145,13524.673526831732,45,26.927008830176458,21.164031864007317,34.246463798946806,45
5-6yr,A2,46,10.131701164027337,7.381425675539602,13.475024255681653,46,52649.94752705615,14278.475834551069,93655.32142832383,46,52666.593444077866,14626.477497886577,93479.51642457713,46,16.64591702170994,14.526825723959051,19.111768095389653,46
5-6yr,A3,46,9.727224622546196,7.255801800973722,12.53829572618721,46,28060.29165733379,11970.428442901894,55846.044901503425,46,28071.25352643884,11822.632757385918,64208.769088106565,46,10.961869105048802,9.842926523996436,12.300069101997043,46
5-6yr,B1,46,12.474086768704149,9.49225351884392,15.912559828941198,44,12144.27804782174,9358.314562508192,15355.319710943915,44,12171.564611261541,9413.163407291066,15245.174554842168,44,27.28656343980269,21.947860219803726,33.843878000974655,44
