age_bin,n,half_life_mean,half_life_ci_low,half_life_ci_high,half_life_n,total_benefit_mean,total_benefit_ci_low,total_benefit_ci_high,total_benefit_n,ppl_at_min_ctx_mean,ppl_at_min_ctx_ci_low,ppl_at_min_ctx_ci_high,ppl_at_min_ctx_n,ppl_at_max_ctx_mean,ppl_at_max_ctx_ci_low,ppl_at_max_ctx_ci_high,ppl_at_max_ctx_n
4-5yr,270,12.992386813251661,11.498259080872844,14.551471795756783,267,12993.160893135995,10063.089780485941,17957.37371540003,268,13015.375064308964,9925.704176350493,18534.175038449444,268,22.214171172967596,19.394923911521683,26.10357633873598,268
5-6yr,276,10.672157077380902,9.373599743189855,11.985274381353616,273,21380.280342888047,14467.983699043329,30192.892942865856,273,21398.333594661057,14135.588834913835,30226.122938367822,273,18.053251773009805,16.454380992087692,19.741054603381034,273
6-7yr,294,9.907768677102347,8.661653878660838,11.248471675982955,293,14445.989197965368,11881.57834831578,19076.28775905338,293,14463.943543587122,11970.745051152877,19853.447323026427,293,17.954345621753472,16.3431841929618,19.548443687084184,293
7-8yr,300,8.311146255013778,7.610175195106764,9.078804589756507,300,14855.371771181424,12529.403715550661,19122.07483632481,300,14871.082670237223,12490.908524850209,19163.41816797511,300,15.710899055798848,14.192282069921493,17.58038775730133,300
8-9yr,270,8.710207853653078,7.8726726938939215,9.896823498424052,270,21238.38146498115,14570.171863543681,30284.450774061854,270,21252.827618514166,14428.907030609804,30188.577190913096,270,14.446153533017194,13.128723011811575,16.032664377733514,270
9-10yr,300,8.766439066391301,7.592186523032015,10.535606576032961,299,16980.708676465354,12814.038137606542,23032.434054921825,300,16995.281347757977,12833.716729080199,22863.813268170037,300,14.572671292622884,13.169611556529999,15.976792077461878,300
