doc_id,age_months,age_group,n_chars,n_words,n_tokens_model,word_count,n_tokens,ppl_min_ctx,ppl_32,ppl_max_fixed,total_benefit_fixed,benefit_ok_fixed,half_life_fixed,early_drop_pct_fixed,early_slope,burst_valid_256,burst_valid_512,burst_n_targets_256,burst_n_targets_512,burst_baseline_512,burst_I_L_max_512,burst_I_L_std_512,burst_spike_mass_c_512,burst_spike_count_c_512,burst_cv_c_512,burst_kurtosis_c_512,burst_spike_mass_512,burst_cv_512,burst_baseline_256,burst_I_L_max_256,burst_I_L_std_256,burst_spike_mass_c_256,burst_spike_count_c_256,burst_cv_c_256,burst_kurtosis_c_256,burst_spike_mass_256,burst_cv_256,model,model_tag
ECSC_4051_1_120M_4051_YR1,120,10+yr,2811,649,703,649,703,80.46246849164025,43.03144150096608,19.670990652613856,60.7914778390264,True,26.577117559547595,61.572819614272504,-1.2652968425205997,True,True,20,20,23.583438464993684,57.584840425589505,15.072754043896882,0.467642544185664,1.0,1.2060507439299053,-0.5471232948468581,0.22390930611549853,0.6391245308130228,25.928655012399027,66.61965737958144,19.39383324909926,0.5132132416384896,1.0,1.2349629558964377,-0.3995096072380204,0.25541666834075005,0.7479691191010552,Qwen2.5-7B-Instruct,qwen7b
ECSC_4040_1_122F_4040_YR1,122,10+yr,2356,584,612,584,612,20.65382837736515,16.92155678577686,10.729614016390265,9.924214360974887,True,82.10300201800938,37.607728489468634,-0.09117008566185769,True,True,20,20,22.732887798416478,37.37735572344238,10.94032509077689,0.29958021086278375,1.0,1.1206249003703466,-1.3136038666594039,0.16432776713244363,0.48125540352770174,10.682363081949028,36.97168667715802,9.85071437751689,0.6829406651840365,1.0,1.3573009924359234,1.391489463795577,0.3309495968508185,0.9221474969487369,Qwen2.5-7B-Instruct,qwen7b
ECSC_4041_1_122F_4041_YR1,122,10+yr,1985,459,503,459,503,78.76510158740321,46.9913306190892,28.23609387498609,50.52900771241712,True,26.595870418653327,62.88223815744129,-0.9378941736379403,True,False,20,0,,,,,,,,,,26.92380250927544,74.81531990550947,22.33394797735195,0.4522217321962686,1.0,1.1645236281657407,-0.6667356590314881,0.26106539153505015,0.82952428319357,Qwen2.5-7B-Instruct,qwen7b
ECSC_4058_1_122M_4058_YR1,122,10+yr,1044,254,263,254,263,13.991325074152092,6.028887502880252,5.217363446928825,8.773961627223267,True,18.208303930653425,90.75076812014446,-0.28181582642407277,False,False,0,0,,,,,,,,,,,,,,,,,,,Qwen2.5-7B-Instruct,qwen7b
ECSC_4061_1_122M_4061_YR1,122,10+yr,1925,463,488,463,488,45.964312305089045,17.331732372108622,13.142310450234834,32.82200185485421,True,15.038142023163317,87.23593417488584,-1.1022049455200664,True,False,20,0,,,,,,,,,,10.527693472276889,46.08835753887028,12.772975668367131,0.6026179975107239,1.0,1.2744946605491965,1.0538852976596953,0.38535073099606415,1.213273895369661,Qwen2.5-7B-Instruct,qwen7b
ECSC_4077_1_123F_4077_YR1,123,10+yr,1132,258,279,258,279,80.66356280582987,35.21217759445166,27.836952661931125,52.82661014389875,True,24.922305449421977,86.03880712309467,-1.0331902778725837,False,False,0,0,,,,,,,,,,,,,,,,,,,Qwen2.5-7B-Instruct,qwen7b
ECSC_4052_1_124M_4052_YR1,124,10+yr,1250,302,341,302,341,117.10432715144348,24.734619582098283,21.09888572065983,96.00544143078366,True,7.31813620101887,96.21299188123655,-2.3069450215770853,True,False,20,0,,,,,,,,,,77.90009586756452,321.18902780729604,96.41976965582674,0.4610224288135093,1.0,1.1523031791414737,-0.19007907082904518,0.34760157114150503,1.2377362130561038,Qwen2.5-7B-Instruct,qwen7b
ECSC_4065_1_125F_4065_YR1,125,10+yr,1545,343,361,343,361,29.780472331787106,22.07713781583497,13.183039275538531,16.597433056248576,True,102.4529709952391,46.41280666622117,-0.2615097758048331,True,False,20,0,,,,,,,,,,4.910925537102501,14.1714812010468,3.569088320376966,0.6639286573101097,1.0,1.309574970461658,1.4237431566176983,0.28422772920429357,0.7267649027484068,Qwen2.5-7B-Instruct,qwen7b
ECSC_4043_1_126F_4043_YR1,126,10+yr,1829,426,436,426,436,14.206561879407314,11.301533037554183,5.151021443135809,9.055540436271505,True,41.205481926632814,32.0801266616533,-0.09632526148590292,True,False,20,0,,,,,,,,,,4.125254727887419,11.651348935842801,2.653031255976581,0.5763502438678247,1.0,1.2840288600392744,1.062340641340671,0.24433554496382814,0.6431193783117541,Qwen2.5-7B-Instruct,qwen7b
ECSC_4067_1_128F_4067_YR1,128,10+yr,1488,320,337,320,337,20.330362911535403,8.381717589549133,6.434654511465052,13.895708400070351,True,17.627074057593454,85.98802578446289,-0.5275406352116594,True,False,20,0,,,,,,,,,,36.13887343491798,81.61665553621228,22.942086384440557,0.40264417443644535,1.0,1.126883668274635,-1.0894161039630406,0.21341503735273257,0.6348312552065757,Qwen2.5-7B-Instruct,qwen7b
