age_group,n,top_share_512_mean,top_share_512_ci_low,top_share_512_ci_high,n_eff_512_mean,n_eff_512_ci_low,n_eff_512_ci_high,I_512_star_mean,I_512_star_ci_low,I_512_star_ci_high,top_share_256_mean,n_256,n_eff_256_mean,model
6-8yr,27,0.2841758429742647,0.24891734071508356,0.3246736003074766,12.373918404726233,10.65198641449055,14.368227758890594,22.278446908805247,16.26053700875341,29.10813550556981,0.3628711163359339,27,6.8756997204188055,Qwen2.5-7B-Instruct
8-10yr,18,0.28865673626721017,0.24747201495212465,0.3304896464142617,11.813269000239764,10.4617818463086,13.237751070077515,18.427362996936214,10.95846448311639,30.47852525985774,0.3404296146656042,18,7.200572590028254,Qwen2.5-7B-Instruct
10+yr,5,0.34341220754815394,0.251417091047072,0.47222188645758906,8.551974298643442,6.284386433637422,10.57572898087059,24.822278225100955,16.30894378865879,33.1249022215782,0.29239998666999256,5,7.570340076754458,Qwen2.5-7B-Instruct
