age_group,n,L,n_targets_median,n_targets_q25,n_targets_q75,baseline_mean,baseline_ci_low,baseline_ci_high,spike_mass_c_mean,spike_mass_c_ci_low,spike_mass_c_ci_high,cv_c_mean,cv_c_ci_low,cv_c_ci_high,kurtosis_c_mean,kurtosis_c_ci_low,kurtosis_c_ci_high,model
4-6yr,49,256,20.0,20.0,20.0,13.079852137621979,10.830926998200013,15.440802631387987,0.48653425966725267,0.4543656339009736,0.5243230319310156,1.2314579649674968,1.2037658406756007,1.2644103772085524,0.02699268859225947,-0.35838670190576727,0.5391819122493807,Qwen2.5-7B-Instruct
6-8yr,123,256,20.0,20.0,20.0,14.917334710773885,13.14794390775763,16.654675336361713,0.5239529907509258,0.4987024548692047,0.5472592805380261,1.277515600029009,1.2516999035349397,1.3079005825307257,0.8370527550161192,0.39038760343502277,1.3117890313402838,Qwen2.5-7B-Instruct
8-10yr,55,256,20.0,20.0,20.0,16.687524738299537,14.1887656498173,19.513315014056822,0.5524071183160416,0.5152198970589542,0.5928266859076036,1.2917377723158283,1.2553585939687448,1.3331024769444941,1.1945108762693128,0.5412107651704693,1.9385229201000467,Qwen2.5-7B-Instruct
10+yr,20,256,20.0,20.0,20.0,19.80839439147281,12.963752233357635,28.268678326843215,0.5464219651754986,0.49832000348355354,0.5984463251566731,1.2675738945860775,1.2221434081545206,1.3175451025064402,0.7910424051815834,0.07315733117861105,1.5844814537284984,Qwen2.5-7B-Instruct
