age_group,n,half_life_fixed_mean,half_life_fixed_ci_low,half_life_fixed_ci_high,early_slope_mean,early_slope_ci_low,early_slope_ci_high,early_drop_pct_fixed_mean,early_drop_pct_fixed_ci_low,early_drop_pct_fixed_ci_high,ppl_min_ctx_mean,ppl_min_ctx_ci_low,ppl_min_ctx_ci_high,model
4-6yr,67,26.411636813233585,20.326716076450083,35.542838108098145,-0.8986105827800485,-1.1207630596997098,-0.6940666939521108,66.25665953704853,61.95160216372878,70.33459946231069,58.19115927442859,47.82611477067914,68.71040602104894,Qwen2.5-7B-Instruct
6-8yr,155,24.79100754117908,21.427445086003548,28.73455943603478,-0.7953490998173995,-0.9130526978963073,-0.6844673243605636,67.59673893213892,64.50434616551532,70.4406784954005,51.9005346835483,46.52565759397128,57.261024093451034,Qwen2.5-7B-Instruct
8-10yr,61,29.064020351905434,24.5410271024161,33.89462061923383,-0.4780323876045854,-0.5836499264411407,-0.3938414259828491,56.390144886282954,51.767824043399536,61.80475918109076,38.853994103560424,34.45461478997327,44.062092780431286,Qwen2.5-7B-Instruct
10+yr,23,29.873573275133502,21.352621393361503,40.77875084970011,-0.7106364989272973,-0.9531100546815722,-0.5049667261669565,65.96415958053741,58.23956339166221,74.42222607357017,46.59578596900289,35.186716237442,59.44988749541067,Qwen2.5-7B-Instruct
