metric,n_full,n_task_subset,age_coef_basic,age_se_basic,age_p_basic,r2_basic,age_coef_controlled,age_se_controlled,age_p_controlled,r2_controlled,age_coef_with_task,age_se_with_task,age_p_with_task,r2_with_task,pct_change_controls,pct_change_task
log_slope_local,341,209,0.0006007429025653216,0.00016445472790036,0.00030025622864551517,0.03787195679645883,0.00021319729616530846,0.0001615786744703239,0.18790964385294942,0.18144419325766337,0.0007726084876004841,0.00027838892273343693,0.0060331874335209845,0.2825981746806603,-64.51105868169178,262.39131616445104
early_ratio,341,209,-0.00033528034401590114,0.000196712731576416,0.08921963695043635,0.008496611349974037,-6.49278878569904e-05,0.000196637053425564,0.7414604195961862,0.1268275077578972,-4.897442546353476e-06,0.0003594168884078111,0.989141747547583,0.17307676244200487,80.63474670799339,92.4571047850185
mean_gain_128,341,209,0.0018641166132087952,0.0005868004871008585,0.001626237162360446,0.02890850772044018,0.00039994372460019564,0.0005656765486100659,0.4800436356172865,0.20465485883775658,0.0020797396879810278,0.0010277529283752472,0.044330838427845735,0.26716245282986495,-78.5451338308845,420.00808115192774
