metric,mean,ci_lo,ci_hi,condition
L50,11.329501745470466,10.847085388397147,11.835139991610315,full
L80,40.392577215411755,38.69727805068033,42.286911401816475,full
L90,67.23388826615997,65.16714956994527,69.24233481714629,full
tail_33_128,0.2390494585283115,0.2296662463939776,0.2482846173923792,full
tail_65_128,0.1102490877213744,0.1040733906478734,0.1165586140963014,full
mean_lag,23.72704833501413,23.037828973311928,24.36326001195893,full
gain128,1.2432542410182057,1.212907554198725,1.2750309790468033,full
L50,11.7766277906029,11.101836675912391,12.487509394684267,early+mid
L80,41.11188873460559,39.05097782209237,43.343200971780824,early+mid
L90,67.55447923450852,65.0777499688124,70.02351137878836,early+mid
tail_33_128,0.24262435759196413,0.2308983046259861,0.2541364508929849,early+mid
tail_65_128,0.11262845044273727,0.10471365164523327,0.1213745351182863,early+mid
mean_lag,24.005390264479704,23.16757787151083,24.87985460999938,early+mid
gain128,1.2594947261569163,1.2251247322058845,1.2947677093834404,early+mid
