doc_id,gain128,baseline_nll,token_count,score_bin,grade,L50,L80,L90,tail_33_128,tail_65_128,mean_lag,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10
B7C17E1993BA,1.1561247890995394,2.403410351276398,859,low,9,7.338981835095973,27.124756483177315,55.93267865418451,0.17899195666809029,0.08113475949076498,19.143647823281533,0.1421252428931035,0.16117356117301182,0.2522907954851383,0.1216574599110735,0.056376467756335154,0.05722062731139947,0.030163888801847963,0.0627800513059373,0.03507714587138803,0.032912648138171754,0.048222111352593224
FFBA3014CDC7,1.0061956972664885,2.44890463296324,980,low,10,9.637147337689717,44.85128385052455,68.64755071733822,0.2471079148397379,0.10519513545660084,23.770200482590024,0.14563942445981734,0.15680799001277945,0.17889642117038665,0.08784230861575847,0.08941903170394015,0.06895849568782395,0.025328413509756068,0.05962381219691909,0.08228896718621798,0.04415269632553467,0.06104243913106617
1909DEE8C6B8,1.2942049290143676,2.8907673306763173,826,low,10,15.130850080179666,52.92724881942136,77.95042163178037,0.3350006734312033,0.14495313932457013,28.649574189507586,0.10956023678797153,0.10772839665870214,0.124581976685386,0.12770324627956015,0.0428366273226703,0.09578472018339877,0.0568041226511078,0.11547682474402103,0.07457070936261219,0.10760632809374267,0.03734681123082746
451E8369BB76,1.4553933918956787,2.475984616577626,1035,low,11,13.598658538039334,42.61165172970215,68.5123330695009,0.2419744795909072,0.10696386650892895,24.922598968363005,0.06252369530387551,0.13626445412093513,0.18752722655284748,0.09386642608588533,0.09931303077057715,0.12842708963447844,0.05010359794049373,0.06550561876039906,0.06950499432157921,0.06146337989736033,0.04550048661156861
767FE7E8D2C6,1.0324189208267676,2.2936595948413014,1322,low,10,7.38876187182975,38.63007365047326,73.50071701672,0.22371790604615535,0.1289418233563664,21.39461450030327,0.2065432416637742,0.14425954302202743,0.18737390747104704,0.07582762719166002,0.07182935548388485,0.06573630923341289,0.024712109888038212,0.06319075251571893,0.031585330174070024,0.10554362911771568,0.023398194238650714
BFC4CADADD49,0.93853361745395,2.319012732617557,808,low,10,9.069500928290665,28.601250417816065,58.322760892833,0.17585440322734547,0.0792300038615583,19.687100688681735,0.1035426170917292,0.11281075110918182,0.2805692399684552,0.13283528319637272,0.06980599565617916,0.07485189785327427,0.04972981189746222,0.041747383232481935,0.054877016133305236,0.05469274212974488,0.02453726173181343
A2403E2ED72A,1.1871376395225526,3.0203649282455443,828,low,10,15.569047889971177,55.12729032845028,84.30708281015612,0.30897653925282,0.16077704067938486,30.016274547519647,0.027920652857177153,0.19464491492425967,0.13410321355877466,0.04932727651821266,0.10977289583647619,0.08883102812151462,0.08642347893076505,0.08189006080429952,0.0663094377691356,0.09758534106819194,0.06319169961119292
CC82A1D80D1A,1.1205516909880022,2.534382213652134,941,low,10,9.788318452413153,33.550383348384536,60.87349341217567,0.20312313855006311,0.09525870376329933,20.764349080533417,0.07376266469284234,0.19333890050726363,0.2019588796236495,0.11774260166637208,0.079426906130401,0.09295502468779904,0.03769188414160927,0.08511717948671522,0.022747255300048584,0.06726774416857327,0.027990959594726056
CF165F9553A4,1.1332670658586488,3.0962767146527765,826,low,10,11.39676796726261,43.206754874307,65.86221074500023,0.2782884946179244,0.1020406283671937,24.005663758456564,0.08969677875672798,0.14605969778561756,0.19369504080955896,0.08830452126995339,0.082985433168094,0.09076832378153457,0.03020170981058922,0.1150539455223849,0.06119392072834574,0.07336892952196443,0.028671698845229274
B25D365F5C1C,1.4244420716839454,2.688947546482086,826,low,9,11.139069941862612,30.90989528759842,62.05031914814192,0.19155320653581667,0.09703347893407499,20.684621885941073,0.0591607423959709,0.16943303640283855,0.19317478503928423,0.10971792174376258,0.13015252626246934,0.09256752967284353,0.05424025194701422,0.07169659942336272,0.022823128178378966,0.08890586576639727,0.00812761316767772
47DAF3375BF3,1.1415928391679642,2.4068077355623245,947,low,10,9.20757434485879,27.386309642554167,58.49909925784202,0.17145250002931414,0.08647628665834697,20.121029433563226,0.13575662507874522,0.18095515729689113,0.17528771420115347,0.11562850065097553,0.1039099841643465,0.07369657724251268,0.043312941336061325,0.04809939816684016,0.03687681520412701,0.03379560373510227,0.05268068292324471
754CED955EFD,1.4029362567009465,2.6272828698158266,874,low,9,10.801227535279327,50.93778049566679,77.87320495081663,0.30079667228839857,0.14398839592866253,26.375777833110607,0.057122842128475036,0.16757907490364018,0.19269203825876297,0.13758291458104602,0.059321421406479856,0.05779453848687308,0.027110497946324287,0.09248734982873208,0.06432092653100399,0.10592857637227483,0.03805981955638768
4801AC90F66F,1.7910319318694452,2.702896851301193,785,low,8,13.974907595611251,34.15077347981847,59.36616907289752,0.20569457925547385,0.08593361424866613,22.36089432264486,0.12819637224240915,0.08556550805002086,0.19392063041672938,0.07704973278435356,0.04698216500276854,0.18939181646527917,0.07319919578296542,0.07422719616860102,0.045533768838206735,0.06552273446541017,0.020410879783255967
