doc_id,age_months,age_bin,word_count,contrast_W4,contrast_W8,contrast_W16,contrast_W32,contrast_W64
PetMcc_01_N2,48,4-5y,79,0.43260725920558846,0.8922154204822488,1.561371195646154,1.3845175010166868,
PetMcc_01_N3,48,4-5y,116,1.2784691977593352,2.235273998132732,1.4176035304479786,1.899922004153553,3.1709589354177745
PetMcc_01_N4,48,4-5y,50,1.555322449352304,2.7886200597345536,2.0111881889634606,3.0293285817974427,
PetMcc_01_N5,48,4-5y,77,1.315243023236616,2.320434860684547,0.4614325876973633,1.1854775192878968,2.809181660611664
PetMcc_01_N6,48,4-5y,144,0.5471510193557841,1.5165534123126927,1.3466294323129826,3.223627333267526,1.1546434855856804
PetMcc_01_N7,48,4-5y,70,0.5645829884162744,1.2782337756243625,0.3953898170971613,0.7993402028781174,2.6048603142280755
PetMcc_01_N8,48,4-5y,146,1.0172902204320327,1.0747152608241906,0.9374958210580342,0.21078291712494468,0.7287474949371834
PetMcc_02_N2,48,4-5y,70,1.1916163853774473,0.7543467314435599,1.229236083214573,1.1707996694140481,-0.05904516453939579
PetMcc_02_N4,48,4-5y,83,-0.044016667301486866,0.677919521441588,1.721739644461796,2.007764652782582,1.320106278116745
PetMcc_02_N6,48,4-5y,59,-0.46766110651139986,-0.2661494511611017,-0.2736149583771525,0.4634386332621679,
PetMcc_02_N8,48,4-5y,66,1.794456291516278,1.2100925192620557,2.2373311383756995,1.7842637994351263,
PetMcc_02_N10,48,4-5y,72,-0.318256914777214,-0.6031870877231648,0.1241803395436472,0.428335027500298,-0.051970428973049786
PetMcc_03_N4,48,4-5y,173,0.7116272774590522,1.2621743705794077,0.4996803470531875,0.07914602264070487,0.5090723736632247
PetMcc_03_N6,48,4-5y,86,-0.7039401937898044,-0.6134818402099129,-0.3440107370522347,-0.38896948445245033,-0.34097957048358607
PetMcc_04_N1,48,4-5y,74,-0.1948246707090071,-0.42122586609013224,0.45240442356962746,0.9043069371373319,0.49347819581929947
PetMcc_04_N9,48,4-5y,75,1.5169510004705524,0.5154112030354279,1.8152218553218145,2.136470462758558,1.5650921256030474
PetMcc_04_N10,48,4-5y,74,0.6390190169911868,1.557983012470889,0.5070129191479057,0.14954148308171314,1.1270706606666796
PetMcc_04_N11,48,4-5y,57,-0.42328393565699346,0.679240190936067,1.9321586332003713,0.9536584551380136,
PetMcc_04_N12,48,4-5y,131,1.695329419982274,1.2931445400453752,0.8325926564691034,1.9575999534169881,2.258586958756349
PetMcc_04_N13,48,4-5y,61,-1.9480671653707915,-1.9451743259569054,-0.37803080050680854,-2.1226334639585396,
PetMcc_04_N14,48,4-5y,50,0.030470143948279627,0.24604554597382688,0.36018059228052124,0.7171753837842878,
PetMcc_04_N18,48,4-5y,57,-0.017981265228154537,0.5815422149308059,-0.9151380933761608,0.4219076353301602,
PetMcc_05_N1,48,4-5y,108,0.20032980374288126,0.4814455925478563,-0.7124936033380108,0.22038627215970466,-0.8423507215281045
PetMcc_05_N2,48,4-5y,134,1.052067669007755,0.8756804492992082,1.8393750540451468,0.25425573699830134,0.23698074405011543
PetMcc_05_N3,48,4-5y,156,1.5746365050179911,1.526852926088365,1.4793896131978659,1.6063002890272562,1.2096703048301354
PetMcc_05_N4,48,4-5y,75,1.3606001474085583,1.4375955165241703,1.4318805370842327,1.9382566683912656,-0.8685323742758986
PetMcc_05_N8,48,4-5y,162,0.006669774659721776,-0.5482220633550058,1.2772405839989422,1.3853866170794857,1.0159759377261908
PetMcc_05_N9,48,4-5y,99,0.788036785300207,0.33863607623331876,1.2401337706202125,1.4468958190099528,1.68636856542351
PetMcc_06_N2,48,4-5y,74,1.0581283981204215,1.9893650119083461,1.3896138821058166,2.04665484588739,1.1293823008470267
PetMcc_06_N3,48,4-5y,67,0.4549197059396649,0.4173250373360331,1.1118659831895237,1.712327934933256,2.6021260034958127
PetMcc_06_N4,48,4-5y,69,-0.4680630319093668,-0.44602410635313117,0.015319479747635182,1.5066430191345281,1.5527193928655614
PetMcc_06_N5,48,4-5y,55,0.96375517557945,1.5690449888302258,0.6371282221482479,1.8217153448521615,
PetMcc_06_N7,48,4-5y,132,0.9316033070525469,2.0035714753796854,1.6041489676691973,1.6311158252713167,1.9713303334302346
PetMcc_06_N8,48,4-5y,108,1.551374440743946,2.9955632665378027,1.1869975904030692,2.225777975948608,2.188988665387934
PetMcc_07_N4,48,4-5y,63,-0.17021893122095708,0.09534855300748268,1.1579071585668297,0.23840671325193985,
PetMcc_07_N5,48,4-5y,81,1.7367091269844923,1.1199376285084683,1.606800541389564,1.543999684829472,0.7384502768049581
PetMcc_08_N1,48,4-5y,67,-0.4811498449591775,-0.1230137381261982,0.6754341129095546,0.01162644343617362,-1.4350178787737313
PetMcc_08_N4,48,4-5y,136,0.4021973831434191,1.1796009483754382,1.2012516003193443,1.2415166378437628,1.3209435785054766
PetMcc_08_N8,48,4-5y,62,1.1903351323545845,1.2660163158545112,1.4402325524221637,2.1693857085940835,
PetMcc_08_N9,48,4-5y,78,1.7562057174542869,0.7038244249686826,2.0056135643011825,0.5351571253817121,0.23064017890856062
PetMcc_09_N1,48,4-5y,61,2.29110784524146,2.8644106388720605,3.1685901697313668,4.2994027599467035,
PetMcc_09_N2,48,4-5y,87,0.4243153124592019,0.4091788576506754,1.2322769577682775,0.7596170230487959,1.4882103649368714
PetMcc_09_N3,48,4-5y,53,1.7735724221757359,2.6821608597993087,2.689547680955725,2.937452042559439,
PetMcc_09_N6,48,4-5y,60,0.5320161407673156,1.6314674150252702,1.3728945423691095,1.7205244126852914,
PetMcc_09_N7,48,4-5y,60,0.9514645329273992,0.10301175854201901,0.4549996941405965,0.9382635293016087,-1.4292206918682082
PetMcc_09_N8,48,4-5y,57,-0.45688166752309506,0.3117563537627397,0.3407411559894819,1.4341738963506367,3.191733511234159
PetMcc_09_N9,48,4-5y,126,-0.9238430848950102,0.36731055288502557,1.5032795631481122,1.71296773051621,1.1177337023566087
PetMcc_09_N10,48,4-5y,55,1.3978009312563866,1.9068664486164575,2.1579837695995447,3.8050754278189576,
PetMcc_09_N11,48,4-5y,85,0.1219777103087815,0.987325367255778,0.5614563971196316,0.25044072033269876,0.8290881676005692
PetMcc_10_N5,48,4-5y,52,-0.17316998733019148,-0.3788917046611402,0.5267220757555334,-0.45259390807874283,
PetMcc_10_N6,48,4-5y,131,1.0032347483168607,0.30141361244289605,0.8055718479899269,0.6517346785834297,1.6832543997449958
PetMcc_12_N2,48,4-5y,54,-0.0654932580842068,1.5430147363135955,0.7982366996656927,1.5033510974510962,
PetMcc_12_N4,48,4-5y,118,0.5038305921765959,0.737513166228871,0.7577223772740492,0.3086616871409878,0.8108900926992374
PetMcc_12_N5,48,4-5y,62,0.791574279433667,1.3136860201695966,0.6770831061792976,0.4079301344488913,-0.1155608671878476
PetMcc_12_N6,48,4-5y,82,1.2804851769321741,1.0889533848989814,2.2318354169102714,0.8788316028250601,0.5072783700058764
PetMcc_12_N9,48,4-5y,72,0.8677090972246936,1.3572300368986117,1.7038090555624557,1.4949292308974822,2.1589757946826587
PetMcc_12_N10,48,4-5y,102,0.36731176302567264,1.4059358788309304,2.073734454258164,1.3030940806938929,2.6021186488327817
PetMcc_12_N11,48,4-5y,101,0.6438197223492764,1.1158955128868318,0.6727355157755834,0.9616454866735884,0.13678326909909935
PetMcc_12_N12,48,4-5y,53,-0.0923071821446911,-0.08101606995384,-0.6318087590438303,1.3069187642512743,
PetMcc_13_N2,48,4-5y,61,1.5730772329359268,0.40586150148387273,1.3538505996735257,1.650077934516388,2.5530954337910368
PetMcc_13_N3,48,4-5y,53,0.3476263771117483,1.5745381038218103,2.9614285704251135,1.783326352650355,
PetMcc_13_N4,48,4-5y,86,-0.1948011744855871,1.089828688984438,1.1703155650937331,1.5777295471856403,1.3022595508231107
PetMcc_14_N2,48,4-5y,74,0.720673460668257,1.3941457229450815,1.5430270750546715,1.2740664759546332,3.639942261389016
