doc_id,dataset,group,n_tokens,n_sentences,tokens_per_sentence,ttr,mtld,n_turns_total,n_turns_child,n_turns_adult,adult_turn_frac,adult_token_frac,child_tokens,adult_tokens,canonical_sim,group_canonical_mean
baden-4,dutch_frog,4-5yr,302,52,5.8076923076923075,0.2947019867549669,19.144488863506567,227,143,84,0.3700440528634361,0.28281750266808964,672,265,0.11785076257999773,0.1149328742230285
dakee-4,dutch_frog,4-5yr,434,65,6.676923076923077,0.29723502304147464,15.041186902604093,231,141,90,0.38961038961038963,0.21602787456445993,900,248,0.12982687349989594,0.1149328742230285
dhrya-4,dutch_frog,5-6yr,618,100,6.18,0.22330097087378642,18.22204173607362,234,163,71,0.3034188034188034,0.16520351157222665,1046,207,0.12984990657252357,0.1290405753928051
jhmai-4,dutch_frog,4-5yr,222,45,4.933333333333334,0.3963963963963964,22.95897435897436,209,81,128,0.6124401913875598,0.47192513368983957,395,353,0.12949569636204342,0.1149328742230285
jhmar-4,dutch_frog,4-5yr,245,71,3.4507042253521125,0.34285714285714286,29.764747191011235,282,110,172,0.6099290780141844,0.5797254487856388,398,549,0.11193835044079577,0.1149328742230285
jhmic-4,dutch_frog,4-5yr,307,65,4.723076923076923,0.39087947882736157,44.252562020496164,227,126,101,0.44493392070484583,0.3219178082191781,693,329,0.07348578005013166,0.1149328742230285
jhron-4,dutch_frog,4-5yr,356,65,5.476923076923077,0.23876404494382023,17.02717086834734,295,124,171,0.5796610169491525,0.397459165154265,664,438,0.1237306067517808,0.1149328742230285
kapet-4,dutch_frog,5-6yr,228,40,5.7,0.34649122807017546,16.9946013775048,279,127,152,0.5448028673835126,0.3531844499586435,782,427,0.11718596439470204,0.1290405753928051
kasan-4,dutch_frog,4-5yr,316,47,6.723404255319149,0.22151898734177214,10.21346516007533,194,106,88,0.4536082474226804,0.18262806236080179,734,164,0.12011273155874083,0.1149328742230285
kodeb-4,dutch_frog,4-5yr,332,48,6.916666666666667,0.32831325301204817,25.40951017811705,161,119,42,0.2608695652173913,0.1101123595505618,792,98,0.10856064490397949,0.1149328742230285
kolis-4,dutch_frog,4-5yr,136,37,3.675675675675676,0.47058823529411764,16.146586345381525,248,65,183,0.7379032258064516,0.7103538663171691,221,542,0.07257879120094171,0.1149328742230285
kopim-4,dutch_frog,4-5yr,203,49,4.142857142857143,0.41379310344827586,22.01011537853643,162,95,67,0.41358024691358025,0.27070063694267515,458,170,0.12302448615422544,0.1149328742230285
koral-4,dutch_frog,4-5yr,487,77,6.324675324675325,0.29774127310061604,19.885833333333334,209,128,81,0.3875598086124402,0.1806930693069307,993,219,0.1825540075612113,0.1149328742230285
kotom-4,dutch_frog,4-5yr,165,26,6.346153846153846,0.4,15.770142180094787,164,79,85,0.5182926829268293,0.3202511773940345,433,204,0.11193968794293813,0.1149328742230285
krdim-4,dutch_frog,4-5yr,453,69,6.565217391304348,0.32891832229580575,30.44001382170007,232,173,59,0.2543103448275862,0.17965850037119524,1105,242,0.15590654327340034,0.1149328742230285
krric-4,dutch_frog,4-5yr,637,93,6.849462365591398,0.3076923076923077,33.30961954172071,243,168,75,0.30864197530864196,0.19578313253012047,1068,260,0.15452542222928323,0.1149328742230285
krtim-4,dutch_frog,4-5yr,389,53,7.339622641509434,0.31876606683804626,22.125392259414227,162,111,51,0.3148148148148148,0.17957446808510638,964,211,0.16348000135501414,0.1149328742230285
krwan-4,dutch_frog,4-5yr,483,96,5.03125,0.32712215320910976,32.28609625668449,347,156,191,0.5504322766570605,0.3641456582633053,908,520,0.11411301361306418,0.1149328742230285
sakri-4,dutch_frog,4-5yr,417,49,8.510204081632653,0.3261390887290168,29.207113543091655,192,145,47,0.24479166666666666,0.14996496145760335,1213,214,0.11607587062853647,0.1149328742230285
tamaa-4,dutch_frog,4-5yr,253,36,7.027777777777778,0.383399209486166,29.510196493763434,153,117,36,0.23529411764705882,0.16704545454545455,733,147,0.11436395371096895,0.1149328742230285
tamar-4,dutch_frog,4-5yr,298,31,9.612903225806452,0.30201342281879195,14.545238095238094,179,108,71,0.39664804469273746,0.25302325581395346,803,272,0.12524209017585192,0.1149328742230285
ttayh-4,dutch_frog,4-5yr,106,23,4.608695652173913,0.5,21.2,147,98,49,0.3333333333333333,0.2902408111533587,560,229,0.08031259927907917,0.1149328742230285
ttlio-4,dutch_frog,4-5yr,410,63,6.507936507936508,0.3,16.42628205128205,276,143,133,0.48188405797101447,0.30030721966205837,911,391,0.046968776300066156,0.1149328742230285
ttram-4,dutch_frog,4-5yr,345,65,5.3076923076923075,0.3217391304347826,25.70991138115709,190,129,61,0.32105263157894737,0.3006535947712418,642,276,0.09209624665290289,0.1149328742230285
wajef-4,dutch_frog,4-5yr,149,25,5.96,0.35570469798657717,15.726100051143144,136,82,54,0.39705882352941174,0.23609022556390977,508,157,0.07527317090480595,0.1149328742230285
baden-5,dutch_frog,5-6yr,383,68,5.632352941176471,0.26370757180156656,16.540102697163128,174,128,46,0.26436781609195403,0.16802800466744458,713,144,0.07911344728457909,0.1290405753928051
dakee-5,dutch_frog,5-6yr,218,59,3.694915254237288,0.518348623853211,36.14670947030498,206,144,62,0.30097087378640774,0.25786924939467315,613,213,0.06542381098870705,0.1290405753928051
dhrya-5,dutch_frog,6-7yr,377,61,6.180327868852459,0.2864721485411141,23.347094992218132,138,98,40,0.2898550724637681,0.106353591160221,647,77,0.12948690790939085,0.13371901617925228
jhmai-5,dutch_frog,5-6yr,304,45,6.7555555555555555,0.34868421052631576,25.791416774427233,173,100,73,0.42196531791907516,0.23296158612143741,619,188,0.13664966869145945,0.1290405753928051
jhmar-5,dutch_frog,5-6yr,197,42,4.690476190476191,0.4010152284263959,22.90685918107246,180,105,75,0.4166666666666667,0.24641833810888253,526,172,0.12164137009461266,0.1290405753928051
jhmic-5,dutch_frog,5-6yr,525,77,6.818181818181818,0.25333333333333335,13.03443223295299,211,143,68,0.3222748815165877,0.10900473933649289,1128,138,0.1486002974342878,0.1290405753928051
jhron-5,dutch_frog,5-6yr,233,35,6.6571428571428575,0.3133047210300429,16.17335500367217,149,93,56,0.37583892617449666,0.15288220551378445,676,122,0.11364559596310804,0.1290405753928051
kasan-5,dutch_frog,5-6yr,148,36,4.111111111111111,0.3716216216216216,22.627624013905603,122,64,58,0.47540983606557374,0.24282560706401765,343,110,0.09876571044057303,0.1290405753928051
kodeb-5,dutch_frog,5-6yr,390,57,6.842105263157895,0.2948717948717949,21.440230566180034,154,122,32,0.2077922077922078,0.09347826086956522,834,86,0.16443013792063227,0.1290405753928051
kolis-5,dutch_frog,5-6yr,525,79,6.6455696202531644,0.24952380952380954,21.4375,244,121,123,0.5040983606557377,0.26742160278745647,841,307,0.16792696613401772,0.1290405753928051
kopim-5,dutch_frog,5-6yr,329,49,6.714285714285714,0.3161094224924012,18.86627967991604,125,93,32,0.256,0.0950965824665676,609,64,0.14124610858541173,0.1290405753928051
koral-5,dutch_frog,5-6yr,294,36,8.166666666666666,0.336734693877551,17.931269349845202,109,82,27,0.24770642201834864,0.09143686502177069,626,63,0.062284586297262266,0.1290405753928051
kotom-5,dutch_frog,5-6yr,219,32,6.84375,0.3378995433789954,21.612041636560694,114,79,35,0.30701754385964913,0.12811387900355872,490,72,0.1429184743434184,0.1290405753928051
krdim-5,dutch_frog,5-6yr,271,37,7.324324324324325,0.33579335793357934,26.82771867612293,106,81,25,0.2358490566037736,0.10793650793650794,562,68,0.1634947940113777,0.1290405753928051
krric-5,dutch_frog,5-6yr,343,58,5.913793103448276,0.35276967930029157,27.483974358974358,165,117,48,0.2909090909090909,0.18593563766388557,683,156,0.16211994026041213,0.1290405753928051
krtim-5,dutch_frog,5-6yr,213,33,6.454545454545454,0.40375586854460094,26.625,158,102,56,0.35443037974683544,0.2788697788697789,587,227,0.11215857082043297,0.1290405753928051
krwan-5,dutch_frog,5-6yr,529,83,6.373493975903615,0.27032136105860116,29.45798973170676,194,167,27,0.13917525773195877,0.08122270742358079,1052,93,0.1546327310664419,0.1290405753928051
sakri-5,dutch_frog,5-6yr,523,65,8.046153846153846,0.26003824091778205,20.92,143,124,19,0.13286713286713286,0.05263157894736842,954,53,0.1296109799427995,0.1290405753928051
tamaa-5,dutch_frog,5-6yr,281,44,6.386363636363637,0.3665480427046263,30.65915020070145,126,104,22,0.1746031746031746,0.0875,657,63,0.17024236614165075,0.1290405753928051
tamar-5,dutch_frog,5-6yr,240,30,8.0,0.29583333333333334,20.312395589709325,122,94,28,0.22950819672131148,0.08778625954198473,717,69,0.13902615221394854,0.1290405753928051
ttayh-5,dutch_frog,5-6yr,310,44,7.045454545454546,0.36451612903225805,22.81091335667284,122,88,34,0.2786885245901639,0.14446002805049088,610,103,0.1569377257429542,0.1290405753928051
ttlio-5,dutch_frog,5-6yr,175,27,6.481481481481482,0.3485714285714286,17.073652154297317,121,67,54,0.4462809917355372,0.21294718909710392,462,125,0.11322656806271181,0.1290405753928051
ttram-5,dutch_frog,5-6yr,231,35,6.6,0.4199134199134199,27.270833333333336,105,82,23,0.21904761904761905,0.12173913043478261,505,70,0.11018525686369895,0.1290405753928051
wajef-5,dutch_frog,5-6yr,240,34,7.0588235294117645,0.4,30.656970763641553,133,83,50,0.37593984962406013,0.21798365122615804,574,160,0.12469725454840341,0.1290405753928051
baden-6,dutch_frog,6-7yr,150,35,4.285714285714286,0.42,10.647620123087346,109,92,17,0.1559633027522936,0.09009009009009009,404,40,0.04547790951006571,0.13371901617925228
dakee-6,dutch_frog,6-7yr,312,43,7.255813953488372,0.32051282051282054,19.18116025272832,120,100,20,0.16666666666666666,0.07716535433070866,586,49,0.16098338285894825,0.13371901617925228
dhrya-6,dutch_frog,7-8yr,412,54,7.62962962962963,0.21359223300970873,17.4699780058651,129,93,36,0.27906976744186046,0.0807061790668348,729,64,0.1825481638229898,0.1256694859165728
jhmai-6,dutch_frog,6-7yr,274,41,6.682926829268292,0.33941605839416056,22.293793320730938,101,82,19,0.18811881188118812,0.06902356902356903,553,41,0.13241516692022462,0.13371901617925228
jhmar-6,dutch_frog,6-7yr,150,29,5.172413793103448,0.44,33.75,112,80,32,0.2857142857142857,0.16988416988416988,430,88,0.11634274051952348,0.13371901617925228
jhmic-6,dutch_frog,6-7yr,510,75,6.8,0.2823529411764706,24.02470108241922,241,169,72,0.2987551867219917,0.15,1292,228,0.1348779224685875,0.13371901617925228
jhron-6,dutch_frog,6-7yr,459,67,6.850746268656716,0.25272331154684097,17.326923076923077,170,134,36,0.21176470588235294,0.07445708376421924,895,72,0.1543807427053412,0.13371901617925228
kapet-6,dutch_frog,7-8yr,393,54,7.277777777777778,0.2544529262086514,17.15277050930481,128,98,30,0.234375,0.06815365551425032,752,55,0.14120302076679633,0.1256694859165728
kasan-6,dutch_frog,6-7yr,411,55,7.472727272727273,0.26034063260340634,17.01816513761468,145,96,49,0.33793103448275863,0.11524609843937575,737,96,0.1520640813216333,0.13371901617925228
kodeb-6,dutch_frog,6-7yr,482,76,6.342105263157895,0.2966804979253112,23.365818893236444,170,144,26,0.15294117647058825,0.05968586387434555,898,57,0.15196087898622126,0.13371901617925228
kolis-6,dutch_frog,6-7yr,737,89,8.280898876404494,0.21031207598371776,22.333333333333332,169,133,36,0.21301775147928995,0.05367965367965368,1093,62,0.17060079502281444,0.13371901617925228
kopim-6,dutch_frog,6-7yr,341,55,6.2,0.3020527859237537,19.501633986928105,129,101,28,0.21705426356589147,0.08498583569405099,646,60,0.15796889201784525,0.13371901617925228
koral-6,dutch_frog,6-7yr,486,57,8.526315789473685,0.2757201646090535,26.42702170492207,162,120,42,0.25925925925925924,0.07363420427553444,1170,93,0.18230097864862999,0.13371901617925228
kotom-6,dutch_frog,6-7yr,207,34,6.088235294117647,0.3864734299516908,25.82286991723236,97,73,24,0.24742268041237114,0.10338345864661654,477,55,0.1189686732890509,0.13371901617925228
krdim-6,dutch_frog,6-7yr,364,49,7.428571428571429,0.34615384615384615,26.38359412043623,128,116,12,0.09375,0.03184713375796178,760,25,0.14402232526444847,0.13371901617925228
krric-6,dutch_frog,6-7yr,228,43,5.3023255813953485,0.4692982456140351,42.948837209302326,128,108,20,0.15625,0.09247648902821316,579,59,0.056161094372099825,0.13371901617925228
krtim-6,dutch_frog,6-7yr,413,60,6.883333333333334,0.31476997578692495,24.399266084438853,181,154,27,0.14917127071823205,0.08695652173913043,1008,96,0.12022574125326393,0.13371901617925228
krwan-6,dutch_frog,6-7yr,444,65,6.8307692307692305,0.3738738738738739,50.440170940170944,138,121,17,0.12318840579710146,0.04866180048661801,782,40,0.09528191214000295,0.13371901617925228
sakri-6,dutch_frog,6-7yr,427,54,7.907407407407407,0.28337236533957844,23.09795321637427,109,100,9,0.08256880733944955,0.021013597033374538,792,17,0.13088077524395164,0.13371901617925228
tamaa-6,dutch_frog,6-7yr,176,48,3.6666666666666665,0.5227272727272727,38.037869822485206,114,106,8,0.07017543859649122,0.035916824196597356,510,19,0.0641809989562981,0.13371901617925228
tamar-6,dutch_frog,6-7yr,311,35,8.885714285714286,0.28938906752411575,23.198682875086803,100,92,8,0.08,0.022123893805309734,663,15,0.1308891318408235,0.13371901617925228
ttayh-6,dutch_frog,6-7yr,513,68,7.544117647058823,0.3001949317738791,25.362493752257848,151,136,15,0.09933774834437085,0.024925224327018942,978,25,0.15294115541835995,0.13371901617925228
ttlio-6,dutch_frog,6-7yr,141,23,6.130434782608695,0.41843971631205673,17.95138888888889,99,81,18,0.18181818181818182,0.10848126232741617,452,55,0.10169721275970423,0.13371901617925228
ttram-6,dutch_frog,6-7yr,221,30,7.366666666666666,0.3665158371040724,17.853077344425145,94,82,12,0.1276595744680851,0.04448398576512456,537,25,0.14597863896594715,0.13371901617925228
wajef-6,dutch_frog,6-7yr,359,47,7.638297872340425,0.298050139275766,19.684561159915624,116,102,14,0.1206896551724138,0.033738191632928474,716,25,0.1605693873545885,0.13371901617925228
baden-7,dutch_frog,6-7yr,282,39,7.230769230769231,0.33687943262411346,16.752607202495355,108,94,14,0.12962962962962962,0.04747774480712166,642,32,0.1371206888873482,0.13371901617925228
dakee-7,dutch_frog,7-8yr,248,46,5.391304347826087,0.3870967741935484,22.819516263552963,103,93,10,0.0970873786407767,0.03206412825651302,483,16,0.1088667160898217,0.1256694859165728
dhrya-7,dutch_frog,7-8yr,399,59,6.762711864406779,0.2706766917293233,19.4354959334987,126,102,24,0.19047619047619047,0.05505761843790013,738,43,0.19474869399523217,0.1256694859165728
jhmai-7,dutch_frog,7-8yr,195,29,6.724137931034483,0.441025641025641,27.87295281336144,102,74,28,0.27450980392156865,0.10546139359698682,475,56,0.135891825880235,0.1256694859165728
jhmar-7,dutch_frog,6-7yr,348,58,6.0,0.3448275862068966,30.61425315444442,163,131,32,0.19631901840490798,0.06436781609195402,814,56,0.15061333439762636,0.13371901617925228
jhmic-7,dutch_frog,7-8yr,327,48,6.8125,0.382262996941896,29.720152487521258,149,111,38,0.2550335570469799,0.1323360184119678,754,115,0.10673672825734225,0.1256694859165728
jhron-7,dutch_frog,7-8yr,634,106,5.981132075471698,0.21451104100946372,13.93574879227053,331,260,71,0.21450151057401812,0.0892542571931885,1551,152,0.12304104787780128,0.1256694859165728
kapet-7,dutch_frog,7-8yr,330,60,5.5,0.3787878787878788,24.798546562179204,144,115,29,0.2013888888888889,0.07,744,56,0.09447773168379618,0.1256694859165728
kasan-7,dutch_frog,7-8yr,411,47,8.74468085106383,0.2725060827250608,14.240143369175627,129,102,27,0.20930232558139536,0.043478260869565216,946,43,0.1102957843665019,0.1256694859165728
kodeb-7,dutch_frog,7-8yr,433,61,7.098360655737705,0.325635103926097,25.174015685019207,144,126,18,0.125,0.039301310043668124,880,36,0.15016752682031023,0.1256694859165728
kolis-7,dutch_frog,6-7yr,490,63,7.777777777777778,0.24285714285714285,20.45217391304348,154,122,32,0.2077922077922078,0.05471698113207547,1002,58,0.17981916888061927,0.13371901617925228
kopim-7,dutch_frog,7-8yr,330,52,6.346153846153846,0.28484848484848485,21.5,133,103,30,0.22556390977443608,0.07723035952063914,693,58,0.12319460025354494,0.1256694859165728
koral-7,dutch_frog,6-7yr,493,55,8.963636363636363,0.2413793103448276,17.924850164871298,123,96,27,0.21951219512195122,0.04416403785488959,909,42,0.17348916662036748,0.13371901617925228
kotom-7,dutch_frog,7-8yr,216,35,6.171428571428572,0.4675925925925926,30.587844949009245,102,80,22,0.21568627450980393,0.07326007326007326,506,40,0.16107512823748002,0.1256694859165728
krdim-7,dutch_frog,7-8yr,344,55,6.254545454545455,0.40406976744186046,34.65856335031633,119,111,8,0.06722689075630252,0.023545706371191136,705,17,0.13808772325945626,0.1256694859165728
krric-7,dutch_frog,6-7yr,299,46,6.5,0.3712374581939799,27.544242424242427,109,92,17,0.1559633027522936,0.0914826498422713,576,58,0.1103291145120194,0.13371901617925228
krtim-7,dutch_frog,7-8yr,283,47,6.0212765957446805,0.42402826855123676,38.5568783068783,116,101,15,0.12931034482758622,0.06386066763425254,645,44,0.09138041889286429,0.1256694859165728
krwan-7,dutch_frog,7-8yr,488,64,7.625,0.3237704918032787,32.50455817014975,130,122,8,0.06153846153846154,0.023026315789473683,891,21,0.2004354481682846,0.1256694859165728
sakri-7,dutch_frog,7-8yr,409,47,8.702127659574469,0.293398533007335,23.39052287581699,98,90,8,0.08163265306122448,0.029850746268656716,715,22,0.07490209634007544,0.1256694859165728
tamaa-7,dutch_frog,7-8yr,346,42,8.238095238095237,0.3583815028901734,40.7422268907563,100,92,8,0.08,0.031932773109243695,576,19,0.10615457201556557,0.1256694859165728
tamar-7,dutch_frog,7-8yr,318,43,7.395348837209302,0.3490566037735849,28.487516943300683,105,95,10,0.09523809523809523,0.03773584905660377,663,26,0.11802999135631453,0.1256694859165728
ttayh-7,dutch_frog,6-7yr,404,53,7.622641509433962,0.2896039603960396,20.482043777818426,106,97,9,0.08490566037735849,0.03062583222370173,728,23,0.12091749105123151,0.13371901617925228
ttlio-7,dutch_frog,6-7yr,309,48,6.4375,0.23948220064724918,18.352976019529006,119,104,15,0.12605042016806722,0.07869742198100407,679,58,0.1435826780147463,0.13371901617925228
ttram-7,dutch_frog,6-7yr,315,47,6.702127659574468,0.326984126984127,20.811151079136692,139,117,22,0.15827338129496402,0.061274509803921566,766,50,0.16358017931878716,0.13371901617925228
wajef-7,dutch_frog,6-7yr,280,38,7.368421052631579,0.3464285714285714,18.42751842751843,96,87,9,0.09375,0.030844155844155844,597,19,0.12261826648481346,0.13371901617925228
arden-8,dutch_frog,8-9yr,280,36,7.777777777777778,0.3142857142857143,21.315588385124812,128,107,21,0.1640625,0.12027491408934708,768,105,0.15605495424108062,0.09902743918364393
jedia-8,dutch_frog,8-9yr,332,51,6.509803921568627,0.3614457831325301,25.126310883244003,137,121,16,0.11678832116788321,0.07662835249042145,723,60,0.04845404910601498,0.09902743918364393
jhand-8,dutch_frog,8-9yr,240,37,6.486486486486487,0.4583333333333333,40.97672519395672,138,105,33,0.2391304347826087,0.17121588089330025,668,138,0.10543017646715333,0.09902743918364393
jhche-8,dutch_frog,8-9yr,497,68,7.3088235294117645,0.3460764587525151,29.840001871870463,220,171,49,0.22272727272727272,0.17400135409614081,1220,257,0.09356624301601811,0.09902743918364393
jhmar-8,dutch_frog,7-8yr,365,70,5.214285714285714,0.3561643835616438,26.821685508735868,208,182,26,0.125,0.1055956678700361,991,117,0.04602862765919984,0.1256694859165728
