group,n,median_tokens_mean,median_tokens_ci_low,median_tokens_ci_high,ttr_mean,ttr_ci_low,ttr_ci_high,mtld_mean,mtld_ci_low,mtld_ci_high,tokens_per_sentence_mean,tokens_per_sentence_ci_low,tokens_per_sentence_ci_high,canonical_sim_mean,canonical_sim_ci_low,canonical_sim_ci_high,adult_token_frac_mean,adult_token_frac_ci_low,adult_token_frac_ci_high,adult_turn_frac_mean,adult_turn_frac_ci_low,adult_turn_frac_ci_high
10+yr,24,341.0,264.75,395.25,0.39028079106622887,0.3729707897200994,0.40715560625854846,33.07615727798535,30.01614934784384,37.02654842736703,4.731414597219678,4.3415379597258035,5.123080965184866,0.08778258866234089,0.0770700426206297,0.09898034165297465,,,,,,
4-6yr,86,233.0,170.25,296.75,0.39616943160733037,0.3811267320474512,0.41320577163121547,24.814116907047218,23.02225748943054,26.806802457398998,4.030798150295563,3.80523361892946,4.241913115713641,0.07551843430128889,0.07122974713042339,0.07979370597126106,,,,,,
6-8yr,169,288.0,226.0,377.0,0.39024969484393857,0.3804689190985018,0.40085589221886175,29.68781414092738,28.17517933174649,31.175778036087266,4.437305763364238,4.289133137082427,4.607335317432095,0.07367355247314691,0.07096270619733577,0.07649611685056874,,,,,,
8-10yr,62,339.0,275.25,463.0,0.3655161670747223,0.352956065326169,0.37945439450642726,29.217423190157138,27.295853680140695,31.228156492795527,4.665413213051814,4.436609297417347,4.913029246784485,0.0807057810615835,0.07463782312046034,0.08670259324419337,,,,,,
