doc_id,file_id,story_id,group,age_bin,age_years,word_count,n_tokens,n_sentences,tokens_per_sentence,ttr,mtld,adult_token_frac,canonical_sim
479_A1,479,A1,LI,4-5yr,4.756666666666667,68,53,9,5.888888888888889,0.5660377358490566,29.2288817377313,0.41379310344827586,0.0657496619415941
479_A2,479,A2,LI,4-5yr,4.756666666666667,68,50,9,5.555555555555555,0.62,25.151215281638464,0.04225352112676056,0.06803025111536562
479_A3,479,A3,LI,4-5yr,4.756666666666667,135,105,15,7.0,0.45714285714285713,18.464059804485338,0.021739130434782608,0.06313853256606329
479_B1,479,B1,LI,4-5yr,4.756666666666667,53,38,9,4.222222222222222,0.5789473684210527,12.666666666666666,0.018518518518518517,0.0756218994591507
479_B2,479,B2,LI,4-5yr,4.756666666666667,92,68,12,5.666666666666667,0.5,19.833333333333336,0.031578947368421054,0.04242867890351069
479_B3,479,B3,LI,4-5yr,4.756666666666667,154,116,20,5.8,0.4482758620689655,21.75,0.0,0.06548446350408989
529_A1,529,A1,LI,5-6yr,5.0925,164,137,13,10.538461538461538,0.35766423357664234,8.903852596314907,0.2336448598130841,0.05395590025111665
529_A2,529,A2,LI,5-6yr,5.0925,118,97,13,7.461538461538462,0.4639175257731959,13.169585346215781,0.11278195488721804,0.06251578550648633
529_A3,529,A3,LI,5-6yr,5.0925,148,118,18,6.555555555555555,0.4322033898305085,10.438461538461539,0.06918238993710692,0.03731835614152404
529_B1,529,B1,LI,5-6yr,5.0925,73,64,6,10.666666666666666,0.53125,12.57937265773397,0.16091954022988506,0.05533970011990681
529_B2,529,B2,LI,5-6yr,5.0925,142,128,12,10.666666666666666,0.4140625,7.561316051844466,0.0718954248366013,0.07054982268602163
529_B3,529,B3,LI,5-6yr,5.0925,266,232,24,9.666666666666666,0.3232758620689655,6.877070619006103,0.06007067137809187,0.07622367219724661
