group,n,median_tokens_mean,median_tokens_ci_low,median_tokens_ci_high,ttr_mean,ttr_ci_low,ttr_ci_high,mtld_mean,mtld_ci_low,mtld_ci_high,tokens_per_sentence_mean,tokens_per_sentence_ci_low,tokens_per_sentence_ci_high,canonical_sim_mean,canonical_sim_ci_low,canonical_sim_ci_high,adult_token_frac_mean,adult_token_frac_ci_low,adult_token_frac_ci_high,adult_turn_frac_mean,adult_turn_frac_ci_low,adult_turn_frac_ci_high
grade2,43,314.0,271.5,439.0,0.3377619321672807,0.3204393358092982,0.35879455160017515,23.995559183561458,22.176604425710998,25.934362062224682,8.26791784364241,7.892303195115971,8.6425384781462,0.10204901260374008,0.09339334907448757,0.11008494092959047,0.0,0.0,0.0,0.0,0.0,0.0
grade5,46,293.0,208.25,357.25,0.3719648433395605,0.3548633728088678,0.389705559440242,25.643718689643237,23.670835729460048,27.820071611236305,8.994989095711833,8.637377915490926,9.352632373969175,0.11114211203216338,0.10385782806351507,0.11808143915962897,0.0,0.0,0.0,0.0,0.0,0.0
