story_id,age_bin,group,n,ttr_mean,ttr_ci_low,ttr_ci_high,mtld_mean,mtld_ci_low,mtld_ci_high,tokens_per_sentence_mean,tokens_per_sentence_ci_low,tokens_per_sentence_ci_high,canonical_sim_mean,canonical_sim_ci_low,canonical_sim_ci_high,adult_token_frac_mean,adult_token_frac_ci_low,adult_token_frac_ci_high,n_tokens_median,n_tokens_q25,n_tokens_q75
ALL,ALL,TD,1710,0.5343869084921048,,,29.17165225603929,,,7.498030736554486,,,0.08467175479354867,,,0.07796934433544432,,,80.5,64.625,119.0
ALL,ALL,LI,450,0.525526875899492,,,24.478213158967215,,,6.2948196719329355,,,0.07140875063198046,,,0.1415196234402831,,,71.5,55.5,113.5
