doc_id,dataset,group,n_tokens,n_sentences,tokens_per_sentence,ttr,mtld,n_turns_total,adult_turn_frac,adult_token_frac,canonical_sim,group_canonical_mean
474_A1,enni,LI,52,13,4.0,0.5576923076923077,14.823114869626497,,,,0.056199016208102026,0.07088047469325238
474_A2,enni,LI,71,15,4.733333333333333,0.5492957746478874,20.680125014321906,,,,0.06307054460817456,0.07088047469325238
474_A3,enni,LI,114,22,5.181818181818182,0.4298245614035088,19.534730538922155,,,,0.09916970320836375,0.07088047469325238
474_B1,enni,LI,82,13,6.3076923076923075,0.524390243902439,17.52490974729242,,,,0.10704561817923686,0.07088047469325238
474_B2,enni,LI,118,16,7.375,0.5084745762711864,37.10859728506787,,,,0.08242456665266719,0.07088047469325238
474_B3,enni,LI,128,16,8.0,0.40625,24.74214294320192,,,,0.10649466260582946,0.07088047469325238
475_A1,enni,LI,31,7,4.428571428571429,0.5483870967741935,13.355166051660516,,,,0.04983342839187167,0.07088047469325238
475_A2,enni,LI,35,8,4.375,0.5428571428571428,15.903284671532848,,,,0.059974085554289305,0.07088047469325238
475_A3,enni,LI,82,18,4.555555555555555,0.45121951219512196,19.79016620498615,,,,0.06234942497949977,0.07088047469325238
475_B1,enni,LI,23,6,3.8333333333333335,0.5217391304347826,8.556609454983438,,,,0.02253441793536773,0.07088047469325238
475_B2,enni,LI,40,9,4.444444444444445,0.525,13.333333333333334,,,,0.04719425278467388,0.07088047469325238
475_B3,enni,LI,91,19,4.7894736842105265,0.3626373626373626,13.587695541014863,,,,0.0581210294577039,0.07088047469325238
476_A1,enni,LI,37,8,4.625,0.5945945945945946,13.637820512820513,,,,0.055336151895349725,0.07088047469325238
476_A2,enni,LI,53,11,4.818181818181818,0.49056603773584906,17.743813682678315,,,,0.057787676949664316,0.07088047469325238
476_A3,enni,LI,109,21,5.190476190476191,0.3486238532110092,13.625,,,,0.08314422819738429,0.07088047469325238
476_B1,enni,LI,74,17,4.352941176470588,0.43243243243243246,17.03639240506329,,,,0.056966183583630266,0.07088047469325238
476_B2,enni,LI,77,17,4.529411764705882,0.35064935064935066,11.2900390625,,,,0.05360383762886889,0.07088047469325238
476_B3,enni,LI,115,22,5.2272727272727275,0.34782608695652173,15.227308853918295,,,,0.07918959470548627,0.07088047469325238
477_A1,enni,LI,39,8,4.875,0.5897435897435898,19.5,,,,0.04034181610802685,0.07088047469325238
477_A2,enni,LI,44,9,4.888888888888889,0.5454545454545454,13.197060788243153,,,,0.041259529850440985,0.07088047469325238
477_A3,enni,LI,58,16,3.625,0.5172413793103449,11.6,,,,0.028998119780433936,0.07088047469325238
477_B1,enni,LI,21,7,3.0,0.8571428571428571,41.15999999999999,,,,0.032472820672246425,0.07088047469325238
477_B2,enni,LI,42,10,4.2,0.5238095238095238,14.0,,,,0.04658051307892435,0.07088047469325238
477_B3,enni,LI,54,13,4.153846153846154,0.5,10.8,,,,0.04222449266530809,0.07088047469325238
478_A1,enni,LI,11,5,2.2,0.5454545454545454,5.65566037735849,,,,0.005647167358172511,0.07088047469325238
478_A2,enni,LI,25,7,3.5714285714285716,0.52,8.044391909640137,,,,0.030471346657475407,0.07088047469325238
478_A3,enni,LI,58,15,3.8666666666666667,0.3103448275862069,7.902116402116402,,,,0.02253692878580565,0.07088047469325238
478_B1,enni,LI,18,6,3.0,0.3888888888888889,9.0,,,,0.027936191910794706,0.07088047469325238
