doc_id,gain128,baseline_nll,token_count,age_group,task,L50,L80,L90,tail_33_128,tail_65_128,mean_lag,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10
ECSC_4051_1_120M_4051_YR1,1.9350561140045044,2.8783019959926603,764,10+yr,,10.86157912420415,34.19448348982128,98.88221523680414,0.20491165057130223,0.11698443811216874,25.60432046717436,0.12316551147605032,0.12884451132531882,0.15856758934090612,0.1441073119510083,0.03357533308722642,0.09522039625433106,0.11160769599385674,0.06167917698096834,0.026248035478165146,0.010520295142119532,0.1064641429700492
ECSC_4040_1_122F_4040_YR1,1.5212306461026592,2.6367275953292846,659,10+yr,,9.17884091699667,29.144078504696562,71.14592388704224,0.17244180863607028,0.11326141214378657,20.780239159715187,0.11479931619546554,0.1837559602995309,0.19203615874303798,0.1578257076730486,0.054171071236369765,0.05742353384793616,0.06754644336854077,0.04833457971290449,0.010845816779379224,0.06689047635687932,0.04637093578690726
ECSC_4041_1_122F_4041_YR1,2.0605395929467294,2.140789595246315,592,10+yr,,13.301788840749778,35.00269172579067,56.43134017262026,0.20869440729177213,0.055620824308412274,22.296740758568287,0.10173284901649671,0.14218348125216457,0.11508583062579035,0.1328992223265143,0.08050612566303068,0.14196322310789064,0.07693486071634062,0.06512041154266604,0.08795317144069381,0.01972820148906375,0.035892622819348526
ECSC_4058_1_122M_4058_YR1,1.7248711095702265,2.1790322601795196,292,10+yr,,9.359311108001952,23.31602610677077,39.79100012619824,0.12833256165978416,0.027305907854540706,15.759837044965433,0.09510438626371355,0.17722189698121915,0.2129893604569673,0.12260424994726357,0.082074333943941,0.12191849650886963,0.05975471423824169,0.0625811245765171,0.03844552922872632,0.02643470619055084,0.0008712016639898662
ECSC_4061_1_122M_4061_YR1,2.07643784013006,2.173400043696165,533,10+yr,,10.217260168301769,29.34298943333165,42.846775560311926,0.15895828964255831,0.047840982579526584,17.854162164948487,0.1582493606050378,0.14713612068316867,0.1470659080270299,0.11718598518942636,0.11032903338784694,0.052949284410613716,0.10812601805431832,0.08981359829129167,0.02130370877174005,0.03358166220942606,0.014259320370100524
ECSC_4077_1_123F_4077_YR1,1.9097362850942925,2.011741405725479,312,10+yr,,10.2063626262451,29.958237914311574,55.636742457331,0.18739832244932222,0.059224070868997294,19.44533307690893,0.10291327825616224,0.16173068996741877,0.18926726646635775,0.11461420713981106,0.10135419531635982,0.099518307965288,0.04320373243928012,0.05504019659702548,0.07313405498329947,0.0460549444923085,0.013169126376688791
ECSC_4052_1_124M_4052_YR1,2.2367303704061814,3.026408702135086,369,10+yr,,10.788658943996978,29.721329509361922,51.78958059236827,0.18151212080678664,0.03839511223953864,18.993526249444347,0.09090359989728858,0.14409552995971228,0.21597736379884366,0.08222390273229922,0.08022811891996727,0.14826521357499814,0.05679415031010419,0.0674379278118925,0.07567908075535552,0.033196859409827785,0.005198252829710853
ECSC_4065_1_125F_4065_YR1,1.6391233259631743,2.0037419319152834,395,10+yr,,7.688035626485271,22.40517507946076,41.79662593222576,0.14679573453183212,0.03208804078606353,15.736988232771191,0.09328373035974538,0.15487438533512216,0.28106980631922607,0.12534872598123303,0.08737706574584511,0.07517314385537509,0.03607740787162104,0.0797960517345615,0.03491164201120708,0.023077767478921894,0.009010273307141638
ECSC_4043_1_126F_4043_YR1,1.8474533325241456,2.010348790884018,482,10+yr,,7.778274008164824,27.293120598916396,50.801437562228635,0.1637156061676636,0.04900751870290111,17.874479377508834,0.13925306732217088,0.13004434587063585,0.24911429124254936,0.11330562975730461,0.052570622737934544,0.09803483406826205,0.05396160283347912,0.05675577462290716,0.05795231284185532,0.031083176571013695,0.017924342131887417
ECSC_4067_1_128F_4067_YR1,1.8147703276526543,2.52172891497612,377,10+yr,,7.309755164833877,35.60975386964215,65.45863974329662,0.20949773140745584,0.1008922449259077,20.74048370027264,0.1309025231541857,0.1958181153189831,0.22506198600399246,0.09590402675389678,0.06631390080874171,0.054534676939659514,0.021967039613084875,0.05458981123433347,0.05401567524721466,0.060307884581324696,0.04058436034458301
ECSC_4073_1_129F_4073_YR1,1.8084436389707752,2.412418282032013,496,10+yr,,11.0482098978365,34.185101497604656,53.43624181400945,0.20735416651607824,0.06601630912284041,20.842404665374335,0.07326708516311876,0.13731570883048444,0.17554444377907497,0.16678871000614284,0.041634800788190165,0.1510712333865974,0.04702385153031321,0.09308274267152594,0.04825511472171188,0.05013643073957893,0.015879878383261485
ECSC_4053_1_129M_4053_YR1,1.798230017385175,2.490585136413574,578,10+yr,,9.392448884152891,33.85134256240256,70.35011757843893,0.20185381922445522,0.11387203877290758,22.1913019613354,0.134525350426375,0.17737429828459123,0.1732251523878002,0.1137105964768519,0.06146170128102558,0.05724734752627602,0.08060173439262486,0.032662866388770424,0.055318914062777225,0.08037827125391973,0.033493767518987846
ECSC_1059_1_132F_1059_YR1,1.7051634261685034,2.3697845339775085,274,10+yr,one_frog_too_many,10.298869436760206,23.14641241292785,41.68041317354857,0.14270106847876315,0.033798014361946675,17.00411726551435,0.056709251398728976,0.09544321205444414,0.24314830649942695,0.2418239133608823,0.06488326010932204,0.11160077618573161,0.04369021191270082,0.07378865664289515,0.035114397473921324,0.024471494570227712,0.009326519791718965
ECSC_4046_1_132F_4046_YR1,1.926895406457685,2.127518376708031,654,10+yr,,15.84169296371512,46.70576602864307,81.58623214570048,0.28963347251738075,0.164083044797201,28.826313081794183,0.05113252718449229,0.11814532406323551,0.14377305625504422,0.10584725327539038,0.08561991769421207,0.12108075619092416,0.08476769281932063,0.09809755142112336,0.02745287629905638,0.1197724939131631,0.044310550884037916
ECSC_4063_1_132F_4063_YR1,1.949718542901739,1.658692928403616,481,10+yr,,10.952501671821473,27.814341057039293,56.93539961019161,0.17300608475216492,0.07610658094940395,20.734684774470097,0.06379770706815975,0.17237576215137054,0.19563690547710277,0.10477270204806438,0.10682484382298739,0.13844199004197247,0.04514400463817778,0.04616750680601793,0.050731996996743016,0.0408699245942893,0.03523665635511466
ECSC_4087_1_132M_4087_YR1,1.6239340777358702,2.600867065787315,384,10+yr,,7.447372110271257,19.32705786416168,31.586426571084722,0.09693406699579032,0.03717327218279031,14.614962921167427,0.13397182090038254,0.16453990390984957,0.24698525534080096,0.1643185888258435,0.06470100555215523,0.07665644290329594,0.05189291557188193,0.03678707236029929,0.022973722452700726,0.01409651374407053,0.023076758438719782
ECSC_4032_1_134M_4032_YR1,1.6399886585531696,2.6184587731957434,401,10+yr,,9.283981920902525,39.76686556608627,62.26419772099719,0.23246729913245778,0.09208306293560733,22.853083687039096,0.09231261825954833,0.17133180417870794,0.22963387916193648,0.0710083766436075,0.052985100371583216,0.09781686316131179,0.05244405909084694,0.07196972988906782,0.06841450630778263,0.04784307205384217,0.04423999088176517
ECSC_4072_1_135F_4072_YR1,1.9785301678603695,3.061508658528328,491,10+yr,,14.601032713517201,46.096788599917936,66.85987715498558,0.34801900134352415,0.10407796955467907,27.073477934589498,0.051224092010454775,0.13594568087364078,0.2120014518004023,0.0566713722229009,0.0827417254871594,0.060962862675652284,0.052433813586265456,0.16952896530427028,0.0744120664845748,0.06797064841415833,0.036107321140520746
ECSC_2025_1_135M_2025_YR1,1.9777227917025164,3.056775164604187,849,10+yr,,15.848631952512521,49.0654455186815,80.72499777177462,0.26923989913569946,0.13210926582621507,28.729647653155208,0.07054139609753995,0.07472854130265882,0.1409466850177459,0.12578598419316345,0.09267331988389343,0.14291100868919845,0.08317316568010052,0.06894239147872662,0.06818824183075778,0.06329967450929053,0.06880959131692455
ECSC_4038_1_135M_4038_YR1,1.3353981656412928,2.5639073133468626,184,10+yr,,7.134930241399801,28.446183859822877,38.50426683645564,0.13821156605626717,0.008620344964998371,14.515114825809825,0.09111519139189249,0.21643355209671647,0.2704321473078295,0.10751741934731726,0.03385491186493704,0.020729692981384593,0.1217055189536556,0.10413257712140349,0.025458643969865302,0.008620344964998371,0.0
ECSC_4028_1_136F_4028_YR1,1.4966452091932296,2.4844808131456375,733,10+yr,,7.733243731839016,23.137938384897083,44.271478670505665,0.15616056916247886,0.058793247623798006,18.201971098837276,0.09939188073415899,0.16023898518300014,0.2638284298792977,0.12706280387267713,0.1026358788385528,0.05342089312154033,0.03726055920829406,0.07473806783146579,0.022629253707215063,0.003811151068102305,0.0549820965556957
ECSC_4078_1_136F_4078_YR1,1.6604682831033586,2.3957349807024,337,10+yr,,6.989402616940922,20.094532105500495,31.424567826867246,0.0940179069849846,0.06981724038171896,15.80150086128123,0.13646243800572483,0.18800299955048547,0.264704430790947,0.08239947144880491,0.10211538611216002,0.059526581842765866,0.07277078526412732,0.024200666603265645,0.0,0.03926495285356105,0.030552287528157925
ECSC_4064_1_138F_4064_YR1,2.135559797671534,2.417106592655182,497,10+yr,,14.243769845405433,38.953697168687384,61.59161351120494,0.23585890298143664,0.09129449344451042,23.9973361197231,0.09006438505388323,0.11143224427716765,0.18577477501590203,0.07099400457816651,0.10066474411415523,0.12063489070903931,0.08457605327024939,0.09034445815458399,0.05421995138234222,0.056775821461406153,0.034518671983104265
ECSC_4088_1_138F_4088_YR1,1.5643313077188308,2.6086267948150637,352,10+yr,,11.706603812746955,29.92044052242267,43.35200047954716,0.17129885376057477,0.0321590704664166,18.832835030638826,0.12541877833815762,0.11235764965157927,0.1615732492019658,0.11156083021934293,0.05815069823041036,0.16302908342256567,0.09661085717540359,0.10331170371578238,0.03582807957837579,0.022973638622082834,0.009185431844333767
ECSC_4035_1_59F_4035_YR1,1.5934251980435463,3.183713659644127,219,5yr,,11.476073457654508,53.15931880118236,73.3221718341751,0.3390440358692352,0.12153479543305729,26.96910035311783,0.15422346809369739,0.1544829441396556,0.15113299603149208,0.048658400998971306,0.04866579254632606,0.0764894452501451,0.02730291707047728,0.10893875054551358,0.10857048989066434,0.08021687988745281,0.04131791554560447
ECSC_4004_1_61F_4004_YR1,1.717364983597109,2.8946686327457427,190,5yr,,11.654205944468005,47.53057821507275,63.74607986993322,0.31368970765898874,0.09834129434265233,25.65524509954713,0.07414572573802247,0.17074111117563154,0.16973622106841066,0.09649998207096204,0.034621123620234756,0.05833550629314622,0.08223062237460362,0.11736254329616706,0.09798587002016931,0.08013561903831888,0.018205675304333452
ECSC_3007_1_61M_3007_YR1,1.6007560668453091,2.571771812438965,135,5yr,,9.192900407200174,19.792344408305322,27.630843506308736,0.037945334985374814,0.0,11.887054208908767,0.13711342736272342,0.12742089192527034,0.22534208158287117,0.15744288894055633,0.11111437015690295,0.1042007495050779,0.09942025554122318,0.037945334985374814,0.0,0.0,0.0
