doc_id,author_id,age_months,age_bin,sex,word_count,token_count,contrast_W4,n_sent_W4,contrast_W16,n_sent_W16,contrast_W32,n_sent_W32,contrast_W64,n_sent_W64,contrast_W128,n_sent_W128
ECSC_4051_1_120M_4051_YR1,4051,120,9-11y,M,649,764,-2.118573369103835,3,-0.8197835562101793,3,-0.21058194337764835,3,-1.100262942405866,3,0.7404974431010904,3.0
ECSC_4040_1_122F_4040_YR1,4040,122,9-11y,F,584,659,0.2471031229726405,3,0.7390033329711486,3,2.1288558641685533,3,2.084015675459177,3,2.657944604414621,3.0
ECSC_4041_1_122F_4041_YR1,4041,122,9-11y,F,459,592,0.8527487275853466,3,0.6394269647616599,3,0.830264359236281,3,1.8894512844604312,3,2.78238329986725,3.0
ECSC_4058_1_122M_4058_YR1,4058,122,9-11y,M,254,292,1.7474709561322657,3,1.163889214463353,3,1.7093041250400114,3,1.8777463293366015,3,1.6128456775131712,3.0
ECSC_4061_1_122M_4061_YR1,4061,122,9-11y,M,463,533,1.8105522742233553,3,1.571692190061886,3,2.3639388566024997,3,1.1905546169765409,3,2.1782117643528776,3.0
ECSC_4077_1_123F_4077_YR1,4077,123,9-11y,F,258,312,0.8031317094250666,3,0.5885066109029241,3,1.503802739298058,3,2.436536000373061,3,2.0880468217245625,3.0
ECSC_4052_1_124M_4052_YR1,4052,124,9-11y,M,302,369,-0.09835396026508846,3,1.2234253846707912,3,0.6294576853318543,3,-0.2976132710505821,3,-0.27813774260273827,3.0
ECSC_4065_1_125F_4065_YR1,4065,125,9-11y,F,343,395,1.493545594310687,3,2.99354512613044,3,1.754589583153688,3,1.2566350305857308,3,1.2471047923398249,3.0
ECSC_4043_1_126F_4043_YR1,4043,126,9-11y,F,426,482,0.09047407517233293,3,0.3639815579255498,3,1.8096568566712374,3,2.5497473549086376,3,1.8342320415985096,3.0
ECSC_4067_1_128F_4067_YR1,4067,128,9-11y,F,320,377,1.1422280367788167,3,0.1625636013293881,3,1.1551137994786833,3,1.6828203844580392,3,2.221298211366632,3.0
ECSC_4073_1_129F_4073_YR1,4073,129,9-11y,F,406,496,1.2547127021632478,3,1.1046332488019377,3,1.2697224671937548,3,1.3497007807135708,3,0.9056329391852965,3.0
ECSC_4053_1_129M_4053_YR1,4053,129,9-11y,M,491,578,0.38267841038265854,3,2.185126529810926,3,-0.11666138689879024,3,1.4369947091994204,3,1.7359002225517888,3.0
ECSC_1059_1_132F_1059_YR1,1059,132,9-11y,F,243,274,-1.1728038099319626,3,1.6773358394327298,3,2.136170436204886,3,1.5586547487733993,3,1.9408693203555305,3.0
ECSC_4046_1_132F_4046_YR1,4046,132,9-11y,F,521,654,-0.9008852890566561,3,-0.5023080336728311,3,1.2407775201121602,3,0.21104535969619068,3,0.09477949384512785,3.0
ECSC_4063_1_132F_4063_YR1,4063,132,9-11y,F,393,481,0.32536924471093437,3,0.511408165336224,3,1.3134283223486962,3,1.483302332535643,3,2.5928454893631074,3.0
ECSC_4087_1_132M_4087_YR1,4087,132,9-11y,M,332,384,1.4693308133760288,3,-0.3871053948861609,3,0.6796591763118919,3,0.9204667926310751,3,-0.36647303207471915,3.0
ECSC_4032_1_134M_4032_YR1,4032,134,9-11y,M,345,401,0.8862661866312522,3,1.4186214255179985,3,1.44017494302417,3,1.0500949346498747,3,2.4901105745906373,3.0
ECSC_4072_1_135F_4072_YR1,4072,135,9-11y,F,440,491,0.5585008970403584,3,0.4341718877650176,3,1.126464092827124,3,1.1122784556103533,3,1.4899281141601188,3.0
ECSC_2025_1_135M_2025_YR1,2025,135,9-11y,M,731,849,0.16411738945218513,3,-0.052584860895663756,3,1.0557328011029472,3,0.6207480535114512,3,1.2726343181993451,3.0
ECSC_4038_1_135M_4038_YR1,4038,135,9-11y,M,164,184,2.195022947418838,3,2.986633135700108,3,2.74686692081459,3,2.664662784632973,3,,
ECSC_4028_1_136F_4028_YR1,4028,136,9-11y,F,677,733,1.541986586074206,3,0.24982371801565498,3,0.808950327552666,3,0.8712364779799282,3,0.7911628588350789,3.0
ECSC_4078_1_136F_4078_YR1,4078,136,9-11y,F,304,337,-0.39904390646900456,3,1.3899207869327712,3,2.053675540693749,3,1.8934106219330344,3,2.7161290297150464,3.0
ECSC_4064_1_138F_4064_YR1,4064,138,9-11y,F,438,497,-0.6663260697495375,3,-1.6103398856488844,3,0.08129116275776686,3,0.054717313473727845,3,0.22672755284444157,3.0
ECSC_4088_1_138F_4088_YR1,4088,138,9-11y,F,320,352,0.22171681863283746,3,-0.40338983936090883,3,0.1467012876821158,3,0.03660754505190509,3,0.8369884944376783,3.0
ECSC_4035_1_59F_4035_YR1,4035,59,5-6y,F,183,219,1.685464283599523,3,0.7248822436029458,3,0.15382466240237358,3,-0.6589529583764021,3,-0.42167337637370134,3.0
ECSC_4004_1_61F_4004_YR1,4004,61,5-6y,F,153,190,-0.10106427298439426,3,0.006218863387269254,3,0.28832624080083075,3,-0.21877127169802477,3,0.9645183359808461,3.0
ECSC_1013_1_62F_1013_YR1,1013,62,5-6y,F,187,238,-0.9026427069588076,3,0.7359828533650106,3,1.8694647168828789,3,1.0875535711519468,3,2.4608020746409442,2.0
ECSC_1013_2_62F_1013_YR2,1013,62,5-6y,F,310,347,1.5229437815538993,3,0.7629222826100808,3,2.4535325379183672,3,0.37618925101293543,3,0.9523376066247242,3.0
ECSC_1013_3_62F_1013_YR3,1013,62,5-6y,F,168,178,0.6969756912979221,3,0.14469509060429342,3,0.4226220448979163,3,0.4158757255789574,3,1.2361055081369798,2.0
ECSC_3004_1_62F_3004_YR1,3004,62,5-6y,F,399,428,1.7019487821263628,3,1.8102753154512172,3,1.5321948380814427,3,2.0273805339863267,3,1.0891762014786213,3.0
ECSC_1037_1_63M_1037_YR1,1037,63,5-6y,M,220,240,0.12802658349591312,3,1.5370964077588063,3,2.329874025615004,3,2.2841846590685955,3,1.7503493744660164,3.0
ECSC_1037_2_63M_1037_YR2,1037,63,5-6y,M,309,345,-0.8496743086264157,3,0.9352000436976381,3,1.3209965595405275,3,0.5440526195483993,3,0.9995425813740276,3.0
ECSC_1037_3_63M_1037_YR3,1037,63,5-6y,M,302,328,1.9390468756795594,3,0.11481757568867734,3,0.11597598153909638,3,0.574270850942208,3,1.7187414817435158,3.0
ECSC_2017_1_63M_2017_YR1,2017,63,5-6y,M,246,280,-0.22313120240250375,3,0.27076317545679623,3,0.9500720113863549,3,3.4048601062026354,3,3.0779993548413223,3.0
ECSC_4071_1_63M_4071_YR1,4071,63,5-6y,M,226,249,-0.5630673358027043,3,0.8356598618006424,3,-0.5528570113841096,3,0.34795787933948286,3,0.036433019648447994,3.0
ECSC_1017_1_64F_1017_YR1,1017,64,5-6y,F,342,384,-1.2892893241602963,3,1.0122141207105788,3,0.8362789476632176,3,1.0635801091833608,3,1.1266427842114364,3.0
ECSC_1017_2_64F_1017_YR2,1017,64,5-6y,F,164,183,-1.5954800391726796,3,1.144226210723713,3,1.2139029341744412,3,1.230571080765369,3,1.6462823875049288,3.0
ECSC_1017_3_64F_1017_YR3,1017,64,5-6y,F,364,390,1.2997854715565318,3,1.132886805772177,3,2.052121368120485,3,2.853770658354684,3,2.1970068184653817,3.0
ECSC_4050_1_64F_4050_YR1,4050,64,5-6y,F,304,340,0.19198699802254807,3,1.1189693682244326,3,1.2194561565326258,3,1.0160571936422358,3,2.6503139210092197,3.0
ECSC_1032_1_64M_1032_YR1,1032,64,5-6y,M,194,214,-0.32311571879160955,3,2.01392520867306,3,0.8080876356773925,3,-0.07274849627744184,3,1.1838876639703184,3.0
ECSC_1032_2_64M_1032_YR2,1032,64,5-6y,M,153,181,1.7609961358283852,3,2.1746708443260547,3,1.884431148241201,3,0.7363752993008591,3,1.0514115448290058,3.0
ECSC_1032_3_64M_1032_YR3,1032,64,5-6y,M,406,478,-0.39246377598916293,3,0.9051155268298686,3,2.5486915311003964,3,2.0292079858716114,3,2.187227486978079,3.0
ECSC_1055_1_64M_1055_YR1,1055,64,5-6y,M,289,306,0.3656269968592501,3,3.2350757728010575,3,1.8812237408004462,3,2.5194527674815137,3,3.1950666616812065,3.0
ECSC_1055_2_64M_1055_YR2,1055,64,5-6y,M,211,265,-0.3543634934382803,3,2.627765944695348,3,0.879765672813028,3,0.8262416884236722,3,0.7011766370078939,3.0
ECSC_1055_3_64M_1055_YR3,1055,64,5-6y,M,312,354,-0.3220162478731723,3,0.03952041316607565,3,-1.5476392701723274,3,-0.12679548658051157,3,-0.26766909580663506,3.0
ECSC_4002_1_64M_4002_YR1,4002,64,5-6y,M,285,333,0.5692959828602243,3,0.7696139666980134,3,1.6172474346578547,3,1.2273271342158407,3,0.5257908886997518,3.0
ECSC_4012_1_65F_4012_YR1,4012,65,5-6y,F,283,341,1.1771325685310614,3,1.6179762159989508,3,2.0613178922960445,3,0.9022474225117585,3,1.127883936254637,3.0
ECSC_1020_1_65M_1020_YR1,1020,65,5-6y,M,210,227,0.3544054657910078,3,0.2661521003348895,3,0.754053099542452,3,1.596184514939086,3,0.8524983963861142,3.0
ECSC_1020_2_65M_1020_YR2,1020,65,5-6y,M,406,437,-0.2774235570319788,3,0.2795132738348676,3,0.11688565761584006,3,0.156737807261036,3,0.41147500600097575,3.0
