age_group,n_narratives,n_children,mean_n_tokens,half_life_mean,half_life_ci_low,half_life_ci_high,early_slope_mean,early_slope_ci_low,early_slope_ci_high,early_drop_pct_mean,early_drop_pct_ci_low,early_drop_pct_ci_high,late_benefit_pct_mean,late_benefit_pct_ci_low,late_benefit_pct_ci_high
4yo,91,16,91.63736263736264,17.65762862817898,16.476817575358975,19.089773224691523,0.8942081861801564,0.7230500024285808,1.0988927084873137,85.3648112556668,81.07294031185333,89.49016496872578,14.272078566605092,9.712305394987018,19.413168337142526
5yo,147,22,103.4421768707483,17.088450484236127,16.202810266886974,18.0815183602131,0.9841474173251266,0.8186858997176898,1.1796861983359501,87.7994781468924,84.89764408723977,90.61732127160535,8.82661890676453,5.783609457264037,12.463778712186018
6yo,159,18,110.58490566037736,18.976498717423883,17.908533270157694,20.043905370565763,0.7115172330901604,0.6020034731021501,0.83220259894872,81.14169260421224,77.91998984425946,84.13286578636703,12.950504891609782,9.685752382859533,16.426544368834712
7yo,139,13,136.2158273381295,18.65833695161486,17.612588043523,19.696737752650893,0.9240361702406814,0.8065504231148684,1.0484899101197154,82.11692201245855,79.12782412308341,84.92032482754715,12.850069976975117,9.962229354713022,15.86908216221676
8-9yo,271,25,130.29151291512915,17.990577547016194,17.1461031251023,18.878630714611177,0.7609976759116343,0.6626509495644177,0.8899503963438073,82.85706802295687,80.61563979876439,85.03336308425686,13.016159169172846,10.438897860027918,15.68740365202846
