doc_id,child_id,narrative_idx,age_months,age_group,word_count,n_tokens,baseline_nll,max_ctx_used,half_life,early_slope,early_drop_pct,late_benefit_pct,total_benefit,ppl_min_ctx,ppl_max_ctx
PetMcc_01_N2,01,2,48,4yo,79,91,2.68990727474815,48,12.8669033428294,0.2574199989429351,82.18778385836156,,7.517029520199067,29.73014166970516,22.21311214950609
PetMcc_01_N3,01,3,48,4yo,116,134,4.4694567228618425,96,12.629554229404539,0.2209815715319854,100.0,0.0,5.303557716767649,11.841346440837244,6.537788724069594
PetMcc_01_N4,01,4,48,4yo,50,57,3.037313561690481,24,14.308106968888346,,,,2.648037989229449,11.238946964808827,8.590908975579378
PetMcc_01_N5,01,5,48,4yo,77,90,4.412912469161184,48,14.46697260477216,0.8280992674326084,94.94032139640348,,20.93355291625912,32.277469356704486,11.343916440445366
PetMcc_01_N6,01,6,48,4yo,144,179,3.953690378289474,96,25.734981664951864,0.06981524322412845,65.36214881134808,23.078133208285845,2.563510943030951,4.9636357503756505,2.4001248073446995
PetMcc_01_N7,01,7,48,4yo,70,93,4.500467400801809,48,25.989529610262633,0.480348166313519,100.0,,11.528355991524457,38.90470211054585,27.37634611902139
PetMcc_01_N8,01,8,48,4yo,146,166,3.525095086348684,96,36.14949549579542,0.6032138548547797,44.13985251209029,33.264060830733584,32.79832553257694,46.806544524088864,14.008218991511928
PetMcc_02_N2,02,2,48,4yo,70,88,4.4621124267578125,48,13.736176875973511,2.1729571495376985,93.74059076039217,,55.63328667535975,102.44554523771583,46.812258562356085
PetMcc_02_N4,02,4,48,4yo,83,95,3.2589304070723686,64,40.24689370335299,0.10019991310533809,29.107564918203813,,8.261762608057118,18.607501006581266,10.345738398524148
PetMcc_02_N6,02,6,48,4yo,59,80,2.485910516036184,48,25.949837678383002,0.7474281124714475,84.38492514869182,,21.257676851293418,52.658004227706826,31.400327376413408
PetMcc_02_N8,02,8,48,4yo,66,76,3.6582159745065788,32,20.19200166519419,1.4900369066006771,100.0,,35.76088575841625,53.903944863184776,18.143059104768522
PetMcc_02_N9,02,9,48,4yo,45,55,2.816117136101974,24,14.486575848300195,,,,6.142344596583733,30.714705538773572,24.57236094218984
PetMcc_02_N10,02,10,48,4yo,72,81,2.7588790090460527,48,14.70640435833397,0.8809721845912476,63.53637534813545,,33.27752380323726,129.81685460488066,96.5393308016434
PetMcc_03_N3,03,3,48,4yo,48,61,3.3535172311883223,24,12.737985544648767,,,,15.130564727300591,29.403478586010447,14.272913858709856
PetMcc_03_N4,03,4,48,4yo,173,228,3.476639597039474,96,22.17288638451057,2.2569331982937944,81.37453274277503,18.62546725722496,66.56431064282862,99.07193891132168,32.507628268493065
PetMcc_03_N6,03,6,48,4yo,86,117,5.4022056178042765,64,12.579955397219663,4.043138032156802,97.50269905141764,,99.52064272661013,122.43642694635366,22.91578421974353
PetMcc_04_N1,04,1,48,4yo,74,91,3.6032738936574837,48,15.092641856840773,1.4093969935273893,98.9730884309421,,34.17649017617442,58.69669875536843,24.520208579194012
PetMcc_04_N2,04,2,48,4yo,61,67,4.3597861842105265,32,12.144206452821564,0.5288815430157494,100.0,,12.693157032377986,24.990647379508605,12.29749034713062
PetMcc_04_N6,04,6,48,4yo,46,54,3.0783273797286186,24,12.000000000000004,,,,7.14409075594866,43.771792127352825,36.627701371404164
PetMcc_04_N9,04,9,48,4yo,75,100,4.744577508223684,64,25.204040420053467,0.9843051079636425,79.94983642978416,,29.547680953512106,38.06234224105619,8.514661287544087
PetMcc_04_N10,04,10,48,4yo,74,100,4.202996705707751,64,14.921655739434046,0.4588765823386239,62.757861012281275,,17.548459744304857,29.970803739665865,12.422343995361006
PetMcc_04_N11,04,11,48,4yo,57,66,2.2462158203125,32,15.589420826325291,0.42907379805271706,100.0,,10.29777115326521,47.261104145419424,36.963332992154214
PetMcc_04_N12,04,12,48,4yo,131,175,4.9184667185733195,96,15.268516820848617,1.2533284150081265,87.92115265400044,1.763226091440644,34.21233804630562,45.47811753340665,11.265779487101033
PetMcc_04_N13,04,13,48,4yo,61,70,4.0888414884868425,32,19.979183637208568,0.45049163190641117,100.0,,10.811799165753868,68.02146906466739,57.20966989891352
PetMcc_04_N14,04,14,48,4yo,50,58,4.1851356907894735,24,12.419114328282136,,,,31.882650003591387,94.36732770327585,62.48467769968446
PetMcc_04_N17,04,17,48,4yo,41,58,3.736311761956466,24,18.34572172282561,,,,9.808863707948353,19.235744466629484,9.426880758681131
PetMcc_04_N18,04,18,48,4yo,57,75,3.5670101768092106,32,19.043599610191656,0.30608884285883514,100.0,,7.346132228612044,13.984060474269437,6.637928245657394
PetMcc_05_N1,05,1,48,4yo,108,134,3.6375089946546053,96,21.107869673889574,1.2857540569946118,76.55266329164286,16.446683774787857,40.309632664654025,82.25000642187008,41.94037375721606
PetMcc_05_N2,05,2,48,4yo,134,157,4.451653731496711,96,13.31822606452402,4.3459045748203335,88.6145337257975,4.465538441599033,117.70271242235701,177.02182270525293,59.31911028289592
PetMcc_05_N3,05,3,48,4yo,156,179,4.879497327302632,96,13.524142863507603,0.8431082958577539,72.40942348583951,27.59057651416049,27.94470405436,59.73891068675686,31.79420663239686
PetMcc_05_N4,05,4,48,4yo,75,90,2.4762027138157894,48,13.767071519946871,2.018049678257917,100.0,,48.433192278190006,145.44505924491546,97.01186696672545
PetMcc_05_N8,05,8,48,4yo,162,187,3.8895199424342106,96,28.02429597037532,0.9580687967742687,51.55374965441981,19.13954860550692,44.60131663887839,111.73614245250742,67.13482581362904
PetMcc_05_N9,05,9,48,4yo,99,109,3.1495554070723686,64,13.88708170350209,0.9136482690603548,83.91869152552843,,26.12952854582827,38.97734985519447,12.8478213093662
PetMcc_06_N1,06,1,48,4yo,46,62,4.007049560546875,32,12.249638969151551,0.4010494059917515,100.0,,9.625185743802035,30.42833448342915,20.803148739627115
PetMcc_06_N2,06,2,48,4yo,74,86,3.5050948293585527,48,28.33928629637343,0.2889809106295747,59.06541275281276,,11.742137287916464,25.45895091411911,13.716813626202647
PetMcc_06_N3,06,3,48,4yo,67,79,3.3184436998869242,48,12.956976347879205,0.9877962725791513,83.68725264096813,,28.328221794550934,41.46590010448135,13.137678309930415
PetMcc_06_N4,06,4,48,4yo,69,87,2.5593247162668327,48,17.9923183946298,0.9257121835333115,100.0,,22.217092404799477,32.140721771951085,9.923629367151609
PetMcc_06_N5,06,5,48,4yo,55,77,4.391264262952302,32,14.88805971573586,1.0858945098161261,99.99999999999999,,26.06146823558703,38.4721032404393,12.410635004852272
PetMcc_06_N6,06,6,48,4yo,43,67,3.392684133429276,32,24.48851368650492,0.3272440010496993,100.0,,7.853856025192783,24.56600710145823,16.712151076265446
PetMcc_06_N7,06,7,48,4yo,132,180,4.561635669909026,96,15.642540968505774,0.8960700451441769,58.37160456780272,7.915815457926242,36.84271015452365,49.09150950014845,12.248799345624795
PetMcc_06_N8,06,8,48,4yo,108,124,2.104203073601974,64,15.702894528565327,0.45730749946157917,78.18467390736659,,14.037763974153757,24.74804629582841,10.710282321674653
PetMcc_07_N3,07,3,48,4yo,47,56,3.3339201274671053,24,13.399742247279228,,,,12.899907342711991,32.04135253727084,19.141445194558848
PetMcc_07_N4,07,4,48,4yo,63,69,3.077444729052092,32,15.233004857151307,0.596225342596708,100.0,,14.309408222320993,46.30584606118237,31.99643783886138
PetMcc_07_N5,07,5,48,4yo,81,107,3.019692872699938,64,33.523216989549034,0.07213978832832917,45.24257415308794,,3.826826727456951,9.67119473058072,5.844368003123768
PetMcc_07_N8,07,8,48,4yo,47,73,2.749460320723684,32,,0.006145250737522219,,,0.14748601770053327,15.820149315201533,15.672663297501
PetMcc_07_N9,07,9,48,4yo,48,66,3.6444830643503288,32,12.660595522508123,0.6689387890820179,100.0,,16.05453093796843,25.64291374950456,9.588382811536132
PetMcc_07_N10,07,10,48,4yo,48,54,3.77421730443051,24,13.118335667633273,,,,17.606606854385706,33.4925064421986,15.88589958781289
PetMcc_08_N1,08,1,48,4yo,67,74,2.5687834087171053,32,14.056722249146988,1.2591026215259593,100.0,,30.218462916623025,86.37644216017254,56.15797924354952
