metric,real_em,perm_mean,perm_std,z_score,p_value
L50,11.7766277906029,11.477315209280466,0.17050713125069528,1.7554255891054524,0.086
L80,41.11188873460559,40.52116331276807,0.5553768921289164,1.0636478222439314,0.306
L90,67.55447923450852,67.02638800760155,0.7567162415489014,0.6978721982047459,0.483
tail_33_128,0.24262435759196413,0.23882771275632667,0.0029633353393614253,1.2812066137794342,0.188
tail_65_128,0.11262845044273727,0.1100990057169997,0.0022253941016129384,1.1366277657980335,0.25
mean_lag,24.005390264479704,23.713387911935563,0.20101149526713938,1.4526649441420056,0.143
