metric,real,perm_mean,perm_std,perm_2.5,perm_97.5,z_score,p_value
L50,9.860622232911158,20.513669067801963,0.4037148075589158,19.716000534454867,21.279625335990943,-26.387555361927454,0.0
L80,30.416524418502863,60.98302507834393,0.6952995467633167,59.54236884572074,62.33203907010435,-43.96162891538027,0.0
L90,54.47920428238333,92.89624127722584,1.1334426440287484,90.738813331686,94.99416654667141,-33.89411647535301,0.0
tail_33_128,0.18674932063159375,0.36380533068772436,0.005129811696158651,0.3537970569024807,0.3734278949059637,-34.51510904165949,0.0
tail_65_128,0.07227637752234088,0.18166674770307356,0.004264064402542165,0.17287509117290578,0.1899645231106693,-25.654014539623343,0.0
mean_lag,19.93551728136436,34.13947178486458,0.3779959333731957,33.38538325693779,34.84791477601913,-37.57700347923217,0.0
